Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amos Bradley,Patty Hajdu,Bob Herman,John Malcolm Northey,Joy Wakefield,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 1","Webequie",5,139,29,3,23,1,200,337
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 2","Summer Beaver",0,52,9,6,30,1,98,206
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 3","Neskantaga",Combined with No./Résultats combinés à ceux du n°4,,,,,,,51
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 4","Lansdowne House",2,59,11,1,11,1,85,75
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 5","Fort Hope 64",2,54,7,2,59,3,127,510
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 6","Ogoki--Marten Falls 65",0,11,0,0,5,0,16,88
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 7","Aroland",Combined with No./Résultats combinés à ceux du n°7-1,,,,,,,48
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 7-1","Aroland",1,46,6,1,8,3,65,189
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 8","Armstrong",2,47,14,1,9,1,74,220
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 8-1","Whitesand",Combined with No./Résultats combinés à ceux du n°8,,,,,,,167
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 9","Greenstone--Nakina",2,28,51,1,6,2,90,303
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 10","Collins",Combined with No./Résultats combinés à ceux du n°93,,,,,,,2
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 11","Long Lake 58",0,43,4,0,2,1,50,171
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 12","Ginoogaming First Nation",0,31,0,0,3,0,34,92
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 13","Greenstone--Kenwell",2,60,53,3,6,0,124,382
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 14","Greenstone",2,55,66,2,10,1,136,483
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 15","Greenstone",1,48,47,0,10,2,108,356
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 16","Greenstone",3,53,45,3,9,1,114,391
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 17","Longlac--Margo Lake",3,50,89,1,3,0,146,404
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 18","Greenstone--Longlac",0,46,58,3,5,0,112,418
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 19","Greenstone--Theresa",1,37,77,2,6,1,124,393
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 20","Greenstone--Caramat",1,18,9,0,3,0,31,73
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 21","Beardmore",0,19,18,1,5,0,43,183
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 22","Jellicoe",0,12,12,0,1,0,25,82
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 22-1","Lake Nipigon",Void/Supprimé,,,,,,,
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 23","Nipigon",2,58,85,3,7,2,157,507
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 24","Nipigon",4,70,66,2,5,0,147,458
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 25","Nipigon",5,57,35,0,10,0,107,406
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 26","Greenstone",Combined with No./Résultats combinés à ceux du n°26-1,,,,,,,35
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 26-1","Rocky Bay 1",1,34,12,0,9,1,57,129
35108,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 26-2","Sand Point First Nation",Combined with No./Résultats combinés à ceux du n°26-1,,,,,,,12
