Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Leslie Bory,Larry Brock,Mike Clancy,Karleigh Csordas,Anne Gajerski-Cauley,Clo Marie,Joy O'Donnell,Nicholas Xenos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 1","Brantford",0,98,0,3,1,0,73,2,0,177,430
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 2","Brantford",0,138,0,2,7,0,103,1,0,251,570
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 3","Brantford",0,125,2,4,11,0,83,2,1,228,533
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 4","Brantford",0,138,1,7,8,0,89,1,0,244,493
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 5","Brantford",1,112,1,4,16,1,94,0,2,231,503
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 6","Brantford",0,130,2,4,11,1,131,2,2,283,552
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 7","Brantford",0,145,1,6,5,0,66,0,0,223,508
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 8","Brantford",0,108,0,2,2,0,88,3,3,206,546
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 9","Brantford",1,97,0,4,5,0,123,1,2,233,461
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 10","Brantford",0,143,1,2,12,1,141,1,1,302,598
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 11","Brantford",0,165,1,4,14,1,125,3,2,315,541
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 12","Brantford",1,146,0,3,12,0,114,2,0,278,600
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 13","Brant",1,139,0,7,6,0,37,4,0,194,432
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 14","Brantford",1,132,2,12,12,0,138,2,0,299,549
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 15","Brantford",0,66,1,3,13,0,89,0,1,173,491
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 16","Brantford",0,153,0,2,9,0,108,2,3,277,553
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 17","Brantford",0,166,0,5,16,0,105,2,0,294,570
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 18","Brantford",1,162,0,6,11,0,90,0,1,271,572
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 19","Brantford",1,134,0,5,6,0,94,3,0,243,576
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 20","Brantford",0,97,0,2,14,0,74,3,2,192,459
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 21","Brantford",0,130,0,4,17,1,92,4,2,250,610
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 22","Brantford",1,123,0,5,11,1,81,5,2,229,558
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 23","Brantford",0,61,1,0,7,0,45,2,2,118,477
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 24","Brantford",2,76,0,4,10,0,90,0,1,183,594
35015,"Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations"," 25","Brantford",0,98,1,4,6,0,91,0,0,200,480
