Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Erika Alexander,Georgia Beauchemin,John-Paul Danko,Jim Enos,Roberto Henriquez,Ava Sharavi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 503","Mobile poll/Bureau itinérant",30,2,94,0,5,1,4,136,200
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,25
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 505","Mobile poll/Bureau itinérant",14,2,27,0,4,0,0,47,28
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 506","Mobile poll/Bureau itinérant",18,5,53,0,10,0,0,86,68
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,12
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,36
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 509","Mobile poll/Bureau itinérant",15,1,44,1,11,1,1,74,48
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,60
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 511","Mobile poll/Bureau itinérant",12,1,27,3,9,2,0,54,108
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 512","Mobile poll/Bureau itinérant",29,2,62,0,21,1,3,118,91
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,104
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 514","Mobile poll/Bureau itinérant",12,3,57,1,1,0,3,77,94
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,41
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 516","Mobile poll/Bureau itinérant",34,1,103,0,7,1,6,152,149
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,59
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,31
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 519","Mobile poll/Bureau itinérant",17,1,50,1,4,0,1,74,92
