Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Faisal Ali,Greg Brady,Kyle Forster,Jennifer McKelvie,Leigh Paulseth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax/Ajax"," 111","Ajax",1,73,8,117,5,7,211,571
35001,"Ajax/Ajax"," 112","Ajax",0,69,1,75,3,0,148,480
35001,"Ajax/Ajax"," 113","Ajax",0,46,6,77,1,3,133,426
35001,"Ajax/Ajax"," 114","Ajax",2,48,1,54,0,5,110,398
35001,"Ajax/Ajax"," 115","Ajax",3,69,4,88,0,0,164,607
35001,"Ajax/Ajax"," 116","Ajax",5,83,5,114,3,2,212,601
35001,"Ajax/Ajax"," 117","Ajax",3,68,2,156,2,0,231,593
35001,"Ajax/Ajax"," 118","Ajax",5,71,4,99,2,0,181,536
35001,"Ajax/Ajax"," 119","Ajax",1,44,2,70,1,0,118,386
35001,"Ajax/Ajax"," 120","Ajax",6,96,4,110,3,4,223,668
35001,"Ajax/Ajax"," 121","Ajax",1,78,5,104,2,0,190,524
35001,"Ajax/Ajax"," 122","Ajax",0,70,3,112,3,0,188,526
35001,"Ajax/Ajax"," 123","Ajax",8,97,1,67,0,0,173,536
35001,"Ajax/Ajax"," 124","Ajax",0,62,5,90,2,0,159,451
35001,"Ajax/Ajax"," 125","Ajax",0,68,10,95,2,1,176,428
35001,"Ajax/Ajax"," 126","Ajax",0,103,5,70,3,0,181,428
35001,"Ajax/Ajax"," 127","Ajax",0,104,7,121,9,1,242,507
35001,"Ajax/Ajax"," 128","Ajax",3,87,7,120,2,2,221,481
35001,"Ajax/Ajax"," 129","Ajax",2,61,2,84,5,0,154,307
35001,"Ajax/Ajax"," 130","Ajax",3,101,4,124,3,0,235,446
35001,"Ajax/Ajax"," 131","Ajax",2,76,6,92,2,0,178,423
35001,"Ajax/Ajax"," 132","Ajax",2,90,7,125,3,3,230,559
35001,"Ajax/Ajax"," 133","Ajax",0,61,7,105,3,4,180,388
35001,"Ajax/Ajax"," 134","Ajax",1,81,9,120,0,4,215,463
35001,"Ajax/Ajax"," 135","Ajax",0,81,6,75,3,2,167,362
35001,"Ajax/Ajax"," 136","Ajax",1,116,2,99,8,2,228,474
35001,"Ajax/Ajax"," 137A","Ajax",0,73,6,94,3,2,178,379
35001,"Ajax/Ajax"," 137B","Ajax",1,77,15,113,2,4,212,408
35001,"Ajax/Ajax"," 138","Ajax",0,30,3,52,0,0,85,230
35001,"Ajax/Ajax"," 139","Ajax",1,51,5,86,3,0,146,484
35001,"Ajax/Ajax"," 140","Ajax",1,75,1,76,3,2,158,446
35001,"Ajax/Ajax"," 141","Ajax",4,84,4,93,1,0,186,418
35001,"Ajax/Ajax"," 142","Ajax",0,66,4,98,1,0,169,506
35001,"Ajax/Ajax"," 143","Ajax",2,65,6,77,1,1,152,453
35001,"Ajax/Ajax"," 144","Ajax",4,72,10,141,4,0,231,628
35001,"Ajax/Ajax"," 145","Ajax",0,53,0,54,2,1,110,269
35001,"Ajax/Ajax"," 146","Ajax",2,32,1,43,1,0,79,216
35001,"Ajax/Ajax"," 147","Ajax",0,52,0,70,1,2,125,449
35001,"Ajax/Ajax"," 148","Ajax",0,54,1,78,2,1,136,516
35001,"Ajax/Ajax"," 149","Ajax",2,38,2,72,1,1,116,405
35001,"Ajax/Ajax"," 150","Ajax",1,61,5,69,1,4,141,388
35001,"Ajax/Ajax"," 151","Ajax",0,38,1,48,1,1,89,358
35001,"Ajax/Ajax"," 152","Ajax",0,83,7,81,0,1,172,477
35001,"Ajax/Ajax"," 153","Ajax",0,94,0,90,0,0,184,525
35001,"Ajax/Ajax"," 154","Ajax",1,91,9,78,2,1,182,429
35001,"Ajax/Ajax"," 155","Ajax",4,68,6,92,2,3,175,426
35001,"Ajax/Ajax"," 156","Ajax",1,84,7,81,0,3,176,499
35001,"Ajax/Ajax"," 157","Ajax",1,104,5,117,3,0,230,423
35001,"Ajax/Ajax"," 158","Ajax",0,63,5,49,2,1,120,411
35001,"Ajax/Ajax"," 159","Ajax",1,53,3,84,3,0,144,380
35001,"Ajax/Ajax"," 160","Ajax",0,62,5,84,0,0,151,401
35001,"Ajax/Ajax"," 161","Ajax",3,52,2,123,3,1,184,547
35001,"Ajax/Ajax"," 162","Ajax",0,79,2,60,2,0,143,462
35001,"Ajax/Ajax"," 163","Ajax",1,87,10,102,2,3,205,573
35001,"Ajax/Ajax"," 164","Ajax",2,86,10,70,1,2,171,496
35001,"Ajax/Ajax"," 165","Ajax",6,73,3,81,1,3,167,486
35001,"Ajax/Ajax"," 166","Ajax",4,57,8,54,0,0,123,441
35001,"Ajax/Ajax"," 167","Ajax",0,139,4,106,5,0,254,539
35001,"Ajax/Ajax"," 168A","Ajax",0,34,7,54,1,1,97,517
35001,"Ajax/Ajax"," 168B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,2
35001,"Ajax/Ajax"," 169","Ajax",0,79,6,88,7,1,181,525
35001,"Ajax/Ajax"," 170","Ajax",0,73,7,89,4,3,176,493
35001,"Ajax/Ajax"," 171","Ajax",1,59,4,91,3,0,158,375
35001,"Ajax/Ajax"," 172","Ajax",0,83,6,139,7,0,235,539
35001,"Ajax/Ajax"," 173","Ajax",0,92,6,130,3,3,234,481
35001,"Ajax/Ajax"," 174","Ajax",0,85,6,86,0,1,178,431
35001,"Ajax/Ajax"," 175","Ajax",0,77,7,89,0,1,174,425
35001,"Ajax/Ajax"," 176","Ajax",0,60,6,95,1,2,164,434
35001,"Ajax/Ajax"," 177","Ajax",0,84,8,84,2,2,180,450
