Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Adam Delgado,Colin Kindret,Stephanie Kusie,Austin Mullins,Sunjiv Raval,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48010,"Calgary Midnapore/Calgary Midnapore"," 1","Calgary",0,0,111,13,80,1,205,585
48010,"Calgary Midnapore/Calgary Midnapore"," 2","Calgary",0,1,68,5,61,2,137,381
48010,"Calgary Midnapore/Calgary Midnapore"," 3","Calgary",3,3,111,15,91,1,224,467
48010,"Calgary Midnapore/Calgary Midnapore"," 4","Calgary",3,0,97,3,48,1,152,416
48010,"Calgary Midnapore/Calgary Midnapore"," 5","Calgary",0,3,123,7,96,0,229,508
48010,"Calgary Midnapore/Calgary Midnapore"," 6","Calgary",4,1,120,8,91,0,224,471
48010,"Calgary Midnapore/Calgary Midnapore"," 7A","Calgary",2,0,118,7,59,0,186,655
48010,"Calgary Midnapore/Calgary Midnapore"," 7B","Mobile poll/Bureau itinérant",4,6,103,6,73,12,204,116
48010,"Calgary Midnapore/Calgary Midnapore"," 8","Calgary",1,6,118,7,50,1,183,428
48010,"Calgary Midnapore/Calgary Midnapore"," 9","Calgary",1,1,60,15,30,3,110,391
48010,"Calgary Midnapore/Calgary Midnapore"," 10","Calgary",0,1,122,10,45,0,178,401
48010,"Calgary Midnapore/Calgary Midnapore"," 11","Calgary",4,2,132,7,47,0,192,396
48010,"Calgary Midnapore/Calgary Midnapore"," 12","Calgary",2,3,131,9,74,0,219,406
48010,"Calgary Midnapore/Calgary Midnapore"," 13","Calgary",1,3,102,9,62,0,177,358
48010,"Calgary Midnapore/Calgary Midnapore"," 14","Calgary",0,1,151,12,76,2,242,398
48010,"Calgary Midnapore/Calgary Midnapore"," 15","Calgary",2,0,69,7,42,1,121,451
48010,"Calgary Midnapore/Calgary Midnapore"," 16","Calgary",4,1,109,9,51,1,175,520
48010,"Calgary Midnapore/Calgary Midnapore"," 17","Calgary",1,2,122,4,35,1,165,477
48010,"Calgary Midnapore/Calgary Midnapore"," 18","Calgary",2,2,120,4,53,0,181,385
48010,"Calgary Midnapore/Calgary Midnapore"," 19","Calgary",5,4,137,9,82,0,237,494
48010,"Calgary Midnapore/Calgary Midnapore"," 20","Calgary",2,2,175,11,77,1,268,633
48010,"Calgary Midnapore/Calgary Midnapore"," 21A","Calgary",2,0,72,14,35,0,123,222
48010,"Calgary Midnapore/Calgary Midnapore"," 21B","Calgary",0,0,73,10,37,1,121,213
48010,"Calgary Midnapore/Calgary Midnapore"," 22","Calgary",2,2,111,11,41,0,167,460
48010,"Calgary Midnapore/Calgary Midnapore"," 23","Calgary",4,0,123,10,50,3,190,437
48010,"Calgary Midnapore/Calgary Midnapore"," 24","Calgary",0,0,114,4,69,0,187,477
48010,"Calgary Midnapore/Calgary Midnapore"," 25","Calgary",1,3,51,10,44,0,109,352
48010,"Calgary Midnapore/Calgary Midnapore"," 26","Calgary",3,0,110,6,43,0,162,374
48010,"Calgary Midnapore/Calgary Midnapore"," 27","Calgary",0,0,111,4,48,2,165,367
48010,"Calgary Midnapore/Calgary Midnapore"," 28","Calgary",0,3,119,9,54,2,187,416
48010,"Calgary Midnapore/Calgary Midnapore"," 29","Calgary",1,0,146,9,65,1,222,426
48010,"Calgary Midnapore/Calgary Midnapore"," 30","Calgary",3,1,162,13,76,0,255,517
48010,"Calgary Midnapore/Calgary Midnapore"," 31","Calgary",1,0,87,8,46,2,144,459
48010,"Calgary Midnapore/Calgary Midnapore"," 32","Calgary",1,0,93,1,33,2,130,365
48010,"Calgary Midnapore/Calgary Midnapore"," 33","Calgary",0,0,95,1,80,0,176,367
48010,"Calgary Midnapore/Calgary Midnapore"," 34","Calgary",1,4,100,4,49,1,159,371
48010,"Calgary Midnapore/Calgary Midnapore"," 35","Calgary",4,3,107,4,38,0,156,420
48010,"Calgary Midnapore/Calgary Midnapore"," 36","Calgary",2,5,100,7,66,0,180,472
48010,"Calgary Midnapore/Calgary Midnapore"," 37","Calgary",1,1,120,5,31,0,158,443
48010,"Calgary Midnapore/Calgary Midnapore"," 38","Calgary",0,2,147,9,39,1,198,449
48010,"Calgary Midnapore/Calgary Midnapore"," 39","Calgary",0,3,120,6,44,0,173,407
48010,"Calgary Midnapore/Calgary Midnapore"," 40","Calgary",2,0,142,10,46,0,200,421
48010,"Calgary Midnapore/Calgary Midnapore"," 41","Calgary",2,0,84,1,52,4,143,329
48010,"Calgary Midnapore/Calgary Midnapore"," 42","Calgary",4,2,119,3,68,1,197,462
48010,"Calgary Midnapore/Calgary Midnapore"," 43","Calgary",1,4,142,3,50,2,202,455
48010,"Calgary Midnapore/Calgary Midnapore"," 44","Calgary",0,1,113,6,47,1,168,413
48010,"Calgary Midnapore/Calgary Midnapore"," 45A","Calgary",Combined with No./Résultats combinés à ceux du n°401A,,,,,,,131
48010,"Calgary Midnapore/Calgary Midnapore"," 45B","Calgary",Combined with No./Résultats combinés à ceux du n°401B,,,,,,,194
48010,"Calgary Midnapore/Calgary Midnapore"," 46","Calgary",0,2,75,3,32,1,113,463
48010,"Calgary Midnapore/Calgary Midnapore"," 47","Calgary",1,1,135,1,55,0,193,435
48010,"Calgary Midnapore/Calgary Midnapore"," 48","Calgary",1,1,136,9,55,1,203,507
48010,"Calgary Midnapore/Calgary Midnapore"," 49","Calgary",0,0,76,2,44,1,123,358
48010,"Calgary Midnapore/Calgary Midnapore"," 50","Calgary",1,0,85,6,51,0,143,397
48010,"Calgary Midnapore/Calgary Midnapore"," 51","Calgary",1,3,181,13,74,1,273,543
