Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Steve Black,Nicole Fortier Levesque,Serge Lefebvre,Gaétan Malette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 1","Peawanuck",17,25,1,1,0,44,123
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 2","Attawapiskat",51,23,0,11,0,85,770
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 3","Fort Albany 67",73,2,0,1,0,76,702
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 4","Moosonee",66,26,3,29,1,125,434
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 5","Moosonee",72,28,4,26,4,134,575
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 6","Fort Albany 67",105,24,2,11,0,142,353
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 7","Factory Island 1",140,65,3,34,0,242,591
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 7-1","Factory Island 1--Moose Factory",Combined with No./Résultats combinés à ceux du n°7,,,,,,241
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 8","Factory Island",Combined with No./Résultats combinés à ceux du n°7,,,,,,310
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 9","Kapuskasing",74,18,3,64,1,160,410
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 10","Kapuskasing",69,39,1,72,1,182,558
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 11","Kapuskasing",65,33,3,79,0,180,487
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 12","Kapuskasing",46,21,2,93,0,162,513
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 13","Kapuskasing",61,21,0,78,0,160,408
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 14","Kapuskasing",40,27,1,94,1,163,413
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 15","Constance Lake 92",35,28,3,13,0,79,477
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 16","Mattice",35,30,5,66,0,136,263
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 17","Mattice",54,25,1,70,3,153,261
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 18","Lac-Ste-Thérèse",53,10,0,57,2,122,309
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 19","Calstock",36,6,1,33,1,77,209
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 20","Hearst",71,21,1,78,0,171,459
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 21","Hearst",83,18,2,76,2,181,457
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 22","Hearst",75,14,1,53,0,143,502
35044,"Kapuskasing--Timmins--Mushkegowuk/Kapuskasing--Timmins--Mushkegowuk"," 23","Hearst",77,26,3,70,0,176,482
