Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Simon Bérubé,Daniel Brisson,Tommy Bureau,Jean-Yves Duclos,Patrick Kerr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24059,"Québec Centre/Québec-Centre"," 1","Québec",100,15,20,108,7,7,257,537
24059,"Québec Centre/Québec-Centre"," 2","Québec",80,13,10,67,2,9,181,340
24059,"Québec Centre/Québec-Centre"," 3","Québec",84,8,14,133,8,5,252,450
24059,"Québec Centre/Québec-Centre"," 4","Québec",50,12,12,50,2,6,132,316
24059,"Québec Centre/Québec-Centre"," 5","Québec",43,4,10,68,1,1,127,318
24059,"Québec Centre/Québec-Centre"," 6","Québec",46,11,31,52,1,5,146,306
24059,"Québec Centre/Québec-Centre"," 7","Québec",47,13,9,74,3,6,152,442
24059,"Québec Centre/Québec-Centre"," 8","Québec",60,5,15,84,4,2,170,402
24059,"Québec Centre/Québec-Centre"," 9","Québec",54,5,16,51,5,4,135,322
24059,"Québec Centre/Québec-Centre"," 10","Québec",33,4,7,38,1,1,84,334
24059,"Québec Centre/Québec-Centre"," 11","Québec",72,5,14,81,2,2,176,402
24059,"Québec Centre/Québec-Centre"," 12","Québec",78,8,6,101,1,6,200,601
24059,"Québec Centre/Québec-Centre"," 13","Québec",50,2,30,63,5,5,155,301
24059,"Québec Centre/Québec-Centre"," 14","Québec",41,5,19,50,0,3,118,290
24059,"Québec Centre/Québec-Centre"," 15","Québec",66,12,14,97,1,3,193,526
24059,"Québec Centre/Québec-Centre"," 16","Québec",33,4,10,58,2,1,108,415
24059,"Québec Centre/Québec-Centre"," 17","Québec",49,2,9,61,1,2,124,369
24059,"Québec Centre/Québec-Centre"," 18","Québec",66,15,6,70,6,9,172,453
24059,"Québec Centre/Québec-Centre"," 19","Québec",62,13,12,42,4,8,141,344
24059,"Québec Centre/Québec-Centre"," 20","Québec",56,16,6,40,9,9,136,308
24059,"Québec Centre/Québec-Centre"," 21","Québec",37,19,6,54,3,7,126,334
24059,"Québec Centre/Québec-Centre"," 22","Québec",51,7,7,45,4,8,122,323
24059,"Québec Centre/Québec-Centre"," 23","Québec",48,14,6,34,3,8,113,329
24059,"Québec Centre/Québec-Centre"," 24","Québec",46,13,6,39,3,9,116,389
24059,"Québec Centre/Québec-Centre"," 25","Québec",33,11,9,34,1,6,94,290
24059,"Québec Centre/Québec-Centre"," 26","Québec",37,13,11,43,6,9,119,355
24059,"Québec Centre/Québec-Centre"," 27","Québec",66,3,16,87,1,4,177,457
24059,"Québec Centre/Québec-Centre"," 28","Québec",46,3,16,43,3,5,116,298
