Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ryder Finlay,Giovanna Mingarelli,Deborah Perrier,Thaila Riden,Julie Séguin,Jason St-Louis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 1","Champlain",5,65,0,4,50,2,1,127,323
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 2","L'Orignal",1,63,0,0,50,1,2,117,351
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 3","Hawkesbury",5,79,2,5,60,0,2,153,472
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 4","Champlain",3,33,1,1,39,0,1,78,261
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 5","Hawkesbury",2,50,1,3,51,1,1,109,375
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 6","Hawkesbury",3,55,1,0,56,0,1,116,346
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 7","Hawkesbury",5,62,2,3,88,1,4,165,491
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 8","Hawkesbury",6,71,3,4,52,2,1,139,515
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 9","Hawkesbury",6,49,2,0,53,0,4,114,458
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 10","Hawkesbury",4,47,1,2,73,2,2,131,563
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 11","Hawkesbury",1,33,3,0,55,0,0,92,381
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 12","Hawkesbury",6,42,1,4,48,0,1,102,376
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 13","Hawkesbury",2,63,4,2,56,0,0,127,436
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 14","Hawkesbury",7,38,1,1,58,1,2,108,495
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 15","Hawkesbury",2,72,2,1,43,2,2,124,400
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 16","Hawkesbury",0,46,1,2,34,0,0,83,547
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 17","Hawkesbury",2,52,2,1,41,1,3,102,448
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 18","Hawkesbury",3,67,0,5,49,0,2,126,469
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 19","Champlain",1,81,0,7,80,0,1,170,383
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 20","Hawkesbury",2,54,3,2,59,0,0,120,395
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 21","Hawkesbury",1,56,2,1,79,0,2,141,466
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 22","Hawkesbury",8,75,3,3,69,1,3,162,448
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 23","Hawkesbury",4,89,2,4,79,1,0,179,449
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 24","Champlain",4,100,1,1,60,1,3,170,451
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 25","Green Lane",9,73,2,4,59,1,0,148,401
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 26","Champlain",7,95,3,3,109,0,6,223,540
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 27","L'Orignal",2,72,2,0,56,0,0,132,332
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 28","Champlain",2,61,0,1,35,0,0,99,271
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 29","L'Ange-Gardien",1,73,2,7,70,1,0,154,368
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 30","East Hawkesbury",5,129,0,2,87,1,2,226,449
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 31","Chute-à-Blondeau",6,118,1,1,98,0,2,226,395
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 32","La Renouche",4,57,0,1,76,1,1,140,402
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 33","Stardale",2,64,2,1,106,0,1,176,424
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 34","Pointe Filion",1,85,1,2,49,0,2,140,311
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 35","Lefaivre",2,102,2,2,73,1,2,184,382
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 36","Coins Gratton",4,64,2,5,69,1,0,145,272
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 37","Alfred and Plantagenet",6,75,0,2,60,0,1,144,328
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 38","Sandy Hill",1,82,0,0,97,0,3,183,392
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 39","Cassburn",3,50,7,3,94,0,1,158,288
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 40","St-Eugène",2,57,6,3,87,1,0,156,409
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 41","East Hawkesbury",2,72,3,5,89,1,1,173,452
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 42","Henrys Corner",0,92,0,2,103,0,1,198,466
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 43","Vankleek Hill Station",1,80,1,5,79,2,0,168,448
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 44","Champlain",8,56,2,3,59,0,1,129,419
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 45","Champlain",1,50,1,0,45,0,1,98,396
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 46","Champlain",5,66,1,2,49,0,0,123,427
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 47","Champlain",5,88,0,7,77,0,0,177,499
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 48","McAlpine",6,36,4,4,74,2,0,126,264
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 49","Aberdeen",4,60,3,2,108,0,2,179,396
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 50","Treadwell",2,39,1,1,73,1,1,118,257
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 51","Alfred and Plantagenet",3,88,5,0,59,0,1,156,308
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 52","Alfred",4,76,0,2,100,0,4,186,430
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 53","Alfred and Plantagenet",3,96,2,7,86,0,2,196,460
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 54","Alfred",7,57,5,3,60,1,2,135,389
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 55","Alfred and Plantagenet",5,86,7,4,81,0,0,183,420
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 56","Alfred and Plantagenet",1,88,5,3,93,1,0,191,457
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 57","Ste-Anne-de-Prescott",4,88,8,6,100,0,2,208,364
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 58","Alfred and Plantagenet",1,80,2,1,67,0,3,154,405
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 59","Plantagenet",8,61,1,2,70,1,0,143,424
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 60","Plantagenet",8,56,2,0,62,4,0,132,371
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 61","Alfred and Plantagenet",11,149,2,2,108,2,3,277,484
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 62","Alfred and Plantagenet",10,186,2,0,175,0,6,379,702
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 63","Alfred and Plantagenet",5,97,2,6,82,0,3,195,344
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 64","Alfred and Plantagenet",12,115,3,6,91,1,3,231,398
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 65","Wendover",0,94,3,4,97,2,1,201,384
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 66","Centrefield",5,56,5,2,74,3,0,145,438
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 67","Clarence-Rockland",2,79,1,4,62,0,0,148,451
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 68","Clarence-Rockland",4,68,1,4,81,0,0,158,442
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 69","Clarence-Rockland",5,63,5,2,80,1,2,158,442
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 70","Clarence-Rockland",5,101,1,2,66,0,1,176,546
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 71","Clarence-Rockland",4,73,2,1,50,1,0,131,403
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 72","Clarence-Rockland",3,46,3,4,45,1,0,102,361
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 73","Clarence-Rockland",6,87,3,1,59,0,1,157,500
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 74","Clarence-Rockland",6,87,3,3,79,2,1,181,524
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 75","Clarence-Rockland",3,53,1,1,40,0,3,101,352
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 76","Clarence-Rockland",7,122,2,1,97,0,2,231,659
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 77","Clarence-Rockland",9,80,1,1,69,0,2,162,482
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 78","Clarence-Rockland",7,103,0,1,57,0,0,168,508
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 79","Clarence-Rockland",1,72,3,0,59,1,1,137,478
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 80","Clarence-Rockland",5,70,1,3,54,0,2,135,410
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 81","Clarence-Rockland",5,43,0,1,54,0,2,105,316
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 82","Clarence-Rockland",8,68,4,1,83,0,2,166,409
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 83","Clarence-Rockland",3,95,1,3,62,0,0,164,482
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 84","Clarence-Rockland",10,95,5,1,57,0,2,170,468
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 85","Clarence-Rockland",5,125,1,1,77,1,2,212,549
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 86","Clarence-Rockland",3,61,3,3,34,1,0,105,336
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 87","Clarence-Rockland",5,140,2,1,56,1,1,206,434
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 88","Clarence-Rockland",8,66,3,0,62,0,2,141,491
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 89","Clarence-Rockland",2,110,1,2,71,0,0,186,552
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 90","Clarence-Rockland",2,116,2,5,69,1,1,196,485
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 91","Clarence-Rockland",2,70,0,1,44,0,1,118,366
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 92","Clarence-Rockland",5,65,2,3,52,1,0,128,405
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 93","Clarence-Rockland",4,83,1,1,52,0,0,141,421
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 94","Clarence-Rockland",4,59,2,2,65,0,1,133,426
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 95","Clarence-Rockland",3,143,1,0,83,0,0,230,654
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 96","Clarence-Rockland",1,90,2,0,42,0,2,137,365
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 97","Clarence-Rockland",4,85,1,2,44,0,0,136,360
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 98","Clarence-Rockland",5,59,1,2,48,2,0,117,421
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 99","Curran",6,102,6,3,108,0,2,227,457
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 100","Alfred and Plantagenet",4,83,3,5,104,0,0,199,424
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 101","Clarence-Rockland",8,111,2,2,84,2,1,210,437
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 102","Clarence-Rockland",6,135,1,5,80,1,1,229,417
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 103","Clarence-Rockland",9,116,6,0,92,0,1,224,407
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 104","Clarence-Rockland",4,97,5,5,62,0,0,173,328
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 105","Clarence-Rockland",9,151,5,3,112,3,3,286,471
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 106","St-Bernardin",4,93,1,5,120,2,1,226,457
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 107","Riceville",2,88,8,0,125,0,0,223,471
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 108","Fournier",8,117,2,1,162,4,1,295,440
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 109","Clarence-Rockland",6,91,4,1,113,0,3,218,366
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 110","Clarence-Rockland",1,81,4,1,83,0,0,170,256
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 111","Clarence-Rockland",8,88,1,0,95,0,1,193,440
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 112","Clarence-Rockland",4,62,0,0,55,1,2,124,369
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 113","Clarence-Rockland",4,61,2,3,88,0,1,159,355
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 114","Clarence-Rockland",13,80,0,2,104,2,0,201,470
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 115","Clarence-Rockland",6,84,1,6,61,1,2,161,413
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 116","Clarence-Rockland",8,68,3,2,67,1,1,150,387
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 117","Ottawa",2,85,0,3,61,0,0,151,431
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 118","Ottawa",4,81,2,4,70,0,1,162,455
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 119","Ottawa",5,101,2,0,75,0,1,184,472
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 120","Ottawa",8,129,0,1,79,0,0,217,585
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 121","Ottawa",3,109,2,1,60,4,0,179,477
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 122","Ottawa",1,73,6,2,54,0,0,136,450
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 123","Ottawa",5,96,2,2,74,1,0,180,479
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 124","Ottawa",2,63,1,4,53,0,0,123,440
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 125","Ottawa",4,116,1,1,62,1,0,185,576
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 126","Ottawa",1,79,0,0,49,0,0,129,462
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 127","Ottawa",4,111,1,0,77,0,3,196,675
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 128","St. Isidore",10,103,9,4,117,1,1,245,425
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 129","St. Isidore",11,119,3,7,120,0,2,262,428
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 130","St. Isidore",5,111,4,2,119,1,0,242,387
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 131","Ste-Rose-de-Prescott",2,82,1,0,89,1,0,175,412
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 132","Clarence-Rockland",5,107,4,4,93,1,2,216,463
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 133","Clarence-Rockland",6,129,3,3,106,1,0,248,453
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 134","Clarence-Rockland",3,95,2,3,112,0,2,217,436
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 135","Clarence-Rockland",3,106,0,2,68,0,0,179,443
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 136","Clarence-Rockland",8,67,1,5,93,2,0,176,407
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 137","Clarence-Rockland",10,81,0,0,67,0,0,158,343
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 138","Ottawa",8,124,5,2,116,0,1,256,452
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 139","Ottawa",8,98,4,2,118,2,1,233,445
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 140","Casselman",3,77,3,6,81,0,0,170,440
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 141","Casselman",4,75,2,0,71,0,0,152,399
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 142","Casselman",9,54,0,5,69,1,0,138,499
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 143","Casselman",9,92,3,6,71,0,0,181,492
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 144","Casselman",7,60,2,1,49,0,0,119,331
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 145","Casselman",8,115,2,2,87,1,0,215,583
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 146","Casselman",2,63,2,0,39,1,1,108,400
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 147","Ottawa",8,127,0,1,101,1,0,238,400
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 148","Ottawa",4,115,0,0,113,2,0,234,464
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 149","Ottawa",7,158,4,2,96,0,0,267,407
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 150","Ottawa",2,111,3,1,107,3,0,227,430
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 151","The Nation / La Nation",5,77,6,1,76,0,0,165,325
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 152","The Nation / La Nation",3,162,6,5,137,0,0,313,581
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 153","The Nation / La Nation",12,157,4,3,160,1,1,338,598
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 154","The Nation / La Nation",15,146,7,1,152,5,2,328,615
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 155","Ottawa",6,89,1,1,88,1,1,187,401
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 156","Ottawa",4,66,2,0,75,1,4,152,396
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 157","Ottawa",6,99,1,0,85,0,0,191,440
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 158","Ottawa",5,49,6,0,69,1,1,131,337
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 159","Ottawa",3,75,2,2,94,0,0,176,430
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 160","Ottawa",4,102,1,1,91,0,2,201,446
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 161","Ottawa",16,95,7,2,125,1,0,246,434
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 162","Ottawa",5,71,0,1,51,0,0,128,241
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 163","Limoges",12,115,2,3,127,3,0,262,447
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 164","Gagnon",0,49,3,2,58,1,0,113,282
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 165","Limoges",3,71,2,4,73,0,0,153,270
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 166","The Nation / La Nation",11,129,2,1,82,1,0,226,401
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 167","Limoges",6,104,1,3,101,0,0,215,375
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 168","Limoges",0,32,2,3,67,1,0,105,211
35088,"Prescott--Russell--Cumberland/Prescott--Russell--Cumberland"," 169","Limoges",7,95,0,2,100,2,3,209,420
