Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Harry Dhillon,Garry Dirk,Jennifer Geha,Jasraj Hallan,Priti Obhrai-Martin,Carey Rutherford,Jonathan Trautman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48007,"Calgary East/Calgary-Est"," 1","Calgary",3,2,15,120,48,2,0,2,192,348
48007,"Calgary East/Calgary-Est"," 2","Calgary",4,1,9,80,71,1,1,1,168,391
48007,"Calgary East/Calgary-Est"," 3","Calgary",3,1,4,76,44,3,0,2,133,332
48007,"Calgary East/Calgary-Est"," 4","Calgary",2,0,6,80,59,5,0,0,152,392
48007,"Calgary East/Calgary-Est"," 5","Calgary",2,1,9,63,59,7,2,2,145,357
48007,"Calgary East/Calgary-Est"," 6","Calgary",2,0,2,54,37,0,1,0,96,394
48007,"Calgary East/Calgary-Est"," 7","Calgary",2,2,8,70,33,1,0,1,117,363
48007,"Calgary East/Calgary-Est"," 8","Calgary",5,1,11,87,37,1,0,0,142,389
48007,"Calgary East/Calgary-Est"," 9","Calgary",0,1,5,58,32,0,1,1,98,387
48007,"Calgary East/Calgary-Est"," 10","Calgary",4,0,3,93,58,3,2,1,164,360
48007,"Calgary East/Calgary-Est"," 11","Calgary",5,2,7,73,52,2,0,3,144,402
48007,"Calgary East/Calgary-Est"," 12","Calgary",3,2,4,96,41,1,0,2,149,386
48007,"Calgary East/Calgary-Est"," 13","Calgary",5,1,9,121,81,5,1,3,226,587
48007,"Calgary East/Calgary-Est"," 14","Calgary",3,2,6,77,42,0,0,1,131,366
48007,"Calgary East/Calgary-Est"," 15","Calgary",4,0,10,130,65,1,0,2,212,509
48007,"Calgary East/Calgary-Est"," 16","Calgary",0,0,4,75,39,2,0,2,122,414
48007,"Calgary East/Calgary-Est"," 17","Calgary",0,1,9,84,40,1,0,0,135,415
48007,"Calgary East/Calgary-Est"," 18","Calgary",3,0,12,94,37,1,1,2,150,386
48007,"Calgary East/Calgary-Est"," 19","Calgary",4,2,6,81,67,2,0,1,163,410
48007,"Calgary East/Calgary-Est"," 20","Calgary",2,0,7,84,65,1,2,4,165,519
48007,"Calgary East/Calgary-Est"," 21","Calgary",1,1,6,84,42,2,1,0,137,458
48007,"Calgary East/Calgary-Est"," 22","Calgary",2,2,2,45,46,2,0,1,100,358
48007,"Calgary East/Calgary-Est"," 23","Calgary",3,0,10,82,38,3,0,1,137,355
48007,"Calgary East/Calgary-Est"," 24","Calgary",1,1,3,80,37,2,0,1,125,375
48007,"Calgary East/Calgary-Est"," 25","Calgary",2,1,9,83,46,4,0,1,146,417
48007,"Calgary East/Calgary-Est"," 26","Calgary",1,0,4,75,29,0,1,0,110,333
48007,"Calgary East/Calgary-Est"," 27","Calgary",3,1,9,112,53,3,0,3,184,503
48007,"Calgary East/Calgary-Est"," 28","Calgary",4,2,2,110,65,1,0,2,186,451
48007,"Calgary East/Calgary-Est"," 29","Calgary",2,2,6,41,49,3,0,3,106,378
48007,"Calgary East/Calgary-Est"," 30","Calgary",5,1,4,93,57,2,0,3,165,461
48007,"Calgary East/Calgary-Est"," 31","Calgary",4,3,6,100,53,1,1,2,170,401
48007,"Calgary East/Calgary-Est"," 32","Calgary",3,3,10,89,64,2,1,1,173,353
48007,"Calgary East/Calgary-Est"," 33","Calgary",3,2,2,98,37,3,1,0,146,349
48007,"Calgary East/Calgary-Est"," 34","Calgary",2,1,4,100,57,1,0,0,165,416
48007,"Calgary East/Calgary-Est"," 35","Calgary",3,0,4,100,50,2,0,1,160,422
48007,"Calgary East/Calgary-Est"," 36","Calgary",1,2,10,122,50,1,2,1,189,452
48007,"Calgary East/Calgary-Est"," 37","Calgary",7,2,9,135,64,6,2,1,226,452
48007,"Calgary East/Calgary-Est"," 38","Calgary",3,2,7,98,56,2,0,0,168,400
48007,"Calgary East/Calgary-Est"," 39","Calgary",5,1,12,134,63,1,0,0,216,446
48007,"Calgary East/Calgary-Est"," 40","Calgary",4,0,3,106,40,1,1,1,156,365
48007,"Calgary East/Calgary-Est"," 41","Calgary",1,3,8,138,51,1,1,0,203,460
48007,"Calgary East/Calgary-Est"," 42","Calgary",3,0,6,90,32,0,0,1,132,407
48007,"Calgary East/Calgary-Est"," 43","Calgary",3,2,6,110,59,3,0,1,184,425
48007,"Calgary East/Calgary-Est"," 44","Calgary",1,0,6,111,30,2,0,1,151,387
48007,"Calgary East/Calgary-Est"," 45","Calgary",1,0,2,62,43,1,2,0,111,402
48007,"Calgary East/Calgary-Est"," 46","Calgary",3,1,5,64,38,2,1,0,114,376
48007,"Calgary East/Calgary-Est"," 47","Calgary",2,1,2,70,34,1,0,1,111,360
48007,"Calgary East/Calgary-Est"," 48","Calgary",1,2,5,62,75,2,0,3,150,498
48007,"Calgary East/Calgary-Est"," 49","Calgary",0,1,3,56,41,4,0,1,106,446
48007,"Calgary East/Calgary-Est"," 50","Calgary",3,1,5,88,61,5,0,2,165,562
48007,"Calgary East/Calgary-Est"," 51","Calgary",0,3,6,85,51,1,3,0,149,413
48007,"Calgary East/Calgary-Est"," 52","Calgary",3,0,4,95,42,3,2,2,151,365
48007,"Calgary East/Calgary-Est"," 53","Calgary",5,0,10,206,55,3,1,1,281,531
48007,"Calgary East/Calgary-Est"," 54","Calgary",5,3,5,90,37,6,1,1,148,397
48007,"Calgary East/Calgary-Est"," 55","Calgary",6,0,10,92,77,3,0,0,188,443
48007,"Calgary East/Calgary-Est"," 56","Calgary",2,1,3,123,35,4,0,0,168,413
48007,"Calgary East/Calgary-Est"," 57","Calgary",1,1,8,87,54,5,1,3,160,428
48007,"Calgary East/Calgary-Est"," 58","Calgary",4,2,4,115,64,3,0,2,194,493
48007,"Calgary East/Calgary-Est"," 59","Calgary",2,1,10,78,47,0,1,1,140,416
48007,"Calgary East/Calgary-Est"," 60","Calgary",1,2,9,93,54,2,0,0,161,475
48007,"Calgary East/Calgary-Est"," 61","Calgary",0,1,7,75,45,1,0,0,129,434
48007,"Calgary East/Calgary-Est"," 62","Calgary",0,0,10,73,41,6,1,2,133,330
48007,"Calgary East/Calgary-Est"," 63","Calgary",3,0,6,104,61,1,1,0,176,480
48007,"Calgary East/Calgary-Est"," 64","Calgary",5,2,5,62,40,3,0,0,117,409
48007,"Calgary East/Calgary-Est"," 65","Calgary",10,0,7,106,49,2,1,1,176,396
48007,"Calgary East/Calgary-Est"," 66","Calgary",1,0,6,84,36,0,3,0,130,476
48007,"Calgary East/Calgary-Est"," 67","Calgary",2,5,4,77,37,1,0,5,131,382
48007,"Calgary East/Calgary-Est"," 68","Calgary",8,6,10,84,64,2,0,0,174,447
48007,"Calgary East/Calgary-Est"," 69","Calgary",2,2,4,124,50,3,0,7,192,373
48007,"Calgary East/Calgary-Est"," 70","Calgary",1,1,6,61,39,0,0,0,108,355
48007,"Calgary East/Calgary-Est"," 71","Calgary",1,2,10,99,37,3,0,0,152,366
48007,"Calgary East/Calgary-Est"," 72","Calgary",2,0,15,98,39,2,1,1,158,380
48007,"Calgary East/Calgary-Est"," 73","Calgary",3,3,12,69,39,4,3,4,137,398
48007,"Calgary East/Calgary-Est"," 74","Calgary",7,2,4,91,30,1,0,0,135,532
48007,"Calgary East/Calgary-Est"," 75","Calgary",0,3,10,107,47,1,0,1,169,384
48007,"Calgary East/Calgary-Est"," 76","Calgary",1,3,8,121,63,4,0,1,201,425
48007,"Calgary East/Calgary-Est"," 77","Calgary",2,0,8,116,45,1,0,0,172,421
48007,"Calgary East/Calgary-Est"," 78","Calgary",3,2,9,95,62,3,0,2,176,401
48007,"Calgary East/Calgary-Est"," 79","Calgary",1,2,3,69,43,4,0,1,123,431
48007,"Calgary East/Calgary-Est"," 80","Calgary",4,0,5,73,30,0,1,1,114,449
48007,"Calgary East/Calgary-Est"," 81","Calgary",3,0,8,60,26,3,1,3,104,460
48007,"Calgary East/Calgary-Est"," 82","Calgary",3,0,5,65,30,3,2,0,108,443
48007,"Calgary East/Calgary-Est"," 83A","Calgary",3,0,10,79,40,3,1,3,139,462
48007,"Calgary East/Calgary-Est"," 83B","Mobile poll/Bureau itinérant",4,4,9,41,24,1,0,4,87,102
48007,"Calgary East/Calgary-Est"," 84","Calgary",4,2,9,86,43,3,0,2,149,439
48007,"Calgary East/Calgary-Est"," 85","Calgary",2,1,6,82,50,4,2,0,147,396
48007,"Calgary East/Calgary-Est"," 86","Calgary",2,1,4,73,48,6,1,1,136,397
48007,"Calgary East/Calgary-Est"," 87","Calgary",3,3,15,58,28,5,0,4,116,441
48007,"Calgary East/Calgary-Est"," 88","Calgary",4,0,5,90,26,2,0,3,130,413
48007,"Calgary East/Calgary-Est"," 89","Calgary",2,1,8,89,49,1,0,1,151,452
48007,"Calgary East/Calgary-Est"," 90","Calgary",4,0,19,103,61,7,1,3,198,600
48007,"Calgary East/Calgary-Est"," 91","Calgary",2,1,10,116,72,1,1,2,205,509
48007,"Calgary East/Calgary-Est"," 92","Calgary",3,1,9,53,48,5,2,1,122,389
48007,"Calgary East/Calgary-Est"," 93","Calgary",4,0,7,106,50,4,0,1,172,388
48007,"Calgary East/Calgary-Est"," 94","Calgary",2,1,5,96,44,1,1,0,150,390
48007,"Calgary East/Calgary-Est"," 95","Calgary",2,0,7,63,39,1,0,1,113,353
48007,"Calgary East/Calgary-Est"," 96","Calgary",1,2,5,84,39,2,0,0,133,316
48007,"Calgary East/Calgary-Est"," 97","Calgary",4,0,9,72,28,1,3,0,117,362
