Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Stéphane Bilodeau,Ruth Ellen Brosseau,Elia Gomez-Gnali,Yves Perron,Peter Saliba,Daniel Simon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 1","Saint-Mathieu-du-Parc",47,57,3,52,31,4,3,197,336
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 2","Saint-Mathieu-du-Parc",72,28,1,73,24,2,4,204,398
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 3","Saint-Mathieu-du-Parc",38,40,2,49,43,0,3,175,301
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 4","Saint-Mathieu-du-Parc",42,26,4,62,39,2,2,177,334
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 5","Saint-Alexis-des-Monts",44,33,0,38,26,2,7,150,432
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 6","Saint-Alexis-des-Monts",29,37,2,47,17,1,2,135,374
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 7","Saint-Alexis-des-Monts",32,47,0,35,20,0,2,136,398
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 8","Saint-Alexis-des-Monts",25,13,2,31,21,0,1,93,316
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 9","Saint-Alexis-des-Monts",15,22,2,19,15,0,1,74,253
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 10","Saint-Alexis-des-Monts",24,41,0,20,14,0,1,100,270
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 11","Saint-Alexis-des-Monts",19,16,2,18,15,0,1,71,270
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 12","Saint-Alexis-des-Monts",18,41,4,41,44,1,2,151,417
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 13","Saint-Boniface",31,44,1,35,32,0,0,143,325
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 14","Saint-Boniface",35,45,0,39,43,0,2,164,354
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 15","Saint-Boniface",44,51,4,37,50,1,2,189,424
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 16","Saint-Boniface",29,46,2,40,40,3,2,162,352
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 17","Saint-Boniface",25,27,4,29,15,1,1,102,309
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 18","Saint-Boniface",41,47,0,32,33,0,5,158,372
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 19","Saint-Boniface",39,39,2,25,32,1,5,143,285
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 20","Saint-Boniface",30,32,1,42,30,1,2,138,375
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 21","Saint-Boniface",32,22,1,34,17,1,2,109,329
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 22","Saint-Boniface",42,30,6,41,55,0,3,177,366
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 23","Saint-Boniface",27,42,0,27,55,0,2,153,314
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 24","Saint-Boniface",41,47,0,41,63,1,8,201,360
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 25","Domaine-Ouellet",46,34,3,50,27,3,2,165,397
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 26","Saint-Élie",24,53,4,42,18,3,6,150,352
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 27","Saint-Élie",29,46,1,32,36,4,1,149,405
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 28","Saint-Élie",24,44,1,30,22,3,3,127,362
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 29","Saint-Étienne-des-Grès",44,45,0,45,60,3,1,198,401
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 30","Saint-Étienne-des-Grès",53,39,3,70,49,0,4,218,445
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 31","Saint-Étienne-des-Grès",26,36,0,41,40,2,0,145,349
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 32","Saint-Étienne-des-Grès",35,36,1,51,46,3,0,172,382
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 33","Saint-Étienne-des-Grès",46,55,0,56,65,2,2,226,424
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 34","Saint-Étienne-des-Grès",30,36,0,41,42,1,2,152,354
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 35","Saint-Étienne-des-Grès",33,39,0,29,51,1,4,157,311
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 36","Saint-Étienne-des-Grès",34,47,4,27,50,1,0,163,348
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 37","Charette",54,111,0,77,41,2,2,287,497
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 38","Charette",45,71,5,38,44,2,2,207,414
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 39","Saint-Barnabé",19,70,4,63,38,0,0,194,411
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 40","Saint-Barnabé",43,80,2,39,42,3,0,209,349
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 41","Saint-Étienne-des-Grès",14,30,0,30,17,0,0,91,176
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 42","Saint-Étienne-des-Grès",25,55,2,49,63,0,5,199,472
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 43","Saint-Thomas-de-Caxton",21,64,0,32,18,0,2,137,253
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 44","Saint-Paulin",42,74,2,48,29,0,2,197,448
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 45","Saint-Paulin",35,64,3,46,32,1,4,185,455
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 46","Saint-Paulin",29,46,1,49,35,2,2,164,395
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 47","Saint-Sévère",20,71,2,40,15,1,0,149,243
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 48","Trois-Rivières",69,53,0,49,53,1,2,227,432
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 49","Trois-Rivières",46,35,0,48,47,1,2,179,351
