Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dionne Fehler,Rahima Mian,Andrew Scheer,Chris Simmie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 1","Wynyard",1,13,81,2,0,97,299
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 2","Wynyard",1,12,67,10,0,90,305
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 3","Dafoe",2,10,74,14,1,101,238
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 3-1","Beardy's and Okemasis 96 and 97A",Combined with No./Résultats combinés à ceux du n°3,,,,,,3
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 4","Wynyard",3,15,111,9,1,139,324
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 5","Wynyard",1,23,99,11,0,134,394
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 6","Mount Hope No. 279",Void/Supprimé,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 6-1","Day Star 87",Combined with No./Résultats combinés à ceux du n°17,,,,,,31
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 7","Poorman 88",Combined with No./Résultats combinés à ceux du n°13,,,,,,6
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 8","Poorman 88",Combined with No./Résultats combinés à ceux du n°18,,,,,,83
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 9","Wishart",Combined with No./Résultats combinés à ceux du n°10,,,,,,32
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 10","Wishart",1,4,104,10,1,120,307
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 11","Raymore",Combined with No./Résultats combinés à ceux du n°13,,,,,,12
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 12","Raymore",6,116,143,9,5,279,564
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 13","Raymore",0,97,96,9,1,203,396
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 14","Pilot Butte",1,20,100,9,0,130,413
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 15","Pilot Butte",0,34,43,19,1,97,441
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 16","Pilot Butte",3,18,79,5,1,106,398
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 17","Punnichy",0,64,39,9,0,112,406
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 18","Muskowekwan 85",1,87,14,5,0,107,283
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 19","Gordon 86",0,35,2,2,0,39,239
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 20","Kelliher",5,19,160,13,0,197,257
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 21","Leross",4,23,116,10,1,154,259
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 22","Kelliher",Combined with No./Résultats combinés à ceux du n°20,,,,,,68
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 23","Ituna",0,10,118,8,1,137,410
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 24","Ituna",0,18,52,4,0,74,293
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 25","Hubbard",Combined with No./Résultats combinés à ceux du n°32,,,,,,31
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 26","Cupar",1,14,200,6,1,222,292
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 27","Cupar",2,27,187,7,0,223,350
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 28","Southey",7,29,262,12,0,310,428
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 29","Southey",1,40,292,13,2,348,492
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 30","Dysart",1,15,142,8,0,166,325
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 31","Lipton",1,24,191,10,3,229,386
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 32","Tully met No. 216",1,8,71,7,0,87,182
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 33","Star Blanket 83",1,40,1,4,1,47,90
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 33-1","Little Black Bear 84",Combined with No./Résultats combinés à ceux du n°35-1,,,,,,54
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 34","Balcarres",4,50,76,12,0,142,414
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 35","Peepeekisis 81",Combined with No./Résultats combinés à ceux du n°35-1,,,,,,168
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 35-1","Okanese 82",3,92,4,8,0,107,72
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 36","Balcarres",0,33,75,3,1,112,344
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 37","Pasqua Lake",1,19,73,9,0,102,215
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 38","Standing Buffalo 78",0,93,15,9,0,117,251
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 39","Piapot 75",1,114,13,16,0,144,275
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 40","Muscowpetung 80",4,92,6,8,2,112,57
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 41","Fort San",1,22,76,7,0,106,331
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 42","Fort Qu'Appelle",2,36,69,7,0,114,387
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 43","Pasqua 79",2,78,6,7,0,93,263
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 44","Regina",1,17,85,6,0,109,281
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 45","Regina",1,35,82,9,1,128,380
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 46","Regina",0,33,60,6,0,99,344
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 47","Regina",0,51,66,13,0,130,379
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 48","Fort Qu'Appelle",4,77,61,21,0,163,478
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 49","Fort Qu'Appelle",2,69,69,10,2,152,533
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 50","Fort Qu'Appelle",0,41,54,12,1,108,273
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 50-1","Treaty Four Reserve Grounds 77",Combined with No./Résultats combinés à ceux du n°50,,,,,,37
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 51","North Qu'Appelle No. 187",1,22,83,6,0,112,360
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 52","Edenwold",0,23,97,4,0,124,266
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 53","Edenwold",1,26,101,5,0,133,316
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 54","Abernethy",2,29,118,4,0,153,346
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 55","Edgeley",0,16,125,7,2,150,246
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 56","Regina",1,27,57,3,1,89,279
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 57A","Regina",0,29,45,3,0,77,327
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 57B","Regina",2,21,50,7,1,81,301
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 58","Regina",3,39,76,14,1,133,528
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 59A","Regina",0,41,61,12,0,114,417
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 59B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,7
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 60","Regina",2,25,82,7,1,117,367
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 61","Regina",0,29,92,13,2,136,389
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 62","Regina",0,35,86,9,1,131,366
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 63","Regina",3,45,72,13,0,133,538
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 64","Regina",3,41,71,19,0,134,412
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 65","Regina",0,38,96,11,0,145,399
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 66","Regina",0,44,74,9,1,128,369
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 67","Regina",0,34,70,3,0,107,348
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 68","Regina",0,65,78,4,0,147,408
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 69","Regina",0,38,71,13,0,122,456
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 70","Regina",1,32,52,9,0,94,386
