Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michelle Ferreri,Matthew Grove,Emma Harrison,Chad Jewell,Jami-Leigh McMaster,Jazmine Raine,Heather Ray,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Peterborough/Peterborough"," 24","Selwyn",77,0,49,0,0,0,3,0,129,357
35086,"Peterborough/Peterborough"," 25","Centre Dummer",106,0,38,0,0,2,2,0,148,333
35086,"Peterborough/Peterborough"," 26","Warsaw",75,0,29,1,0,0,3,1,109,304
35086,"Peterborough/Peterborough"," 27","Warsaw",94,2,48,0,0,3,4,0,151,412
35086,"Peterborough/Peterborough"," 28","Cottesloe",90,0,55,0,3,2,3,1,154,365
35086,"Peterborough/Peterborough"," 29","Curve Lake First Nation 35",63,0,78,0,0,2,10,1,154,411
35086,"Peterborough/Peterborough"," 30","Curve Lake First Nation 35",38,0,82,1,0,3,13,1,138,349
35086,"Peterborough/Peterborough"," 31","Curve Lake First Nation 35",34,0,76,0,0,3,13,1,127,310
35086,"Peterborough/Peterborough"," 32","Douro-Dummer",37,0,31,0,0,0,0,0,68,261
35086,"Peterborough/Peterborough"," 33","Douro-Dummer",61,1,40,0,0,0,4,1,107,267
35086,"Peterborough/Peterborough"," 34","Selwyn",49,0,80,0,1,2,4,1,137,515
35086,"Peterborough/Peterborough"," 35","Douro",73,2,111,0,1,3,7,1,198,466
35086,"Peterborough/Peterborough"," 36","Selwyn",96,0,56,1,1,1,5,0,160,413
35086,"Peterborough/Peterborough"," 37","Selwyn",58,0,47,1,1,2,5,0,114,367
35086,"Peterborough/Peterborough"," 38","Selwyn",85,0,75,1,0,0,7,0,168,454
35086,"Peterborough/Peterborough"," 39","Selwyn",44,1,58,1,0,0,2,0,106,334
35086,"Peterborough/Peterborough"," 40","Selwyn",34,0,61,0,0,2,2,0,99,328
35086,"Peterborough/Peterborough"," 41","Selwyn",53,2,73,1,0,2,2,1,134,356
35086,"Peterborough/Peterborough"," 42","Selwyn",49,0,67,0,0,2,6,1,125,331
35086,"Peterborough/Peterborough"," 43","Selwyn",68,0,52,0,0,0,6,0,126,351
35086,"Peterborough/Peterborough"," 44","Selwyn",82,0,67,1,2,1,4,0,157,366
35086,"Peterborough/Peterborough"," 45","Young's Cove",95,0,59,0,1,4,7,0,166,444
