Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michelle Ferreri,Matthew Grove,Emma Harrison,Chad Jewell,Jami-Leigh McMaster,Jazmine Raine,Heather Ray,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Peterborough/Peterborough"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,,82
35086,"Peterborough/Peterborough"," 510","Mobile poll/Bureau itinérant",28,1,65,1,0,1,4,4,104,111
35086,"Peterborough/Peterborough"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,,59
35086,"Peterborough/Peterborough"," 512","Mobile poll/Bureau itinérant",24,0,22,0,0,0,3,0,49,81
35086,"Peterborough/Peterborough"," 513","Mobile poll/Bureau itinérant",30,2,47,1,1,0,7,5,93,94
35086,"Peterborough/Peterborough"," 514","Mobile poll/Bureau itinérant",14,1,51,1,2,1,2,0,72,64
35086,"Peterborough/Peterborough"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,,27
35086,"Peterborough/Peterborough"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,,111
35086,"Peterborough/Peterborough"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,,73
35086,"Peterborough/Peterborough"," 518","Mobile poll/Bureau itinérant",43,1,56,1,0,1,8,2,112,100
35086,"Peterborough/Peterborough"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,,85
35086,"Peterborough/Peterborough"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,,96
35086,"Peterborough/Peterborough"," 521","Mobile poll/Bureau itinérant",30,2,61,0,1,2,8,3,107,120
35086,"Peterborough/Peterborough"," 522","Mobile poll/Bureau itinérant",34,0,86,1,1,0,11,1,134,127
35086,"Peterborough/Peterborough"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,,,127
35086,"Peterborough/Peterborough"," 524","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
35086,"Peterborough/Peterborough"," 525","Mobile poll/Bureau itinérant",32,2,130,1,0,0,4,4,173,130
35086,"Peterborough/Peterborough"," 526","Mobile poll/Bureau itinérant",39,0,70,0,0,1,5,6,121,122
35086,"Peterborough/Peterborough"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°528,,,,,,,,,117
35086,"Peterborough/Peterborough"," 528","Mobile poll/Bureau itinérant",25,0,56,1,1,0,6,1,90,141
35086,"Peterborough/Peterborough"," 600","Havelock-Belmont-Methuen",418,4,256,4,2,4,31,1,720,
35086,"Peterborough/Peterborough"," 601","Havelock-Belmont-Methuen",507,0,308,1,4,3,14,4,841,
35086,"Peterborough/Peterborough"," 602","Asphodel-Norwood",383,3,404,0,1,6,33,1,831,
35086,"Peterborough/Peterborough"," 603","Asphodel-Norwood",320,2,293,0,2,3,18,0,638,
35086,"Peterborough/Peterborough"," 604","Warsaw",486,2,437,1,0,4,16,3,949,
35086,"Peterborough/Peterborough"," 605","Youngs Point",473,0,491,1,5,8,12,13,1003,
35086,"Peterborough/Peterborough"," 606","Lakefield",306,1,501,0,0,1,9,1,819,
35086,"Peterborough/Peterborough"," 607","Lakefield",374,1,516,4,1,7,17,2,922,
35086,"Peterborough/Peterborough"," 608","Selwyn",227,0,277,0,1,2,7,2,516,
35086,"Peterborough/Peterborough"," 609","Curve Lake First Nation 35",103,0,117,0,1,0,2,1,224,
35086,"Peterborough/Peterborough"," 610","Ennismore",428,1,436,1,1,2,23,3,895,
35086,"Peterborough/Peterborough"," 611","Bridgenorth",367,0,295,1,2,3,8,2,678,
35086,"Peterborough/Peterborough"," 612","Bridgenorth",483,0,556,1,4,3,16,1,1064,
35086,"Peterborough/Peterborough"," 613","Selwyn",443,1,874,5,2,8,20,3,1356,
35086,"Peterborough/Peterborough"," 614","Peterborough",386,0,918,1,0,6,31,4,1346,
35086,"Peterborough/Peterborough"," 615","Peterborough",389,1,858,3,3,5,23,1,1283,
35086,"Peterborough/Peterborough"," 616","Peterborough",330,0,663,5,4,7,23,3,1035,
35086,"Peterborough/Peterborough"," 617","Selwyn",590,3,732,2,3,3,18,3,1354,
35086,"Peterborough/Peterborough"," 618","Peterborough",494,2,1142,3,0,5,20,6,1672,
35086,"Peterborough/Peterborough"," 619","Peterborough",119,0,411,0,0,8,21,0,559,
35086,"Peterborough/Peterborough"," 620","Peterborough",142,0,307,2,2,4,25,4,486,
35086,"Peterborough/Peterborough"," 621","Peterborough",476,3,1237,2,5,8,51,7,1789,
35086,"Peterborough/Peterborough"," 622","Peterborough",456,0,690,6,0,11,27,3,1193,
35086,"Peterborough/Peterborough"," 623","Peterborough",454,1,772,8,5,3,31,5,1279,
35086,"Peterborough/Peterborough"," 624","Peterborough",103,1,487,1,0,4,13,0,609,
35086,"Peterborough/Peterborough"," 625","Peterborough",155,1,232,0,1,4,9,1,403,
35086,"Peterborough/Peterborough"," 626","Peterborough",464,2,939,2,2,3,7,4,1423,
35086,"Peterborough/Peterborough"," 627","Peterborough",366,2,711,3,5,6,14,2,1109,
35086,"Peterborough/Peterborough"," 628","Peterborough",494,1,760,3,6,12,33,0,1309,
35086,"Peterborough/Peterborough"," 629","Peterborough",489,3,595,2,4,7,21,3,1124,
35086,"Peterborough/Peterborough"," 630","Keene",361,2,319,0,2,8,9,2,703,
35086,"Peterborough/Peterborough"," 631","Otonabee-South Monaghan",232,0,181,0,0,1,8,1,423,
35086,"Peterborough/Peterborough"," 632","Hiawatha First Nation",8,0,13,0,0,0,0,0,21,
35086,"Peterborough/Peterborough",,Group 1/Groupe 1, 179,1,463,1,1,3,21,33,702,351
35086,"Peterborough/Peterborough",,Group 2/Groupe 2, 1533,12,4625,11,13,50,198,35,6477,
