Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Janine G. Gibson,Robert Kreis,Kevin Larson,Branden Leslie,Lisa Tessier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Portage--Lisgar/Portage--Lisgar"," 1","St. Ambroise",0,22,0,32,6,0,60,129
46005,"Portage--Lisgar/Portage--Lisgar"," 2","High Bluff",0,14,3,111,5,2,135,303
46005,"Portage--Lisgar/Portage--Lisgar"," 3","Macdonald",3,4,0,93,6,0,106,274
46005,"Portage--Lisgar/Portage--Lisgar"," 4","Oakland",1,18,1,93,6,1,120,334
46005,"Portage--Lisgar/Portage--Lisgar"," 5","Poplar Point",4,34,7,155,13,4,217,393
46005,"Portage--Lisgar/Portage--Lisgar"," 6","Portage la Prairie",1,54,4,102,23,2,186,464
46005,"Portage--Lisgar/Portage--Lisgar"," 7","Portage la Prairie",0,33,2,105,13,0,153,478
46005,"Portage--Lisgar/Portage--Lisgar"," 8","Portage la Prairie",17,50,2,75,3,0,147,451
46005,"Portage--Lisgar/Portage--Lisgar"," 9","Portage la Prairie",5,43,4,71,16,0,139,490
46005,"Portage--Lisgar/Portage--Lisgar"," 10","Portage la Prairie",3,48,1,110,26,0,188,492
46005,"Portage--Lisgar/Portage--Lisgar"," 11","Portage la Prairie",3,36,0,110,10,0,159,475
46005,"Portage--Lisgar/Portage--Lisgar"," 12","Portage la Prairie",2,23,1,106,10,0,142,346
46005,"Portage--Lisgar/Portage--Lisgar"," 13","Portage la Prairie",1,29,1,91,11,0,133,359
46005,"Portage--Lisgar/Portage--Lisgar"," 14","Portage la Prairie",5,12,2,84,14,0,117,492
46005,"Portage--Lisgar/Portage--Lisgar"," 15","Portage la Prairie",4,34,3,70,13,3,127,465
46005,"Portage--Lisgar/Portage--Lisgar"," 16","Portage la Prairie",1,20,2,68,6,1,98,470
46005,"Portage--Lisgar/Portage--Lisgar"," 17","Portage la Prairie",0,37,5,70,4,0,116,419
46005,"Portage--Lisgar/Portage--Lisgar"," 18","Portage la Prairie",1,50,5,92,14,0,162,456
46005,"Portage--Lisgar/Portage--Lisgar"," 19","Portage la Prairie",5,46,2,73,9,2,137,475
46005,"Portage--Lisgar/Portage--Lisgar"," 20","Portage la Prairie",0,50,3,51,11,0,115,413
46005,"Portage--Lisgar/Portage--Lisgar"," 21","Portage la Prairie",1,52,5,120,14,0,192,535
46005,"Portage--Lisgar/Portage--Lisgar"," 22","Long Plain 6",0,13,1,2,8,0,24,123
46005,"Portage--Lisgar/Portage--Lisgar"," 23","St. Eustache",3,33,4,120,10,0,170,327
46005,"Portage--Lisgar/Portage--Lisgar"," 24","St. Eustache",3,31,5,183,11,8,241,477
46005,"Portage--Lisgar/Portage--Lisgar"," 25","Dakota Tipi 1",0,20,0,5,6,0,31,125
46005,"Portage--Lisgar/Portage--Lisgar"," 26","Portage la Prairie",2,41,0,93,3,1,140,461
46005,"Portage--Lisgar/Portage--Lisgar"," 27","Portage la Prairie",0,46,3,63,6,1,119,494
46005,"Portage--Lisgar/Portage--Lisgar"," 28","Portage la Prairie",0,46,2,75,18,2,143,381
46005,"Portage--Lisgar/Portage--Lisgar"," 29","Portage la Prairie",3,54,0,83,18,1,159,453
46005,"Portage--Lisgar/Portage--Lisgar"," 30","Portage la Prairie",2,42,2,102,10,2,160,466
46005,"Portage--Lisgar/Portage--Lisgar"," 31","Portage la Prairie",2,62,5,110,8,0,187,463
46005,"Portage--Lisgar/Portage--Lisgar"," 32","Portage la Prairie",2,55,1,126,11,2,197,487
46005,"Portage--Lisgar/Portage--Lisgar"," 33","Portage la Prairie",0,34,5,92,9,1,141,442
46005,"Portage--Lisgar/Portage--Lisgar"," 34","Edwin",1,9,7,122,7,4,150,292
46005,"Portage--Lisgar/Portage--Lisgar"," 35","Oakville",1,37,8,169,6,6,227,386
46005,"Portage--Lisgar/Portage--Lisgar"," 36","Newton",4,37,5,146,7,3,202,330
46005,"Portage--Lisgar/Portage--Lisgar"," 37","Oakville",4,41,1,114,17,0,177,307
46005,"Portage--Lisgar/Portage--Lisgar"," 38","Layland",2,6,0,116,2,2,128,302
46005,"Portage--Lisgar/Portage--Lisgar"," 39","Southport",1,28,2,89,9,1,130,361
46005,"Portage--Lisgar/Portage--Lisgar"," 40","Southport",1,34,4,112,12,2,165,364
46005,"Portage--Lisgar/Portage--Lisgar"," 41","St. François Xavier",3,63,4,138,9,1,218,389
46005,"Portage--Lisgar/Portage--Lisgar"," 42","St. François Xavier",3,106,2,139,30,0,280,418
46005,"Portage--Lisgar/Portage--Lisgar"," 43","St. François Xavier",1,62,1,124,17,0,205,351
46005,"Portage--Lisgar/Portage--Lisgar"," 44","Lido Plage",5,89,2,125,10,1,232,418
46005,"Portage--Lisgar/Portage--Lisgar"," 45","Elie",1,21,0,101,3,1,127,311
