Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Brassard,Andrew Harrigan,John Olthuis,Mark Sampson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 33","Barrie",218,14,150,4,3,389,967
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 34","Barrie",115,14,90,6,0,225,624
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 35","Barrie",169,12,125,7,0,313,510
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 36","Barrie",116,15,73,2,0,206,592
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 37","Barrie",124,8,127,0,2,261,595
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 38","Barrie",174,12,107,3,2,298,532
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 39","Barrie",78,9,54,3,0,144,555
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 40","Barrie",101,4,70,1,1,177,570
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 41","Barrie",91,11,65,1,2,170,527
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 42","Barrie",113,4,75,1,0,193,480
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 43","Barrie",112,6,83,5,0,206,544
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 44","Barrie",111,11,62,3,0,187,451
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 45","Barrie",120,8,59,2,1,190,528
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 46","Barrie",122,11,75,3,2,213,543
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 47","Barrie",110,8,74,2,0,194,563
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 48","Barrie",119,7,73,5,0,204,642
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 49","Barrie",106,11,99,2,1,219,575
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 50","Barrie",145,9,89,6,1,250,616
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 51","Barrie",Combined with No./Résultats combinés à ceux du n°38,,,,,,513
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 52","Barrie",97,4,87,2,0,190,565
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 53","Barrie",89,9,63,1,1,163,563
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 54","Barrie",Combined with No./Résultats combinés à ceux du n°35,,,,,,507
