Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ryan Abbott,Dominic Denofrio,Rajvir Dhillon,Krishan Khurana,Randeep Sarai,Beverly Tanchak,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59033,"Surrey Centre/Surrey-Centre"," 1","Surrey",2,21,81,1,79,0,2,186,481
59033,"Surrey Centre/Surrey-Centre"," 2","Surrey",2,13,81,2,78,2,2,180,466
59033,"Surrey Centre/Surrey-Centre"," 3","Surrey",3,15,106,7,124,2,6,263,700
59033,"Surrey Centre/Surrey-Centre"," 4","Surrey",0,13,64,0,93,1,3,174,579
59033,"Surrey Centre/Surrey-Centre"," 5","Surrey",1,19,66,1,67,2,1,157,508
59033,"Surrey Centre/Surrey-Centre"," 6","Surrey",0,12,69,2,58,3,1,145,564
59033,"Surrey Centre/Surrey-Centre"," 7","Surrey",0,8,77,3,70,2,1,161,531
59033,"Surrey Centre/Surrey-Centre"," 8","Surrey",2,8,74,1,74,2,0,161,514
59033,"Surrey Centre/Surrey-Centre"," 9","Surrey",0,10,100,0,99,4,2,215,569
59033,"Surrey Centre/Surrey-Centre"," 10","Surrey",1,13,97,0,96,1,1,209,444
59033,"Surrey Centre/Surrey-Centre"," 11","Surrey",0,1,41,2,44,1,1,90,376
59033,"Surrey Centre/Surrey-Centre"," 12","Surrey",0,7,47,1,71,0,2,128,413
59033,"Surrey Centre/Surrey-Centre"," 13","Surrey",1,10,93,3,60,0,0,167,433
59033,"Surrey Centre/Surrey-Centre"," 14","Surrey",0,12,75,1,96,0,1,185,413
59033,"Surrey Centre/Surrey-Centre"," 15","Surrey",0,14,89,1,88,0,1,193,468
59033,"Surrey Centre/Surrey-Centre"," 16","Surrey",0,15,51,0,61,0,0,127,428
59033,"Surrey Centre/Surrey-Centre"," 17","Surrey",0,10,80,4,73,6,2,175,399
59033,"Surrey Centre/Surrey-Centre"," 18","Surrey",1,19,91,0,93,1,0,205,501
59033,"Surrey Centre/Surrey-Centre"," 19","Surrey",0,9,68,1,60,1,0,139,349
59033,"Surrey Centre/Surrey-Centre"," 20","Surrey",Combined with No./Résultats combinés à ceux du n°17,,,,,,,,482
59033,"Surrey Centre/Surrey-Centre"," 21","Surrey",3,8,84,2,75,1,0,173,496
59033,"Surrey Centre/Surrey-Centre"," 22","Surrey",0,12,119,2,119,0,4,256,624
59033,"Surrey Centre/Surrey-Centre"," 23","Surrey",Combined with No./Résultats combinés à ceux du n°22,,,,,,,,440
59033,"Surrey Centre/Surrey-Centre"," 24","Surrey",0,2,66,2,79,0,0,149,549
59033,"Surrey Centre/Surrey-Centre"," 25","Surrey",3,8,74,2,69,0,1,157,465
59033,"Surrey Centre/Surrey-Centre"," 26","Surrey",0,9,66,0,55,1,0,131,382
59033,"Surrey Centre/Surrey-Centre"," 27","Surrey",1,11,50,0,35,3,2,102,458
59033,"Surrey Centre/Surrey-Centre"," 28","Surrey",0,11,88,2,72,0,3,176,488
59033,"Surrey Centre/Surrey-Centre"," 29","Surrey",1,10,51,5,51,1,4,123,398
59033,"Surrey Centre/Surrey-Centre"," 30","Surrey",0,10,72,3,91,1,3,180,461
59033,"Surrey Centre/Surrey-Centre"," 31","Surrey",0,7,67,0,84,0,0,158,508
59033,"Surrey Centre/Surrey-Centre"," 32","Surrey",4,16,101,5,83,2,4,215,418
59033,"Surrey Centre/Surrey-Centre"," 33","Surrey",Combined with No./Résultats combinés à ceux du n°32,,,,,,,,434
59033,"Surrey Centre/Surrey-Centre"," 34","Surrey",0,4,31,1,33,2,2,73,310
59033,"Surrey Centre/Surrey-Centre"," 35","Surrey",2,14,52,2,44,2,0,116,467
59033,"Surrey Centre/Surrey-Centre"," 36","Surrey",1,11,38,1,48,2,0,101,459
59033,"Surrey Centre/Surrey-Centre"," 37","Surrey",0,4,33,1,42,4,1,85,361
59033,"Surrey Centre/Surrey-Centre"," 38","Surrey",1,15,78,4,87,1,0,186,649
59033,"Surrey Centre/Surrey-Centre"," 39","Surrey",Combined with No./Résultats combinés à ceux du n°38,,,,,,,,397
59033,"Surrey Centre/Surrey-Centre"," 40","Surrey",1,7,41,0,43,2,1,95,468
59033,"Surrey Centre/Surrey-Centre"," 41","Surrey",1,4,68,0,58,0,0,131,564
59033,"Surrey Centre/Surrey-Centre"," 42","Surrey",2,12,104,2,66,4,1,191,502
59033,"Surrey Centre/Surrey-Centre"," 43","Surrey",0,9,91,5,76,0,0,181,470
59033,"Surrey Centre/Surrey-Centre"," 44","Surrey",0,15,52,2,64,1,0,134,486
59033,"Surrey Centre/Surrey-Centre"," 45","Surrey",0,22,88,2,65,2,3,182,392
59033,"Surrey Centre/Surrey-Centre"," 46","Surrey",0,20,116,4,90,3,3,236,440
59033,"Surrey Centre/Surrey-Centre"," 47","Surrey",Combined with No./Résultats combinés à ceux du n°46,,,,,,,,449
59033,"Surrey Centre/Surrey-Centre"," 48","Surrey",0,13,90,2,85,2,2,194,628
59033,"Surrey Centre/Surrey-Centre"," 49","Surrey",0,26,95,3,96,2,1,223,544
59033,"Surrey Centre/Surrey-Centre"," 50","Surrey",0,9,65,1,73,1,4,153,535
59033,"Surrey Centre/Surrey-Centre"," 51","Surrey",1,15,43,0,61,0,1,121,318
59033,"Surrey Centre/Surrey-Centre"," 52","Surrey",2,8,64,2,70,0,0,146,558
59033,"Surrey Centre/Surrey-Centre"," 53","Surrey",1,4,66,1,51,0,1,124,476
59033,"Surrey Centre/Surrey-Centre"," 54","Surrey",1,22,148,2,150,2,1,326,344
59033,"Surrey Centre/Surrey-Centre"," 55","Surrey",Combined with No./Résultats combinés à ceux du n°54,,,,,,,,668
59033,"Surrey Centre/Surrey-Centre"," 56","Surrey",0,7,39,1,29,0,1,77,568
59033,"Surrey Centre/Surrey-Centre"," 57","Surrey",1,11,58,0,57,1,0,128,405
59033,"Surrey Centre/Surrey-Centre"," 58","Surrey",2,14,65,0,66,1,2,150,415
59033,"Surrey Centre/Surrey-Centre"," 59","Surrey",0,8,62,3,49,4,4,130,420
59033,"Surrey Centre/Surrey-Centre"," 60","Surrey",2,18,132,4,94,2,0,252,484
59033,"Surrey Centre/Surrey-Centre"," 61","Surrey",Combined with No./Résultats combinés à ceux du n°60,,,,,,,,619
59033,"Surrey Centre/Surrey-Centre"," 62","Surrey",1,11,63,0,58,0,0,133,417
59033,"Surrey Centre/Surrey-Centre"," 63","Surrey",1,10,42,0,28,1,0,82,457
59033,"Surrey Centre/Surrey-Centre"," 64","Surrey",1,12,56,3,61,2,1,136,575
59033,"Surrey Centre/Surrey-Centre"," 65","Surrey",1,14,74,2,49,0,1,141,500
59033,"Surrey Centre/Surrey-Centre"," 66","Surrey",0,8,52,1,67,1,0,129,412
59033,"Surrey Centre/Surrey-Centre"," 67","Surrey",0,18,61,2,53,0,3,137,413
59033,"Surrey Centre/Surrey-Centre"," 68","Surrey",0,4,68,1,67,3,3,146,494
59033,"Surrey Centre/Surrey-Centre"," 69","Surrey",0,13,57,0,71,0,3,144,398
59033,"Surrey Centre/Surrey-Centre"," 70","Surrey",0,9,62,2,62,1,2,138,392
59033,"Surrey Centre/Surrey-Centre"," 71","Surrey",0,15,71,1,49,0,1,137,432
59033,"Surrey Centre/Surrey-Centre"," 72","Surrey",1,8,58,0,90,0,2,159,460
59033,"Surrey Centre/Surrey-Centre"," 73","Surrey",0,8,22,2,52,0,0,84,389
59033,"Surrey Centre/Surrey-Centre"," 74","Surrey",0,13,80,3,85,5,3,189,552
59033,"Surrey Centre/Surrey-Centre"," 75","Surrey",1,24,98,1,62,0,0,186,419
59033,"Surrey Centre/Surrey-Centre"," 76","Surrey",2,21,86,1,67,4,4,185,415
59033,"Surrey Centre/Surrey-Centre"," 77","Surrey",1,8,53,2,56,3,2,125,330
59033,"Surrey Centre/Surrey-Centre"," 78","Surrey",1,21,89,4,99,1,1,216,538
59033,"Surrey Centre/Surrey-Centre"," 79","Surrey",0,17,59,0,79,2,1,158,501
59033,"Surrey Centre/Surrey-Centre"," 80","Surrey",2,15,77,0,62,1,1,158,623
59033,"Surrey Centre/Surrey-Centre"," 81","Surrey",2,16,84,1,74,2,0,179,581
59033,"Surrey Centre/Surrey-Centre"," 82","Surrey",0,11,72,1,85,0,3,172,491
59033,"Surrey Centre/Surrey-Centre"," 83","Surrey",1,8,49,2,49,0,0,109,370
59033,"Surrey Centre/Surrey-Centre"," 84","Surrey",0,14,72,4,73,2,2,167,529
59033,"Surrey Centre/Surrey-Centre"," 85","Surrey",0,13,108,2,105,0,0,228,467
59033,"Surrey Centre/Surrey-Centre"," 86","Surrey",Combined with No./Résultats combinés à ceux du n°85,,,,,,,,375
59033,"Surrey Centre/Surrey-Centre"," 87","Surrey",0,3,39,0,43,0,0,85,322
59033,"Surrey Centre/Surrey-Centre"," 88","Surrey",0,5,50,0,66,0,0,121,424
59033,"Surrey Centre/Surrey-Centre"," 89","Surrey",0,11,34,0,32,0,3,80,326
59033,"Surrey Centre/Surrey-Centre"," 90","Surrey",1,17,103,4,102,3,6,236,610
59033,"Surrey Centre/Surrey-Centre"," 91","Surrey",Combined with No./Résultats combinés à ceux du n°90,,,,,,,,286
59033,"Surrey Centre/Surrey-Centre"," 92","Surrey",1,7,54,3,70,0,0,135,476
59033,"Surrey Centre/Surrey-Centre"," 93","Surrey",1,4,42,0,47,0,0,94,370
59033,"Surrey Centre/Surrey-Centre"," 94","Surrey",0,3,53,0,30,0,1,87,302
59033,"Surrey Centre/Surrey-Centre"," 95","Surrey",1,9,56,0,37,0,0,103,383
59033,"Surrey Centre/Surrey-Centre"," 96","Surrey",1,6,38,1,45,1,0,92,451
59033,"Surrey Centre/Surrey-Centre"," 97","Surrey",0,26,95,2,96,4,4,227,434
59033,"Surrey Centre/Surrey-Centre"," 98","Surrey",Combined with No./Résultats combinés à ceux du n°97,,,,,,,,503
59033,"Surrey Centre/Surrey-Centre"," 99","Surrey",1,14,108,2,81,5,0,211,345
59033,"Surrey Centre/Surrey-Centre"," 100","Surrey",Combined with No./Résultats combinés à ceux du n°99,,,,,,,,486
59033,"Surrey Centre/Surrey-Centre"," 101","Surrey",0,15,94,0,70,1,0,180,424
59033,"Surrey Centre/Surrey-Centre"," 102","Surrey",0,6,29,0,29,1,0,65,381
59033,"Surrey Centre/Surrey-Centre"," 103","Surrey",Combined with No./Résultats combinés à ceux du n°101,,,,,,,,314
59033,"Surrey Centre/Surrey-Centre"," 104","Surrey",5,27,124,6,126,0,0,288,593
59033,"Surrey Centre/Surrey-Centre"," 105","Surrey",Combined with No./Résultats combinés à ceux du n°104,,,,,,,,640
59033,"Surrey Centre/Surrey-Centre"," 106","Surrey",2,23,124,1,147,1,0,298,468
59033,"Surrey Centre/Surrey-Centre"," 107","Surrey",Combined with No./Résultats combinés à ceux du n°106,,,,,,,,370
59033,"Surrey Centre/Surrey-Centre"," 108","Surrey",1,14,60,2,46,1,0,124,573
59033,"Surrey Centre/Surrey-Centre"," 109","Surrey",2,17,68,2,87,0,0,176,591
59033,"Surrey Centre/Surrey-Centre"," 110A","Surrey",0,9,76,0,64,1,1,151,373
59033,"Surrey Centre/Surrey-Centre"," 110B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,14
59033,"Surrey Centre/Surrey-Centre"," 111","Surrey",2,17,61,3,86,5,1,175,480
59033,"Surrey Centre/Surrey-Centre"," 112","Surrey",0,8,89,1,72,0,4,174,652
59033,"Surrey Centre/Surrey-Centre"," 113","Surrey",1,17,70,1,69,0,1,159,404
59033,"Surrey Centre/Surrey-Centre"," 114","Surrey",2,20,56,2,81,3,0,164,576
59033,"Surrey Centre/Surrey-Centre"," 115","Surrey",0,12,50,3,63,1,3,132,585
59033,"Surrey Centre/Surrey-Centre"," 116","Surrey",0,17,115,2,128,5,0,267,524
59033,"Surrey Centre/Surrey-Centre"," 117","Surrey",0,1,59,0,48,0,1,109,343
59033,"Surrey Centre/Surrey-Centre"," 118","Surrey",Combined with No./Résultats combinés à ceux du n°116,,,,,,,,480
59033,"Surrey Centre/Surrey-Centre"," 119","Surrey",0,4,41,2,51,0,0,98,377
59033,"Surrey Centre/Surrey-Centre"," 120","Surrey",0,4,54,3,53,0,2,116,390
59033,"Surrey Centre/Surrey-Centre"," 121","Surrey",0,16,95,1,142,1,7,262,361
59033,"Surrey Centre/Surrey-Centre"," 122","Surrey",Combined with No./Résultats combinés à ceux du n°121,,,,,,,,454
59033,"Surrey Centre/Surrey-Centre"," 123","Surrey",1,6,70,0,86,0,4,167,487
59033,"Surrey Centre/Surrey-Centre"," 124","Surrey",2,19,69,5,90,1,0,186,584
59033,"Surrey Centre/Surrey-Centre"," 125","Surrey",0,5,80,0,64,0,1,150,475
59033,"Surrey Centre/Surrey-Centre"," 126","Surrey",0,5,68,1,62,0,3,139,507
59033,"Surrey Centre/Surrey-Centre"," 127","Surrey",0,4,58,1,73,0,0,136,497
59033,"Surrey Centre/Surrey-Centre"," 128","Surrey",1,15,127,1,132,1,2,279,392
59033,"Surrey Centre/Surrey-Centre"," 129","Surrey",Combined with No./Résultats combinés à ceux du n°128,,,,,,,,464
59033,"Surrey Centre/Surrey-Centre"," 130","Surrey",0,4,62,0,49,0,1,116,371
59033,"Surrey Centre/Surrey-Centre"," 131","Surrey",0,3,141,2,112,1,1,260,428
59033,"Surrey Centre/Surrey-Centre"," 132","Surrey",Combined with No./Résultats combinés à ceux du n°131,,,,,,,,396
59033,"Surrey Centre/Surrey-Centre"," 133","Surrey",0,5,37,0,44,0,0,86,309
59033,"Surrey Centre/Surrey-Centre"," 134","Surrey",1,11,88,3,86,1,2,192,581
59033,"Surrey Centre/Surrey-Centre"," 135","Surrey",0,12,62,1,53,0,1,129,495
59033,"Surrey Centre/Surrey-Centre"," 136","Surrey",0,4,35,0,37,0,1,77,399
59033,"Surrey Centre/Surrey-Centre"," 137","Surrey",0,3,43,0,38,0,0,84,434
59033,"Surrey Centre/Surrey-Centre"," 138","Surrey",1,10,78,0,82,0,1,172,387
59033,"Surrey Centre/Surrey-Centre"," 139","Surrey",0,3,51,1,54,0,0,109,316
59033,"Surrey Centre/Surrey-Centre"," 140","Surrey",1,14,86,0,92,1,2,196,440
59033,"Surrey Centre/Surrey-Centre"," 141","Surrey",0,10,67,0,87,0,1,165,436
59033,"Surrey Centre/Surrey-Centre"," 142","Surrey",1,11,59,3,86,0,3,163,488
59033,"Surrey Centre/Surrey-Centre"," 143","Surrey",0,4,72,1,74,1,3,155,370
59033,"Surrey Centre/Surrey-Centre"," 144","Surrey",0,4,73,0,67,0,1,145,549
59033,"Surrey Centre/Surrey-Centre"," 145","Surrey",1,6,30,2,26,0,0,65,328
59033,"Surrey Centre/Surrey-Centre"," 146","Surrey",0,6,45,0,44,0,1,96,457
59033,"Surrey Centre/Surrey-Centre"," 147","Surrey",0,10,59,0,67,1,0,137,481
59033,"Surrey Centre/Surrey-Centre"," 148","Surrey",1,18,131,0,156,0,3,309,341
59033,"Surrey Centre/Surrey-Centre"," 149","Surrey",0,8,71,2,71,1,5,158,393
59033,"Surrey Centre/Surrey-Centre"," 150","Surrey",Combined with No./Résultats combinés à ceux du n°148,,,,,,,,402
59033,"Surrey Centre/Surrey-Centre"," 151","Surrey",0,4,82,0,75,0,1,162,353
59033,"Surrey Centre/Surrey-Centre"," 152","Surrey",0,4,54,1,93,0,4,156,388
59033,"Surrey Centre/Surrey-Centre"," 153","Surrey",1,12,100,0,113,0,3,229,500
59033,"Surrey Centre/Surrey-Centre"," 400","Surrey",Combined with No./Résultats combinés à ceux du n°59,,,,,,,,232
59033,"Surrey Centre/Surrey-Centre"," 401","Surrey",Combined with No./Résultats combinés à ceux du n°113,,,,,,,,284
59033,"Surrey Centre/Surrey-Centre"," 500","Surrey",Combined with No./Résultats combinés à ceux du n°6,,,,,,,,12
59033,"Surrey Centre/Surrey-Centre"," 501","Mobile poll/Bureau itinérant",2,28,26,3,29,4,3,95,133
59033,"Surrey Centre/Surrey-Centre"," 502","Mobile poll/Bureau itinérant",2,14,19,2,42,0,1,80,116
59033,"Surrey Centre/Surrey-Centre"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,101
59033,"Surrey Centre/Surrey-Centre"," 504","Mobile poll/Bureau itinérant",0,13,14,3,15,1,0,46,62
59033,"Surrey Centre/Surrey-Centre"," 505","Mobile poll/Bureau itinérant",1,9,12,3,23,2,1,51,63
59033,"Surrey Centre/Surrey-Centre"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,87
59033,"Surrey Centre/Surrey-Centre"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,28
59033,"Surrey Centre/Surrey-Centre"," 600","Surrey",7,61,509,13,521,10,9,1130,
59033,"Surrey Centre/Surrey-Centre"," 601","Surrey",2,96,733,19,821,9,11,1691,
59033,"Surrey Centre/Surrey-Centre"," 602","Surrey",8,82,526,9,680,3,6,1314,
59033,"Surrey Centre/Surrey-Centre"," 603","Surrey",9,141,684,16,749,11,3,1613,
59033,"Surrey Centre/Surrey-Centre"," 604","Surrey",9,87,584,10,612,6,10,1318,
59033,"Surrey Centre/Surrey-Centre"," 605","Surrey",5,114,577,19,735,5,15,1470,
59033,"Surrey Centre/Surrey-Centre"," 606","Surrey",9,77,442,20,605,4,4,1161,
59033,"Surrey Centre/Surrey-Centre"," 607","Surrey",12,104,618,17,760,10,13,1534,
59033,"Surrey Centre/Surrey-Centre"," 608","Surrey",10,114,635,19,709,4,8,1499,
59033,"Surrey Centre/Surrey-Centre"," 609","Surrey",2,67,633,7,737,5,14,1465,
59033,"Surrey Centre/Surrey-Centre"," 610","Surrey",2,47,502,5,712,4,9,1281,
59033,"Surrey Centre/Surrey-Centre"," 611","Surrey",2,65,544,8,708,5,15,1347,
59033,"Surrey Centre/Surrey-Centre"," 612","Surrey",2,59,565,5,697,5,2,1335,
59033,"Surrey Centre/Surrey-Centre",,Group 1/Groupe 1, 2,32,174,4,272,4,18,506,212
59033,"Surrey Centre/Surrey-Centre",,Group 2/Groupe 2, 6,113,568,17,852,10,59,1625,
