Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andrew Hill,Gerald Irish,Karen Ludwig,Keith Tays,John Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13009,"Saint John--St. Croix/Saint John--St. Croix"," 51","Central Greenwich",18,6,89,0,160,0,273,439
13009,"Saint John--St. Croix/Saint John--St. Croix"," 52","Blissville",6,3,42,3,117,3,174,400
13009,"Saint John--St. Croix/Saint John--St. Croix"," 53","Hoyt",5,3,34,1,113,0,156,296
13009,"Saint John--St. Croix/Saint John--St. Croix"," 54","Fredericton Junction",4,3,28,1,68,0,104,331
13009,"Saint John--St. Croix/Saint John--St. Croix"," 55","Fredericton Junction",7,4,36,0,100,0,147,381
13009,"Saint John--St. Croix/Saint John--St. Croix"," 56","Greenwich Hill",3,2,62,0,151,1,219,428
13009,"Saint John--St. Croix/Saint John--St. Croix"," 57","Public Landing",4,2,49,0,102,1,158,341
13009,"Saint John--St. Croix/Saint John--St. Croix"," 58","Tracy",7,5,31,1,144,0,188,473
13009,"Saint John--St. Croix/Saint John--St. Croix"," 59","Tracy",8,3,31,3,135,1,181,464
13009,"Saint John--St. Croix/Saint John--St. Croix"," 60","Morrisdale",7,2,48,2,68,1,128,445
13009,"Saint John--St. Croix/Saint John--St. Croix"," 61","Grand Bay-Westfield",7,2,34,0,56,0,99,326
13009,"Saint John--St. Croix/Saint John--St. Croix"," 62","Welsford",10,6,74,0,139,3,232,419
13009,"Saint John--St. Croix/Saint John--St. Croix"," 63","Nerepis",12,3,27,0,62,1,105,313
13009,"Saint John--St. Croix/Saint John--St. Croix"," 64","Nerepis",5,1,27,0,81,2,116,311
13009,"Saint John--St. Croix/Saint John--St. Croix"," 65","Grand Bay-Westfield",4,0,60,0,61,0,125,394
13009,"Saint John--St. Croix/Saint John--St. Croix"," 66","Grand Bay-Westfield",7,2,69,0,45,1,124,406
13009,"Saint John--St. Croix/Saint John--St. Croix"," 67","Grand Bay-Westfield",9,2,69,1,82,0,163,449
13009,"Saint John--St. Croix/Saint John--St. Croix"," 68","Grand Bay-Westfield",7,0,50,1,66,0,124,422
13009,"Saint John--St. Croix/Saint John--St. Croix"," 69","McAdam",1,0,15,1,68,0,85,315
13009,"Saint John--St. Croix/Saint John--St. Croix"," 70","McAdam",4,0,26,1,72,1,104,325
13009,"Saint John--St. Croix/Saint John--St. Croix"," 71","McAdam",4,1,23,0,123,0,151,397
13009,"Saint John--St. Croix/Saint John--St. Croix"," 72","Wirral",5,6,38,1,94,4,148,259
13009,"Saint John--St. Croix/Saint John--St. Croix"," 73","Saint John",5,3,47,2,68,0,125,341
13009,"Saint John--St. Croix/Saint John--St. Croix"," 74","Saint John",5,4,33,1,74,1,118,344
13009,"Saint John--St. Croix/Saint John--St. Croix"," 75","Grand Bay-Westfield",3,3,55,1,82,0,144,424
13009,"Saint John--St. Croix/Saint John--St. Croix"," 76","Grand Bay-Westfield",3,0,70,1,64,1,139,428
13009,"Saint John--St. Croix/Saint John--St. Croix"," 77","Grand Bay-Westfield",6,3,60,0,58,1,128,487
13009,"Saint John--St. Croix/Saint John--St. Croix"," 78","Grand Bay-Westfield",15,4,39,2,78,2,140,428
13009,"Saint John--St. Croix/Saint John--St. Croix"," 79","Grand Bay-Westfield",8,2,52,1,60,0,123,425
13009,"Saint John--St. Croix/Saint John--St. Croix"," 80","Saint John",2,0,58,0,45,1,106,326
13009,"Saint John--St. Croix/Saint John--St. Croix"," 81","Saint John",13,1,46,2,71,2,135,334
