Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Claude Debellefeuille,Tyler Jones,Martin Lévesque,Miguel Perras,Kristian Solarik,Priska St-Pierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 1","Beauharnois",94,3,1,54,2,25,0,179,364
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 2","Beauharnois",102,6,0,67,5,55,1,236,429
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 3","Beauharnois",93,2,5,41,1,29,1,172,425
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 4","Beauharnois",100,2,0,55,4,56,3,220,451
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 5","Beauharnois",97,6,5,49,4,64,3,228,515
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 6","Beauharnois",92,1,2,46,0,43,1,185,482
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 7","Beauharnois",125,2,1,63,3,64,3,261,517
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 8","Beauharnois",106,6,3,51,2,43,5,216,587
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 9","Très-Saint-Rédempteur",67,6,0,40,3,41,0,157,399
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 10","Très-Saint-Rédempteur",53,6,2,53,4,65,2,185,463
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 11","Sainte-Marthe",75,4,1,65,7,52,0,204,425
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 12","Sainte-Marthe",63,4,2,69,5,49,0,192,416
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 13","Pointe-des-Cascades",88,5,2,59,2,48,5,209,589
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 14","Pointe-des-Cascades",44,3,2,55,5,39,3,151,301
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 15","Pointe-des-Cascades",63,12,1,78,1,62,3,220,468
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 16","Les Cèdres",44,8,2,69,1,31,1,156,339
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 17","Les Cèdres",63,5,2,89,2,61,5,227,501
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 18","Les Cèdres",42,1,2,59,4,44,3,155,394
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 19","Beauharnois",97,18,2,53,2,48,1,221,545
