Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Natasha Akiwenzie,Ann Gillies,Christopher Neudorf,Alex Ruff,Pavel Smolko,Anne Marie Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 1","Tobermory",8,2,1,40,2,76,0,129,300
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 2","St. Edmunds",4,1,5,70,0,77,2,159,332
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 3","Tobermory",4,1,6,54,0,50,0,115,354
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 4","Miller Lake West",2,0,0,72,1,77,1,153,329
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 5","Miller Lake West",5,0,3,82,5,46,0,141,390
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 6","Ferndale",2,0,5,44,0,28,0,79,329
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 7","Lion's Head",5,0,7,63,0,34,0,109,370
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 8","Barrow Bay",3,1,3,73,1,52,1,134,408
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 9","Pike Bay",4,0,1,74,0,40,2,121,396
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 10","Neyaashiinimiing 27",20,1,12,12,1,86,0,132,336
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 11","Neyaashiinimiing 27",14,0,8,16,3,47,0,88,198
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 12","Stokes Bay",6,1,3,80,1,33,1,125,382
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 13","Pike Bay",2,2,8,69,3,48,0,132,380
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 14","South Bruce Peninsula",5,4,4,87,2,47,0,149,456
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 15","South Bruce Peninsula",2,0,4,101,2,54,2,165,517
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 16","South Bruce Peninsula",8,7,4,97,0,76,2,194,479
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 17","Big Bay",5,3,5,78,0,84,0,175,492
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 18","Meaford",9,1,3,63,1,49,0,126,328
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 19","Meaford",1,0,14,66,0,41,0,122,421
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 20A","Meaford",3,1,5,52,1,38,0,100,300
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 20B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,58
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 21","Meaford",8,2,6,79,3,55,0,153,386
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 22","Meaford",6,0,5,69,1,78,0,159,469
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 23","Lake Charles",4,0,0,39,0,36,0,79,271
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 24","Oxenden",7,0,3,69,1,46,0,126,393
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 25","South Bruce Peninsula",5,0,12,50,0,25,0,92,383
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 26","South Bruce Peninsula",7,1,8,63,0,36,0,115,426
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 27","Zion",4,0,4,66,0,34,0,108,313
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 28","Zion",4,5,3,88,1,46,1,148,359
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 29","South Bruce Peninsula",5,3,3,131,1,53,0,196,506
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 30","South Bruce Peninsula",2,2,1,58,2,50,0,115,368
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 31","South Bruce Peninsula",6,0,6,55,4,26,2,99,292
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 32","South Bruce Peninsula",4,1,2,35,0,24,0,66,306
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 33","Lindenwood",11,3,9,138,0,72,0,233,442
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 34","East Linton",2,1,2,87,3,155,0,250,426
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 35","East Linton",4,0,10,106,1,115,2,238,437
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 36","East Linton",4,0,1,53,0,70,0,128,319
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 37","Meaford",2,0,5,62,2,73,0,144,438
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 38","Meaford",5,0,2,46,0,57,0,110,368
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 39","Meaford",1,2,6,103,3,37,1,153,369
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 40","Meaford",4,2,2,47,0,32,0,87,326
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 41","Meaford",4,0,0,50,2,73,0,129,528
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 42","Meaford",5,1,3,40,3,41,0,93,303
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 43","Meaford",2,0,6,65,1,51,1,126,313
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 44","Meaford",3,0,3,83,0,44,0,133,391
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 45","Meaford",2,1,5,33,1,64,0,106,396
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 46","Meaford",0,0,2,60,0,66,0,128,358
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 47","Owen Sound",2,0,8,63,0,67,0,140,426
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 48","Owen Sound",3,1,2,57,1,50,1,115,295
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 49","Owen Sound",5,1,7,91,1,77,2,184,442
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 50","Owen Sound",9,0,13,110,0,82,2,216,458
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 51","Owen Sound",9,2,13,88,0,98,0,210,538
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 52","Owen Sound",9,2,7,60,2,42,0,122,486
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 53","South Bruce Peninsula",3,2,3,63,1,39,0,111,441
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 54","South Bruce Peninsula",2,1,4,55,1,55,0,118,401
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 55","South Bruce Peninsula",3,3,1,95,0,38,0,140,376
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 56","South Bruce Peninsula",4,1,11,76,2,57,2,153,428
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 57","South Bruce Peninsula",2,3,3,104,2,62,0,176,534
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 58","South Bruce Peninsula",5,1,7,143,0,85,1,242,565
