Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michelle Foxton,Jesse Pauley,Danielle Rae,Scott Reid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"Lanark--Frontenac/Lanark--Frontenac"," 196","Verona",53,1,4,87,0,145,435
35051,"Lanark--Frontenac/Lanark--Frontenac"," 197","Bellrock",51,2,9,106,0,168,435
35051,"Lanark--Frontenac/Lanark--Frontenac"," 198","South Frontenac",46,2,4,50,0,102,276
35051,"Lanark--Frontenac/Lanark--Frontenac"," 199","South Frontenac",49,1,2,64,0,116,382
35051,"Lanark--Frontenac/Lanark--Frontenac"," 200","South Frontenac",29,1,0,51,0,81,331
35051,"Lanark--Frontenac/Lanark--Frontenac"," 201","Hartington",58,1,10,104,1,174,340
35051,"Lanark--Frontenac/Lanark--Frontenac"," 202","South Frontenac",45,0,1,36,1,83,270
35051,"Lanark--Frontenac/Lanark--Frontenac"," 203","South Frontenac",70,0,2,74,0,146,381
35051,"Lanark--Frontenac/Lanark--Frontenac"," 204","Sunbury",45,0,5,66,0,116,347
35051,"Lanark--Frontenac/Lanark--Frontenac"," 205","South Frontenac",86,3,4,89,0,182,442
35051,"Lanark--Frontenac/Lanark--Frontenac"," 206","Ida Hill",67,2,4,85,0,158,327
35051,"Lanark--Frontenac/Lanark--Frontenac"," 207","Sunbury",54,4,8,69,0,135,304
35051,"Lanark--Frontenac/Lanark--Frontenac"," 208","Sydenham",60,1,7,53,1,122,465
35051,"Lanark--Frontenac/Lanark--Frontenac"," 209","South Frontenac",46,0,7,58,0,111,386
35051,"Lanark--Frontenac/Lanark--Frontenac"," 210","Lake Opinicon",63,1,7,65,0,136,420
35051,"Lanark--Frontenac/Lanark--Frontenac"," 211","South Frontenac",31,4,5,53,0,93,258
35051,"Lanark--Frontenac/Lanark--Frontenac"," 212","Sydenham",43,2,6,57,1,109,361
35051,"Lanark--Frontenac/Lanark--Frontenac"," 213","Inverary",91,0,5,104,0,200,416
35051,"Lanark--Frontenac/Lanark--Frontenac"," 214","Inverary",111,0,2,91,0,204,402
35051,"Lanark--Frontenac/Lanark--Frontenac"," 215","Davidsons Beach",73,1,4,74,1,153,317
35051,"Lanark--Frontenac/Lanark--Frontenac"," 216","Latimer",135,1,4,86,0,226,458
35051,"Lanark--Frontenac/Lanark--Frontenac"," 217","Latimer",57,1,3,59,0,120,303
35051,"Lanark--Frontenac/Lanark--Frontenac"," 218","Petworth",46,1,9,64,3,123,263
35051,"Lanark--Frontenac/Lanark--Frontenac"," 219","Harrowsmith",64,2,7,104,0,177,401
35051,"Lanark--Frontenac/Lanark--Frontenac"," 220","Petworth",49,2,4,49,0,104,302
35051,"Lanark--Frontenac/Lanark--Frontenac"," 221","Star Corners",81,2,6,77,0,166,357
35051,"Lanark--Frontenac/Lanark--Frontenac"," 222","Harrowsmith",81,5,14,98,2,200,504
