Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Catherine Dansereau-Redhead,Fayçal El-Khoury,Étienne Loiselle-Schiettekatte,Konstantinos Merakos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laval--Les Îles/Laval--Les Îles"," 1","Laval",60,73,9,48,2,192,447
24038,"Laval--Les Îles/Laval--Les Îles"," 2","Laval",47,54,13,33,2,149,322
24038,"Laval--Les Îles/Laval--Les Îles"," 3","Laval",21,60,6,55,0,142,412
24038,"Laval--Les Îles/Laval--Les Îles"," 4","Laval",44,85,7,46,3,185,421
24038,"Laval--Les Îles/Laval--Les Îles"," 5","Laval",32,63,10,64,2,171,397
24038,"Laval--Les Îles/Laval--Les Îles"," 6","Laval",37,86,5,60,4,192,438
24038,"Laval--Les Îles/Laval--Les Îles"," 7","Laval",18,84,3,40,3,148,386
24038,"Laval--Les Îles/Laval--Les Îles"," 8","Laval",26,95,9,80,1,211,473
24038,"Laval--Les Îles/Laval--Les Îles"," 9","Laval",39,78,7,48,1,173,433
24038,"Laval--Les Îles/Laval--Les Îles"," 10","Laval",31,111,10,52,3,207,509
24038,"Laval--Les Îles/Laval--Les Îles"," 11","Laval",41,64,7,52,2,166,429
24038,"Laval--Les Îles/Laval--Les Îles"," 12","Laval",14,104,5,90,1,214,515
24038,"Laval--Les Îles/Laval--Les Îles"," 13","Laval",43,84,10,49,2,188,451
24038,"Laval--Les Îles/Laval--Les Îles"," 14","Laval",50,74,1,41,4,170,426
24038,"Laval--Les Îles/Laval--Les Îles"," 15","Laval",24,86,21,75,2,208,482
24038,"Laval--Les Îles/Laval--Les Îles"," 16","Laval",48,68,7,79,3,205,483
24038,"Laval--Les Îles/Laval--Les Îles"," 17","Laval",12,78,10,69,3,172,423
24038,"Laval--Les Îles/Laval--Les Îles"," 18","Laval",15,80,10,42,2,149,447
24038,"Laval--Les Îles/Laval--Les Îles"," 19","Laval",12,74,12,74,2,174,430
24038,"Laval--Les Îles/Laval--Les Îles"," 20","Laval",10,98,8,90,4,210,423
24038,"Laval--Les Îles/Laval--Les Îles"," 21","Laval",14,100,13,100,4,231,526
24038,"Laval--Les Îles/Laval--Les Îles"," 22","Laval",9,93,7,95,3,207,512
24038,"Laval--Les Îles/Laval--Les Îles"," 23","Laval",32,73,10,60,3,178,403
24038,"Laval--Les Îles/Laval--Les Îles"," 24","Laval",20,89,7,64,3,183,440
24038,"Laval--Les Îles/Laval--Les Îles"," 25","Laval",66,72,11,55,3,207,482
24038,"Laval--Les Îles/Laval--Les Îles"," 26","Laval",38,89,9,57,3,196,448
24038,"Laval--Les Îles/Laval--Les Îles"," 27","Laval",23,28,4,16,0,71,190
24038,"Laval--Les Îles/Laval--Les Îles"," 28","Laval",45,77,14,35,3,174,465
24038,"Laval--Les Îles/Laval--Les Îles"," 29A","Laval",17,53,6,52,3,131,362
24038,"Laval--Les Îles/Laval--Les Îles"," 29B","Laval",28,86,3,54,1,172,413
24038,"Laval--Les Îles/Laval--Les Îles"," 30","Laval",40,46,10,38,7,141,363
24038,"Laval--Les Îles/Laval--Les Îles"," 31","Laval",52,83,10,53,4,202,532
24038,"Laval--Les Îles/Laval--Les Îles"," 32","Laval",6,137,12,105,2,262,555
24038,"Laval--Les Îles/Laval--Les Îles"," 33","Laval",1,98,14,109,4,226,409
24038,"Laval--Les Îles/Laval--Les Îles"," 34","Laval",4,71,8,77,2,162,370
24038,"Laval--Les Îles/Laval--Les Îles"," 35","Laval",2,116,7,105,3,233,546
24038,"Laval--Les Îles/Laval--Les Îles"," 36","Laval",5,88,5,86,2,186,380
24038,"Laval--Les Îles/Laval--Les Îles"," 37","Laval",3,66,4,144,1,218,400
24038,"Laval--Les Îles/Laval--Les Îles"," 38","Laval",8,102,5,100,4,219,559
24038,"Laval--Les Îles/Laval--Les Îles"," 39","Laval",9,64,8,87,6,174,457
24038,"Laval--Les Îles/Laval--Les Îles"," 40","Laval",12,49,2,86,1,150,505
24038,"Laval--Les Îles/Laval--Les Îles"," 41","Laval",5,65,6,94,3,173,466
24038,"Laval--Les Îles/Laval--Les Îles"," 42","Laval",7,75,7,122,1,212,432
24038,"Laval--Les Îles/Laval--Les Îles"," 43","Laval",7,81,2,85,1,176,475
24038,"Laval--Les Îles/Laval--Les Îles"," 44","Laval",14,70,7,65,8,164,519
24038,"Laval--Les Îles/Laval--Les Îles"," 45","Laval",5,88,5,98,1,197,547
24038,"Laval--Les Îles/Laval--Les Îles"," 46A","Laval",14,61,6,55,0,136,373
24038,"Laval--Les Îles/Laval--Les Îles"," 46B","Laval",13,86,8,44,3,154,393
24038,"Laval--Les Îles/Laval--Les Îles"," 47","Laval",17,139,12,98,2,268,557
24038,"Laval--Les Îles/Laval--Les Îles"," 48","Laval",21,79,8,65,3,176,524
24038,"Laval--Les Îles/Laval--Les Îles"," 49","Laval",12,111,8,111,4,246,573
24038,"Laval--Les Îles/Laval--Les Îles"," 50","Laval",3,69,2,64,0,138,338
24038,"Laval--Les Îles/Laval--Les Îles"," 51","Laval",4,86,8,60,5,163,344
24038,"Laval--Les Îles/Laval--Les Îles"," 52","Laval",21,128,18,97,3,267,568
24038,"Laval--Les Îles/Laval--Les Îles"," 53","Laval",3,95,8,107,3,216,453
24038,"Laval--Les Îles/Laval--Les Îles"," 54","Laval",9,81,12,99,2,203,440
24038,"Laval--Les Îles/Laval--Les Îles"," 55","Laval",5,99,4,113,1,222,450
24038,"Laval--Les Îles/Laval--Les Îles"," 56","Laval",2,72,6,124,3,207,454
24038,"Laval--Les Îles/Laval--Les Îles"," 57","Laval",0,60,3,94,2,159,343
24038,"Laval--Les Îles/Laval--Les Îles"," 58","Laval",5,79,4,133,0,221,460
24038,"Laval--Les Îles/Laval--Les Îles"," 59","Laval",17,69,17,95,5,203,541
24038,"Laval--Les Îles/Laval--Les Îles"," 60","Laval",3,83,8,111,3,208,555
24038,"Laval--Les Îles/Laval--Les Îles"," 61","Laval",6,94,4,85,4,193,455
24038,"Laval--Les Îles/Laval--Les Îles"," 62","Laval",79,71,12,43,4,209,579
24038,"Laval--Les Îles/Laval--Les Îles"," 63","Laval",42,56,3,51,1,153,444
24038,"Laval--Les Îles/Laval--Les Îles"," 64","Laval",24,106,10,102,5,247,599
24038,"Laval--Les Îles/Laval--Les Îles"," 65","Laval",69,77,11,48,7,212,545
24038,"Laval--Les Îles/Laval--Les Îles"," 66","Laval",47,107,5,54,6,219,560
24038,"Laval--Les Îles/Laval--Les Îles"," 67","Laval",60,84,16,54,2,216,605
24038,"Laval--Les Îles/Laval--Les Îles"," 68","Laval",29,57,5,60,2,153,465
24038,"Laval--Les Îles/Laval--Les Îles"," 69A","Laval",25,58,8,62,4,157,472
24038,"Laval--Les Îles/Laval--Les Îles"," 69B","Laval",17,49,2,35,2,105,469
24038,"Laval--Les Îles/Laval--Les Îles"," 70","Laval",34,106,6,67,2,215,562
24038,"Laval--Les Îles/Laval--Les Îles"," 71","Laval",4,77,7,67,2,157,383
24038,"Laval--Les Îles/Laval--Les Îles"," 72","Laval",4,81,6,96,5,192,516
24038,"Laval--Les Îles/Laval--Les Îles"," 73","Laval",0,72,4,87,3,166,430
24038,"Laval--Les Îles/Laval--Les Îles"," 74","Laval",4,109,6,96,0,215,460
24038,"Laval--Les Îles/Laval--Les Îles"," 75","Laval",6,80,7,111,2,206,546
24038,"Laval--Les Îles/Laval--Les Îles"," 76","Laval",4,80,2,91,1,178,394
24038,"Laval--Les Îles/Laval--Les Îles"," 77","Laval",5,83,6,129,3,226,530
24038,"Laval--Les Îles/Laval--Les Îles"," 78","Laval",2,96,10,112,4,224,483
24038,"Laval--Les Îles/Laval--Les Îles"," 79","Laval",8,76,2,87,3,176,476
24038,"Laval--Les Îles/Laval--Les Îles"," 80","Laval",8,98,0,71,5,182,424
24038,"Laval--Les Îles/Laval--Les Îles"," 81","Laval",6,112,10,73,5,206,477
24038,"Laval--Les Îles/Laval--Les Îles"," 82","Laval",15,116,7,86,4,228,560
24038,"Laval--Les Îles/Laval--Les Îles"," 83","Laval",8,94,5,108,7,222,568
24038,"Laval--Les Îles/Laval--Les Îles"," 84","Laval",22,110,5,64,5,206,479
24038,"Laval--Les Îles/Laval--Les Îles"," 85","Laval",6,112,9,115,4,246,572
24038,"Laval--Les Îles/Laval--Les Îles"," 86","Laval",20,117,3,71,0,211,596
24038,"Laval--Les Îles/Laval--Les Îles"," 87","Laval",21,94,12,89,2,218,570
24038,"Laval--Les Îles/Laval--Les Îles"," 88","Laval",20,138,8,80,0,246,591
24038,"Laval--Les Îles/Laval--Les Îles"," 89","Laval",30,100,8,76,7,221,615
24038,"Laval--Les Îles/Laval--Les Îles"," 90","Laval",17,86,8,67,7,185,376
24038,"Laval--Les Îles/Laval--Les Îles"," 91","Laval",27,90,12,101,7,237,518
24038,"Laval--Les Îles/Laval--Les Îles"," 92","Laval",33,62,8,52,0,155,376
24038,"Laval--Les Îles/Laval--Les Îles"," 93A","Laval",30,80,3,13,1,127,320
24038,"Laval--Les Îles/Laval--Les Îles"," 93B","Laval",30,65,0,14,1,110,281
24038,"Laval--Les Îles/Laval--Les Îles"," 94A","Laval",15,43,4,19,1,82,169
24038,"Laval--Les Îles/Laval--Les Îles"," 94B","Laval",69,83,4,8,6,170,252
24038,"Laval--Les Îles/Laval--Les Îles"," 95","Laval",19,79,11,90,5,204,547
24038,"Laval--Les Îles/Laval--Les Îles"," 96","Laval",7,56,1,16,1,81,225
24038,"Laval--Les Îles/Laval--Les Îles"," 97","Laval",23,78,8,86,3,198,540
24038,"Laval--Les Îles/Laval--Les Îles"," 98","Laval",8,101,6,87,5,207,483
24038,"Laval--Les Îles/Laval--Les Îles"," 99","Laval",32,92,6,80,2,212,546
24038,"Laval--Les Îles/Laval--Les Îles"," 100","Laval",7,68,4,70,1,150,477
24038,"Laval--Les Îles/Laval--Les Îles"," 101","Laval",8,79,4,95,0,186,485
24038,"Laval--Les Îles/Laval--Les Îles"," 102","Laval",8,99,2,91,3,203,566
24038,"Laval--Les Îles/Laval--Les Îles"," 103","Laval",2,54,2,98,4,160,354
24038,"Laval--Les Îles/Laval--Les Îles"," 104","Laval",2,99,1,120,2,224,479
24038,"Laval--Les Îles/Laval--Les Îles"," 105A","Laval",4,42,3,45,3,97,243
24038,"Laval--Les Îles/Laval--Les Îles"," 105B","Laval",7,57,2,78,3,147,410
24038,"Laval--Les Îles/Laval--Les Îles"," 106","Laval",5,100,4,109,3,221,550
