Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eugène Duplessis,Mathieu Fournier,Steven Guilbeault,Michel Labelle,Emmanuel Lapierre,Simon-Pierre Lauzon,Nimâ Machouf,Dimitri Mourkes,Dylan Perceval-Maxwell,Chantal Poulin,Adrien Welsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 1","Montréal",2,22,78,0,25,0,42,0,4,0,1,5,179,458
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 2","Montréal",6,29,72,2,39,1,51,0,7,1,0,5,213,523
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 3","Montréal",1,17,66,2,24,0,29,0,5,1,0,0,145,363
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 4","Montréal",1,16,53,1,30,0,45,0,4,0,0,1,151,396
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 5","Montréal",0,6,53,0,18,0,40,0,2,2,0,1,122,350
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 6","Montréal",0,37,137,1,40,0,32,0,9,4,0,2,262,705
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 7","Montréal",3,10,52,0,34,0,35,0,5,1,0,0,140,425
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 8","Montréal",3,12,58,2,32,0,23,0,12,0,1,4,147,433
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 9","Montréal",2,24,85,2,33,0,55,0,23,0,0,5,229,516
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 10","Montréal",1,25,77,0,43,0,50,0,8,0,2,0,206,564
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 11","Montréal",0,14,54,0,18,0,11,0,3,2,0,3,105,398
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 12","Montréal",0,13,83,0,29,0,21,1,9,0,0,2,158,459
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 13","Montréal",1,21,86,0,21,0,53,0,11,1,1,4,199,563
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 14","Montréal",1,8,62,1,33,0,56,0,4,3,0,2,170,527
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 15","Montréal",0,21,77,4,25,0,32,1,3,1,1,5,170,471
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 16","Montréal",0,15,91,0,26,0,45,0,8,2,1,0,188,531
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 17","Montréal",1,7,90,0,58,0,45,0,11,0,1,4,217,525
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 18","Montréal",0,9,74,0,45,0,82,0,9,3,0,1,223,532
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 19","Montréal",2,21,102,1,55,0,50,0,10,2,0,0,243,541
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 20","Montréal",0,15,106,1,28,1,72,0,15,0,1,1,240,516
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 21","Montréal",1,3,82,1,34,0,61,0,9,0,0,1,192,438
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 22","Montréal",4,16,70,0,42,0,46,0,1,3,0,1,183,504
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 23","Montréal",2,16,104,0,42,1,84,13,0,0,1,4,267,564
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 24","Montréal",1,16,78,0,39,0,68,0,11,1,0,1,215,543
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 25","Montréal",0,21,116,0,43,0,50,0,11,1,0,3,245,542
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 26","Montréal",0,13,85,0,30,0,86,0,5,2,1,1,223,536
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 27","Montréal",2,16,115,1,45,0,44,0,7,0,0,1,231,502
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 28","Montréal",0,18,88,0,57,1,54,0,11,4,0,2,235,507
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 29","Montréal",1,5,76,1,30,0,92,0,10,2,0,1,218,451
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 30","Montréal",1,6,65,0,25,0,61,0,7,1,1,2,169,394
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 31","Montréal",0,12,90,2,52,0,53,0,14,1,0,2,226,474
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 32","Montréal",0,9,96,0,46,0,68,0,15,0,0,1,235,535
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 33","Montréal",1,7,128,0,43,0,87,0,11,3,2,0,282,608
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 34","Montréal",0,12,122,1,45,0,85,1,8,0,0,1,275,577
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 35","Montréal",1,10,118,1,44,0,56,0,9,0,0,5,244,545
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 36","Montréal",0,13,78,0,17,0,51,0,4,0,0,1,164,423
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 37","Montréal",0,9,102,0,48,1,74,0,8,0,0,2,244,567
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 38","Montréal",0,8,95,0,23,0,48,0,8,0,0,0,182,404
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 39","Montréal",2,15,92,2,56,0,66,1,8,1,0,4,247,502
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 40","Montréal",0,21,97,0,56,0,62,0,16,0,0,0,252,554
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 41","Montréal",0,14,84,1,36,0,44,0,9,1,0,2,191,504
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 42","Montréal",1,15,94,0,33,0,46,0,7,2,1,3,202,436
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 43","Montréal",1,15,108,0,29,0,50,0,12,0,0,1,216,549
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 44","Montréal",2,11,98,2,37,1,45,0,12,2,2,1,213,501
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 45","Montréal",0,17,77,0,38,0,43,0,0,1,1,1,178,467
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 46","Montréal",2,17,65,0,35,0,26,0,4,1,0,0,150,499
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 47","Montréal",1,39,164,1,55,0,45,0,10,2,0,1,318,752
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 48","Montréal",1,18,110,0,42,0,55,0,10,0,2,0,238,603
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 49","Montréal",0,4,77,1,25,0,54,0,4,1,1,2,169,434
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 50","Montréal",2,12,92,0,24,0,42,1,12,1,0,4,190,536
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 51","Montréal",0,17,101,0,34,0,47,0,7,0,1,0,207,484
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 52","Montréal",3,14,123,0,43,0,60,0,13,0,0,2,258,599
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 53","Montréal",0,8,84,1,30,0,18,0,5,0,0,1,147,382
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 54","Montréal",1,12,115,0,39,0,59,0,8,3,0,0,237,552
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 55","Montréal",0,10,80,0,21,0,16,0,5,0,0,8,140,350
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 56","Montréal",1,11,106,0,44,0,50,0,10,1,1,2,226,559
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 57","Montréal",1,19,76,0,35,0,57,0,8,0,0,2,198,470
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 58","Montréal",0,22,89,1,22,2,48,0,7,0,1,0,192,409
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 59","Montréal",1,11,86,1,20,0,72,0,9,0,0,0,200,455
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 60","Montréal",0,19,108,0,40,0,69,0,5,2,1,0,244,556
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 61","Montréal",1,13,72,0,25,0,40,0,8,0,0,0,159,376
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 62","Montréal",0,11,92,0,46,0,43,0,6,1,0,1,200,538
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 63","Montréal",1,8,90,0,51,1,34,0,4,1,0,1,191,461
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 64","Montréal",2,11,88,0,21,0,34,0,9,0,0,1,166,506
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 65","Montréal",0,7,98,0,25,0,37,0,9,1,0,1,178,475
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 66","Montréal",0,12,84,0,31,0,31,0,17,2,1,2,180,488
