Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patrick Agbokou,Tchad Deschenes,Danielle Dubuc,Marie Louis-Seize,Christine Normandin,Vincent Piette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 55","Saint-Jean-sur-Richelieu",68,0,4,30,69,4,1,176,423
24067,"Saint-Jean/Saint-Jean"," 56","Saint-Jean-sur-Richelieu",42,0,1,25,78,6,4,156,423
24067,"Saint-Jean/Saint-Jean"," 57","Saint-Jean-sur-Richelieu",57,1,6,40,82,6,5,197,398
24067,"Saint-Jean/Saint-Jean"," 58","Saint-Jean-sur-Richelieu",45,2,5,20,72,4,2,150,394
24067,"Saint-Jean/Saint-Jean"," 59","Saint-Jean-sur-Richelieu",68,1,5,15,77,3,6,175,388
24067,"Saint-Jean/Saint-Jean"," 60","Saint-Jean-sur-Richelieu",55,4,9,28,96,4,1,197,511
24067,"Saint-Jean/Saint-Jean"," 61","Saint-Jean-sur-Richelieu",36,0,5,23,42,2,3,111,376
24067,"Saint-Jean/Saint-Jean"," 62","Saint-Jean-sur-Richelieu",37,1,2,21,53,3,5,122,440
24067,"Saint-Jean/Saint-Jean"," 63","Saint-Jean-sur-Richelieu",29,2,1,17,40,0,1,90,250
24067,"Saint-Jean/Saint-Jean"," 64","Saint-Jean-sur-Richelieu",67,3,5,39,77,3,2,196,440
24067,"Saint-Jean/Saint-Jean"," 65","Saint-Jean-sur-Richelieu",26,1,6,42,86,5,4,170,474
24067,"Saint-Jean/Saint-Jean"," 66","Saint-Jean-sur-Richelieu",46,4,5,42,73,0,1,171,390
24067,"Saint-Jean/Saint-Jean"," 67","Saint-Jean-sur-Richelieu",42,1,2,31,58,1,1,136,388
24067,"Saint-Jean/Saint-Jean"," 68","Saint-Jean-sur-Richelieu",38,0,6,39,60,4,0,147,429
24067,"Saint-Jean/Saint-Jean"," 69","Saint-Jean-sur-Richelieu",45,2,4,28,62,2,2,145,394
24067,"Saint-Jean/Saint-Jean"," 70A","Saint-Jean-sur-Richelieu",51,0,1,8,38,2,0,100,273
24067,"Saint-Jean/Saint-Jean"," 70B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,48
24067,"Saint-Jean/Saint-Jean"," 70C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,150
24067,"Saint-Jean/Saint-Jean"," 71","Saint-Jean-sur-Richelieu",57,1,2,14,50,3,0,127,363
24067,"Saint-Jean/Saint-Jean"," 72","Saint-Jean-sur-Richelieu",67,1,4,26,46,1,4,149,357
24067,"Saint-Jean/Saint-Jean"," 73","Saint-Jean-sur-Richelieu",62,1,11,29,98,4,2,207,453
24067,"Saint-Jean/Saint-Jean"," 74","Saint-Jean-sur-Richelieu",26,0,7,23,38,5,3,102,318
24067,"Saint-Jean/Saint-Jean"," 75","Saint-Jean-sur-Richelieu",61,1,2,31,71,2,0,168,420
24067,"Saint-Jean/Saint-Jean"," 76","Saint-Jean-sur-Richelieu",69,4,4,23,83,3,5,191,572
24067,"Saint-Jean/Saint-Jean"," 77","Saint-Jean-sur-Richelieu",53,0,5,34,71,1,4,168,383
24067,"Saint-Jean/Saint-Jean"," 78","Saint-Jean-sur-Richelieu",34,3,3,25,45,0,4,114,392
24067,"Saint-Jean/Saint-Jean"," 79A","Saint-Jean-sur-Richelieu",29,1,0,2,21,2,2,57,229
24067,"Saint-Jean/Saint-Jean"," 79B","Saint-Jean-sur-Richelieu",Combined with No./Résultats combinés à ceux du n°403,,,,,,,,98
24067,"Saint-Jean/Saint-Jean"," 80","Saint-Jean-sur-Richelieu",74,2,3,27,89,2,3,200,437
24067,"Saint-Jean/Saint-Jean"," 81","Saint-Jean-sur-Richelieu",27,3,7,20,51,1,3,112,369
24067,"Saint-Jean/Saint-Jean"," 82A","Saint-Jean-sur-Richelieu",10,0,5,11,32,3,1,62,247
24067,"Saint-Jean/Saint-Jean"," 82B","Saint-Jean-sur-Richelieu",120,1,2,6,84,0,6,219,275
24067,"Saint-Jean/Saint-Jean"," 82C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,42
24067,"Saint-Jean/Saint-Jean"," 83","Saint-Jean-sur-Richelieu",61,1,5,35,82,6,6,196,457
24067,"Saint-Jean/Saint-Jean"," 84","Saint-Jean-sur-Richelieu",50,1,11,18,42,7,1,130,359
24067,"Saint-Jean/Saint-Jean"," 85","Saint-Jean-sur-Richelieu",35,3,7,18,51,2,3,119,380
24067,"Saint-Jean/Saint-Jean"," 86","Saint-Jean-sur-Richelieu",64,0,2,20,76,0,3,165,393
24067,"Saint-Jean/Saint-Jean"," 87","Saint-Jean-sur-Richelieu",54,1,6,39,71,2,2,175,440
24067,"Saint-Jean/Saint-Jean"," 88","Saint-Jean-sur-Richelieu",52,1,4,21,68,1,0,147,399
24067,"Saint-Jean/Saint-Jean"," 89","Saint-Jean-sur-Richelieu",65,3,6,33,96,5,5,213,478
24067,"Saint-Jean/Saint-Jean"," 90","Saint-Jean-sur-Richelieu",24,0,0,19,35,0,0,78,316
24067,"Saint-Jean/Saint-Jean"," 91","Saint-Jean-sur-Richelieu",31,0,8,23,44,4,1,111,401
24067,"Saint-Jean/Saint-Jean"," 92","Saint-Jean-sur-Richelieu",29,2,6,26,55,2,1,121,448
24067,"Saint-Jean/Saint-Jean"," 93","Saint-Jean-sur-Richelieu",66,0,5,22,85,3,0,181,409
24067,"Saint-Jean/Saint-Jean"," 94","Saint-Jean-sur-Richelieu",44,0,5,27,77,3,2,158,357
24067,"Saint-Jean/Saint-Jean"," 95","Saint-Jean-sur-Richelieu",53,0,5,30,86,0,2,176,417
24067,"Saint-Jean/Saint-Jean"," 96","Saint-Jean-sur-Richelieu",48,3,7,24,80,7,3,172,416
24067,"Saint-Jean/Saint-Jean"," 97","Saint-Jean-sur-Richelieu",74,0,4,19,113,2,7,219,490
24067,"Saint-Jean/Saint-Jean"," 98","Saint-Jean-sur-Richelieu",58,5,4,28,80,1,4,180,419
24067,"Saint-Jean/Saint-Jean"," 99","Saint-Jean-sur-Richelieu",74,2,6,26,76,1,2,187,364
24067,"Saint-Jean/Saint-Jean"," 100","Saint-Jean-sur-Richelieu",65,1,8,39,100,3,1,217,406
24067,"Saint-Jean/Saint-Jean"," 101","Saint-Jean-sur-Richelieu",93,2,7,68,155,4,2,331,637
24067,"Saint-Jean/Saint-Jean"," 102","Saint-Jean-sur-Richelieu",43,1,6,36,76,4,3,169,387
24067,"Saint-Jean/Saint-Jean"," 103","Saint-Jean-sur-Richelieu",43,2,1,29,78,5,5,163,400
24067,"Saint-Jean/Saint-Jean"," 104","Saint-Jean-sur-Richelieu",50,3,3,22,69,1,1,149,348
24067,"Saint-Jean/Saint-Jean"," 105","Saint-Jean-sur-Richelieu",38,1,10,36,67,4,5,161,366
24067,"Saint-Jean/Saint-Jean"," 106","Saint-Jean-sur-Richelieu",31,1,3,25,89,4,2,155,363
24067,"Saint-Jean/Saint-Jean"," 107A","Saint-Jean-sur-Richelieu",42,4,6,26,63,3,8,152,395
24067,"Saint-Jean/Saint-Jean"," 107B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,55
24067,"Saint-Jean/Saint-Jean"," 108","Saint-Jean-sur-Richelieu",37,12,10,44,88,2,0,193,529
