Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mark Gerretsen,Fintan Hartnett,Daria Juüdi-Hope,Bryan Paterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Kingston and the Islands/Kingston et les Îles"," 1","Kingston",106,1,7,143,0,257,435
35046,"Kingston and the Islands/Kingston et les Îles"," 2","Kingston",119,6,12,104,1,242,382
35046,"Kingston and the Islands/Kingston et les Îles"," 3","Kingston",57,0,7,91,0,155,359
35046,"Kingston and the Islands/Kingston et les Îles"," 4","Kingston",65,2,6,81,1,155,418
35046,"Kingston and the Islands/Kingston et les Îles"," 5","Kingston",93,0,4,91,1,189,428
35046,"Kingston and the Islands/Kingston et les Îles"," 6","Kingston",105,1,6,56,1,169,421
35046,"Kingston and the Islands/Kingston et les Îles"," 7","Kingston",120,3,6,87,1,217,395
35046,"Kingston and the Islands/Kingston et les Îles"," 8","Kingston",108,7,7,70,3,195,423
35046,"Kingston and the Islands/Kingston et les Îles"," 9","Kingston",94,4,6,53,0,157,338
35046,"Kingston and the Islands/Kingston et les Îles"," 10","Kingston",105,2,3,98,1,209,333
35046,"Kingston and the Islands/Kingston et les Îles"," 11","Kingston",98,3,5,94,0,200,358
35046,"Kingston and the Islands/Kingston et les Îles"," 12","Kepler",65,1,6,53,1,126,290
35046,"Kingston and the Islands/Kingston et les Îles"," 13","Kingston",81,1,4,67,0,153,305
35046,"Kingston and the Islands/Kingston et les Îles"," 14","Kingston",147,2,7,87,2,245,402
35046,"Kingston and the Islands/Kingston et les Îles"," 15","Kingston",48,0,5,57,3,113,223
35046,"Kingston and the Islands/Kingston et les Îles"," 16","Kingston",80,4,4,78,2,168,343
35046,"Kingston and the Islands/Kingston et les Îles"," 17","Frontenac Islands",116,3,3,81,0,203,308
35046,"Kingston and the Islands/Kingston et les Îles"," 18","Frontenac Islands",103,0,7,49,0,159,240
35046,"Kingston and the Islands/Kingston et les Îles"," 19","Kingston",92,1,2,65,1,161,431
35046,"Kingston and the Islands/Kingston et les Îles"," 20","Kingston",63,2,3,56,0,124,276
35046,"Kingston and the Islands/Kingston et les Îles"," 21","Kingston",53,1,6,75,0,135,322
35046,"Kingston and the Islands/Kingston et les Îles"," 22","Kingston",70,2,4,67,0,143,358
35046,"Kingston and the Islands/Kingston et les Îles"," 23","Kingston",90,1,5,76,1,173,419
35046,"Kingston and the Islands/Kingston et les Îles"," 24","Kingston",86,4,6,101,0,197,468
35046,"Kingston and the Islands/Kingston et les Îles"," 25","Kingston",99,1,6,93,1,200,586
35046,"Kingston and the Islands/Kingston et les Îles"," 26","Kingston",93,1,8,62,0,164,530
35046,"Kingston and the Islands/Kingston et les Îles"," 27","Kingston",132,2,6,79,1,220,601
35046,"Kingston and the Islands/Kingston et les Îles"," 28","Kingston",95,2,4,58,1,160,558
35046,"Kingston and the Islands/Kingston et les Îles"," 29","Kingston",78,2,5,60,0,145,547
35046,"Kingston and the Islands/Kingston et les Îles"," 30","Kingston",55,0,9,36,1,101,342
35046,"Kingston and the Islands/Kingston et les Îles"," 31","Kingston",74,3,14,74,0,165,464
35046,"Kingston and the Islands/Kingston et les Îles"," 32","Kingston",68,4,8,68,0,148,455
35046,"Kingston and the Islands/Kingston et les Îles"," 33","Kingston",42,2,10,47,3,104,407
35046,"Kingston and the Islands/Kingston et les Îles"," 34","Kingston",44,2,8,69,1,124,364
35046,"Kingston and the Islands/Kingston et les Îles"," 35","Kingston",92,3,6,55,0,156,444
35046,"Kingston and the Islands/Kingston et les Îles"," 36","Kingston",82,3,16,61,3,165,589
35046,"Kingston and the Islands/Kingston et les Îles"," 37","Kingston",60,5,10,56,0,131,448
35046,"Kingston and the Islands/Kingston et les Îles"," 38","Kingston",87,3,12,78,0,180,537
35046,"Kingston and the Islands/Kingston et les Îles"," 39","Kingston",46,2,4,30,0,82,351
35046,"Kingston and the Islands/Kingston et les Îles"," 40","Kingston",79,0,13,17,3,112,254
35046,"Kingston and the Islands/Kingston et les Îles"," 41","Kingston",61,4,0,84,0,149,425
35046,"Kingston and the Islands/Kingston et les Îles"," 42","Kingston",47,0,6,52,0,105,280
35046,"Kingston and the Islands/Kingston et les Îles"," 43","Kingston",91,0,1,96,0,188,420
35046,"Kingston and the Islands/Kingston et les Îles"," 44","Kingston",114,3,2,86,1,206,493
35046,"Kingston and the Islands/Kingston et les Îles"," 45","Kingston",83,2,11,74,0,170,463
35046,"Kingston and the Islands/Kingston et les Îles"," 46","Kingston",83,1,8,72,0,164,399
35046,"Kingston and the Islands/Kingston et les Îles"," 47","Kingston",71,2,3,51,1,128,344
35046,"Kingston and the Islands/Kingston et les Îles"," 48","Kingston",64,1,5,65,0,135,394
35046,"Kingston and the Islands/Kingston et les Îles"," 49","Kingston",88,2,6,66,1,163,538
35046,"Kingston and the Islands/Kingston et les Îles"," 50","Kingston",90,3,10,75,0,178,404
35046,"Kingston and the Islands/Kingston et les Îles"," 51","Kingston",129,2,8,85,0,224,522
35046,"Kingston and the Islands/Kingston et les Îles"," 52","Kingston",104,6,0,73,2,185,468
35046,"Kingston and the Islands/Kingston et les Îles"," 53","Kingston",111,1,4,64,0,180,481
35046,"Kingston and the Islands/Kingston et les Îles"," 54","Kingston",86,1,14,64,0,165,462
35046,"Kingston and the Islands/Kingston et les Îles"," 55","Kingston",69,1,3,47,1,121,375
35046,"Kingston and the Islands/Kingston et les Îles"," 56","Kingston",87,0,9,36,0,132,400
35046,"Kingston and the Islands/Kingston et les Îles"," 57","Kingston",91,3,4,88,1,187,559
35046,"Kingston and the Islands/Kingston et les Îles"," 58","Kingston",39,0,1,24,0,64,264
35046,"Kingston and the Islands/Kingston et les Îles"," 59","Kingston",74,3,12,80,1,170,584
35046,"Kingston and the Islands/Kingston et les Îles"," 60","Kingston",113,2,3,78,0,196,550
35046,"Kingston and the Islands/Kingston et les Îles"," 61A","Kingston",181,8,14,119,2,324,868
35046,"Kingston and the Islands/Kingston et les Îles"," 61B","Mobile poll/Bureau itinérant",60,0,6,28,1,95,87
35046,"Kingston and the Islands/Kingston et les Îles"," 62","Kingston",67,1,2,43,0,113,309
35046,"Kingston and the Islands/Kingston et les Îles"," 63","Kingston",61,3,5,39,1,109,416
35046,"Kingston and the Islands/Kingston et les Îles"," 64","Kingston",37,1,11,52,0,101,344
35046,"Kingston and the Islands/Kingston et les Îles"," 65","Kingston",50,2,1,34,0,87,276
35046,"Kingston and the Islands/Kingston et les Îles"," 66","Kingston",91,3,10,91,3,198,453
35046,"Kingston and the Islands/Kingston et les Îles"," 67","Kingston",56,2,12,32,1,103,567
35046,"Kingston and the Islands/Kingston et les Îles"," 68","Kingston",68,4,19,61,1,153,488
35046,"Kingston and the Islands/Kingston et les Îles"," 69","Kingston",46,1,7,35,3,92,365
35046,"Kingston and the Islands/Kingston et les Îles"," 70","Kingston",65,0,8,52,0,125,374
35046,"Kingston and the Islands/Kingston et les Îles"," 71","Kingston",130,2,25,52,1,210,594
35046,"Kingston and the Islands/Kingston et les Îles"," 72","Kingston",94,5,16,40,0,155,473
35046,"Kingston and the Islands/Kingston et les Îles"," 73","Kingston",91,6,21,58,0,176,521
35046,"Kingston and the Islands/Kingston et les Îles"," 74","Kingston",63,2,14,33,0,112,380
35046,"Kingston and the Islands/Kingston et les Îles"," 75","Kingston",74,3,19,44,1,141,440
35046,"Kingston and the Islands/Kingston et les Îles"," 76","Kingston",Combined with No./Résultats combinés à ceux du n°77,,,,,,235
35046,"Kingston and the Islands/Kingston et les Îles"," 77","Kingston",139,2,17,86,2,246,320
35046,"Kingston and the Islands/Kingston et les Îles"," 78","Kingston",157,2,12,78,2,251,517
35046,"Kingston and the Islands/Kingston et les Îles"," 79","Kingston",96,2,5,45,2,150,443
35046,"Kingston and the Islands/Kingston et les Îles"," 80","Kingston",63,2,12,45,0,122,550
35046,"Kingston and the Islands/Kingston et les Îles"," 81","Kingston",85,0,15,46,0,146,366
35046,"Kingston and the Islands/Kingston et les Îles"," 82","Kingston",77,3,19,69,0,168,440
35046,"Kingston and the Islands/Kingston et les Îles"," 83","Kingston",108,2,8,131,2,251,602
35046,"Kingston and the Islands/Kingston et les Îles"," 84","Kingston",106,1,3,87,1,198,502
35046,"Kingston and the Islands/Kingston et les Îles"," 85","Kingston",76,2,3,66,1,148,504
35046,"Kingston and the Islands/Kingston et les Îles"," 86","Kingston",64,0,8,57,3,132,447
35046,"Kingston and the Islands/Kingston et les Îles"," 87","Kingston",78,3,13,89,1,184,468
35046,"Kingston and the Islands/Kingston et les Îles"," 88","Kingston",89,3,5,70,3,170,465
35046,"Kingston and the Islands/Kingston et les Îles"," 89","Kingston",70,4,3,52,1,130,352
35046,"Kingston and the Islands/Kingston et les Îles"," 90","Kingston",70,3,11,65,0,149,530
35046,"Kingston and the Islands/Kingston et les Îles"," 91","Kingston",161,6,26,71,0,264,453
35046,"Kingston and the Islands/Kingston et les Îles"," 92","Kingston",Combined with No./Résultats combinés à ceux du n°123,,,,,,381
35046,"Kingston and the Islands/Kingston et les Îles"," 93","Kingston",54,3,6,23,0,86,415
35046,"Kingston and the Islands/Kingston et les Îles"," 94","Kingston",58,2,19,14,0,93,389
35046,"Kingston and the Islands/Kingston et les Îles"," 95","Kingston",81,1,14,21,0,117,388
35046,"Kingston and the Islands/Kingston et les Îles"," 96","Kingston",85,1,6,27,0,119,459
35046,"Kingston and the Islands/Kingston et les Îles"," 97","Kingston",85,4,15,61,0,165,513
35046,"Kingston and the Islands/Kingston et les Îles"," 98","Kingston",142,4,6,45,2,199,528
35046,"Kingston and the Islands/Kingston et les Îles"," 99","Kingston",111,2,9,60,3,185,363
35046,"Kingston and the Islands/Kingston et les Îles"," 100","Kingston",109,3,10,42,2,166,483
35046,"Kingston and the Islands/Kingston et les Îles"," 101","Kingston",70,0,8,40,0,118,449
