Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jayden Baldonado,Scott Fea,Robert Hawley,Lindsay Luhnau,Greg McLean,Beau Shaw,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Centre/Calgary-Centre"," 1","Calgary",2,1,2,142,151,6,1,305,708
48004,"Calgary Centre/Calgary-Centre"," 2","Calgary",2,0,2,79,91,5,1,180,484
48004,"Calgary Centre/Calgary-Centre"," 3","Calgary",3,1,2,106,128,6,0,246,693
48004,"Calgary Centre/Calgary-Centre"," 4","Calgary",1,0,4,119,148,9,0,281,679
48004,"Calgary Centre/Calgary-Centre"," 5","Calgary",2,1,3,79,99,7,6,197,680
48004,"Calgary Centre/Calgary-Centre"," 6","Calgary",1,1,1,85,92,9,4,193,556
48004,"Calgary Centre/Calgary-Centre"," 7","Calgary",1,0,1,88,209,5,0,304,728
48004,"Calgary Centre/Calgary-Centre"," 8","Calgary",4,0,3,104,89,4,1,205,630
48004,"Calgary Centre/Calgary-Centre"," 9","Calgary",0,0,1,89,132,3,1,226,544
48004,"Calgary Centre/Calgary-Centre"," 10","Calgary",4,0,3,110,165,5,0,287,657
48004,"Calgary Centre/Calgary-Centre"," 11","Calgary",1,1,2,79,109,14,4,210,623
48004,"Calgary Centre/Calgary-Centre"," 12","Calgary",1,1,6,70,86,8,1,173,638
48004,"Calgary Centre/Calgary-Centre"," 13","Calgary",1,0,0,120,78,12,0,211,587
48004,"Calgary Centre/Calgary-Centre"," 14","Calgary",2,0,1,89,123,5,0,220,619
48004,"Calgary Centre/Calgary-Centre"," 15","Calgary",6,2,4,137,105,9,1,264,585
48004,"Calgary Centre/Calgary-Centre"," 16","Calgary",4,1,5,128,82,16,1,237,610
48004,"Calgary Centre/Calgary-Centre"," 17","Calgary",1,0,0,129,110,6,0,246,595
48004,"Calgary Centre/Calgary-Centre"," 18","Calgary",0,1,0,75,75,13,0,164,496
48004,"Calgary Centre/Calgary-Centre"," 19","Calgary",1,1,2,78,62,7,2,153,462
48004,"Calgary Centre/Calgary-Centre"," 20","Calgary",2,0,0,99,79,4,2,186,508
48004,"Calgary Centre/Calgary-Centre"," 21","Calgary",2,0,0,110,110,2,0,224,596
48004,"Calgary Centre/Calgary-Centre"," 22","Calgary",1,0,1,79,73,3,0,157,525
48004,"Calgary Centre/Calgary-Centre"," 23","Calgary",2,0,1,100,90,12,1,206,574
48004,"Calgary Centre/Calgary-Centre"," 24","Calgary",2,0,3,178,90,10,1,284,711
48004,"Calgary Centre/Calgary-Centre"," 25","Calgary",3,0,1,103,77,4,1,189,592
48004,"Calgary Centre/Calgary-Centre"," 26","Calgary",3,0,0,84,112,4,1,204,508
48004,"Calgary Centre/Calgary-Centre"," 27","Calgary",2,2,1,93,118,8,1,225,562
48004,"Calgary Centre/Calgary-Centre"," 28","Calgary",3,1,0,101,149,4,0,258,528
48004,"Calgary Centre/Calgary-Centre"," 29","Calgary",0,0,2,112,109,8,1,232,546
48004,"Calgary Centre/Calgary-Centre"," 30","Calgary",2,0,2,88,121,11,0,224,541
48004,"Calgary Centre/Calgary-Centre"," 31","Calgary",0,0,7,100,191,6,0,304,668
48004,"Calgary Centre/Calgary-Centre"," 32","Calgary",0,2,3,84,110,9,2,210,560
48004,"Calgary Centre/Calgary-Centre"," 33","Calgary",2,0,0,74,96,8,1,181,566
48004,"Calgary Centre/Calgary-Centre"," 34","Calgary",1,0,0,84,116,4,0,205,521
48004,"Calgary Centre/Calgary-Centre"," 35","Calgary",1,1,2,88,139,5,3,239,574
48004,"Calgary Centre/Calgary-Centre"," 36","Calgary",1,0,1,79,146,7,1,235,633
48004,"Calgary Centre/Calgary-Centre"," 37","Calgary",0,0,1,100,177,12,1,291,631
48004,"Calgary Centre/Calgary-Centre"," 38","Calgary",1,0,1,126,138,8,0,274,623
48004,"Calgary Centre/Calgary-Centre"," 39","Calgary",4,0,1,100,116,7,2,230,629
48004,"Calgary Centre/Calgary-Centre"," 40","Calgary",0,0,3,63,61,10,0,137,626
48004,"Calgary Centre/Calgary-Centre"," 41","Calgary",1,0,0,72,60,4,0,137,538
