Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gabrielle Dupont,Brendan Hanley,Ryan Leef,Katherine McCallum,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
60001,"Yukon/Yukon"," 26A","Whitehorse",Combined with No./Résultats combinés à ceux du n°23A,,,,,,166
60001,"Yukon/Yukon"," 26B","Whitehorse",Combined with No./Résultats combinés à ceux du n°23B,,,,,,168
60001,"Yukon/Yukon"," 26C","Whitehorse",Combined with No./Résultats combinés à ceux du n°23C,,,,,,134
60001,"Yukon/Yukon"," 26D","Whitehorse",Combined with No./Résultats combinés à ceux du n°23D,,,,,,132
60001,"Yukon/Yukon"," 27","Whitehorse",1,47,77,5,2,132,345
60001,"Yukon/Yukon"," 28","Whitehorse",4,73,70,21,0,168,472
60001,"Yukon/Yukon"," 29","Whitehorse",3,73,63,18,0,157,408
60001,"Yukon/Yukon"," 30","Whitehorse",5,64,72,8,0,149,340
60001,"Yukon/Yukon"," 31","Whitehorse",2,97,70,20,0,189,436
60001,"Yukon/Yukon"," 32","Whitehorse",2,65,77,15,1,160,406
60001,"Yukon/Yukon"," 33","Whitehorse",6,84,110,9,0,209,430
60001,"Yukon/Yukon"," 34","Whitehorse",2,105,104,14,1,226,522
60001,"Yukon/Yukon"," 35","Whitehorse",1,82,82,17,0,182,420
60001,"Yukon/Yukon"," 36","Whitehorse",4,92,75,12,3,186,411
60001,"Yukon/Yukon"," 37","Whitehorse",5,54,55,16,1,131,350
60001,"Yukon/Yukon"," 38","Whitehorse",7,74,71,11,1,164,504
60001,"Yukon/Yukon"," 39A","Whitehorse",4,105,62,9,1,181,45
60001,"Yukon/Yukon"," 39B","Whitehorse",2,110,74,10,0,196,60
60001,"Yukon/Yukon"," 39C","Whitehorse",5,88,63,12,1,169,46
60001,"Yukon/Yukon"," 39D","Whitehorse",4,139,72,10,2,227,59
60001,"Yukon/Yukon"," 39E","Whitehorse",3,98,73,12,3,189,45
60001,"Yukon/Yukon"," 39F","Whitehorse",1,81,78,13,0,173,52
60001,"Yukon/Yukon"," 40A","Whitehorse",Combined with No./Résultats combinés à ceux du n°39A,,,,,,110
60001,"Yukon/Yukon"," 40B","Whitehorse",Combined with No./Résultats combinés à ceux du n°39B,,,,,,95
60001,"Yukon/Yukon"," 40C","Whitehorse",Combined with No./Résultats combinés à ceux du n°39C,,,,,,79
60001,"Yukon/Yukon"," 40D","Whitehorse",Combined with No./Résultats combinés à ceux du n°39D,,,,,,100
60001,"Yukon/Yukon"," 40E","Whitehorse",Combined with No./Résultats combinés à ceux du n°39E,,,,,,80
60001,"Yukon/Yukon"," 40F","Whitehorse",Combined with No./Résultats combinés à ceux du n°39F,,,,,,88
60001,"Yukon/Yukon"," 41A","Whitehorse",Combined with No./Résultats combinés à ceux du n°39A,,,,,,103
60001,"Yukon/Yukon"," 41B","Whitehorse",Combined with No./Résultats combinés à ceux du n°39B,,,,,,121
60001,"Yukon/Yukon"," 41C","Whitehorse",Combined with No./Résultats combinés à ceux du n°39C,,,,,,90
60001,"Yukon/Yukon"," 41D","Whitehorse",Combined with No./Résultats combinés à ceux du n°39D,,,,,,126
60001,"Yukon/Yukon"," 41E","Whitehorse",Combined with No./Résultats combinés à ceux du n°39E,,,,,,123
60001,"Yukon/Yukon"," 41F","Whitehorse",Combined with No./Résultats combinés à ceux du n°39F,,,,,,90
60001,"Yukon/Yukon"," 42A","Whitehorse",Combined with No./Résultats combinés à ceux du n°39A,,,,,,76
60001,"Yukon/Yukon"," 42B","Whitehorse",Combined with No./Résultats combinés à ceux du n°39B,,,,,,60
60001,"Yukon/Yukon"," 42C","Whitehorse",Combined with No./Résultats combinés à ceux du n°39C,,,,,,67
60001,"Yukon/Yukon"," 42D","Whitehorse",Combined with No./Résultats combinés à ceux du n°39D,,,,,,92
60001,"Yukon/Yukon"," 42E","Whitehorse",Combined with No./Résultats combinés à ceux du n°39E,,,,,,77
60001,"Yukon/Yukon"," 42F","Whitehorse",Combined with No./Résultats combinés à ceux du n°39F,,,,,,71
60001,"Yukon/Yukon"," 43A","Whitehorse",Combined with No./Résultats combinés à ceux du n°39A,,,,,,49
60001,"Yukon/Yukon"," 43B","Whitehorse",Combined with No./Résultats combinés à ceux du n°39B,,,,,,90
60001,"Yukon/Yukon"," 43C","Whitehorse",Combined with No./Résultats combinés à ceux du n°39C,,,,,,51
60001,"Yukon/Yukon"," 43D","Whitehorse",Combined with No./Résultats combinés à ceux du n°39D,,,,,,72
60001,"Yukon/Yukon"," 43E","Whitehorse",Combined with No./Résultats combinés à ceux du n°39E,,,,,,69
60001,"Yukon/Yukon"," 43F","Whitehorse",Combined with No./Résultats combinés à ceux du n°39F,,,,,,72
60001,"Yukon/Yukon"," 44","Whitehorse",7,87,63,7,2,166,481
60001,"Yukon/Yukon"," 45","Whitehorse",4,121,49,15,0,189,482
60001,"Yukon/Yukon"," 46","Whitehorse",6,114,38,12,2,172,435
60001,"Yukon/Yukon"," 47","Whitehorse",1,69,35,10,3,118,366
60001,"Yukon/Yukon"," 48","Whitehorse",6,76,54,8,0,144,408
60001,"Yukon/Yukon"," 49A","Whitehorse",5,105,55,11,0,176,80
60001,"Yukon/Yukon"," 49B","Whitehorse",2,75,51,12,0,140,69
60001,"Yukon/Yukon"," 49C","Whitehorse",0,72,42,8,1,123,37
60001,"Yukon/Yukon"," 49D","Whitehorse",1,103,74,15,2,195,44
60001,"Yukon/Yukon"," 49E","Whitehorse",2,106,49,11,2,170,109
60001,"Yukon/Yukon"," 50A","Whitehorse",Combined with No./Résultats combinés à ceux du n°49A,,,,,,101
60001,"Yukon/Yukon"," 50B","Whitehorse",Combined with No./Résultats combinés à ceux du n°49B,,,,,,70
60001,"Yukon/Yukon"," 50C","Whitehorse",Combined with No./Résultats combinés à ceux du n°49C,,,,,,80
60001,"Yukon/Yukon"," 50D","Whitehorse",Combined with No./Résultats combinés à ceux du n°49D,,,,,,112
60001,"Yukon/Yukon"," 50E","Whitehorse",Combined with No./Résultats combinés à ceux du n°49E,,,,,,82
60001,"Yukon/Yukon"," 51A","Whitehorse",Combined with No./Résultats combinés à ceux du n°49A,,,,,,116
60001,"Yukon/Yukon"," 51B","Whitehorse",Combined with No./Résultats combinés à ceux du n°49B,,,,,,81
60001,"Yukon/Yukon"," 51C","Whitehorse",Combined with No./Résultats combinés à ceux du n°49C,,,,,,87
60001,"Yukon/Yukon"," 51D","Whitehorse",Combined with No./Résultats combinés à ceux du n°49D,,,,,,133
60001,"Yukon/Yukon"," 51E","Whitehorse",Combined with No./Résultats combinés à ceux du n°49E,,,,,,101
60001,"Yukon/Yukon"," 52A","Whitehorse",Combined with No./Résultats combinés à ceux du n°49A,,,,,,61
60001,"Yukon/Yukon"," 52B","Whitehorse",Combined with No./Résultats combinés à ceux du n°49B,,,,,,76
60001,"Yukon/Yukon"," 52C","Whitehorse",Combined with No./Résultats combinés à ceux du n°49C,,,,,,64
60001,"Yukon/Yukon"," 52D","Whitehorse",Combined with No./Résultats combinés à ceux du n°49D,,,,,,88
60001,"Yukon/Yukon"," 52E","Whitehorse",Combined with No./Résultats combinés à ceux du n°49E,,,,,,69
60001,"Yukon/Yukon"," 53A","Whitehorse",Combined with No./Résultats combinés à ceux du n°49A,,,,,,74
60001,"Yukon/Yukon"," 53B","Whitehorse",Combined with No./Résultats combinés à ceux du n°49B,,,,,,57
60001,"Yukon/Yukon"," 53C","Whitehorse",Combined with No./Résultats combinés à ceux du n°49C,,,,,,66
60001,"Yukon/Yukon"," 53D","Whitehorse",Combined with No./Résultats combinés à ceux du n°49D,,,,,,88
60001,"Yukon/Yukon"," 53E","Whitehorse",Combined with No./Résultats combinés à ceux du n°49E,,,,,,70
60001,"Yukon/Yukon"," 54A","Whitehorse",0,79,61,4,1,145,48
60001,"Yukon/Yukon"," 54B","Whitehorse",3,89,114,3,0,209,75
60001,"Yukon/Yukon"," 54C","Whitehorse",1,83,72,7,0,163,75
60001,"Yukon/Yukon"," 54D","Whitehorse",4,87,75,7,0,173,67
60001,"Yukon/Yukon"," 54E","Whitehorse",1,73,78,9,0,161,47
60001,"Yukon/Yukon"," 54F","Whitehorse",3,97,86,3,1,190,66
60001,"Yukon/Yukon"," 55A","Whitehorse",Combined with No./Résultats combinés à ceux du n°54A,,,,,,56
60001,"Yukon/Yukon"," 55B","Whitehorse",Combined with No./Résultats combinés à ceux du n°54B,,,,,,64
60001,"Yukon/Yukon"," 55C","Whitehorse",Combined with No./Résultats combinés à ceux du n°54C,,,,,,44
60001,"Yukon/Yukon"," 55D","Whitehorse",Combined with No./Résultats combinés à ceux du n°54D,,,,,,48
60001,"Yukon/Yukon"," 55E","Whitehorse",Combined with No./Résultats combinés à ceux du n°54E,,,,,,40
60001,"Yukon/Yukon"," 55F","Whitehorse",Combined with No./Résultats combinés à ceux du n°54F,,,,,,56
60001,"Yukon/Yukon"," 56A","Whitehorse",Combined with No./Résultats combinés à ceux du n°54A,,,,,,51
60001,"Yukon/Yukon"," 56B","Whitehorse",Combined with No./Résultats combinés à ceux du n°54B,,,,,,79
60001,"Yukon/Yukon"," 56C","Whitehorse",Combined with No./Résultats combinés à ceux du n°54C,,,,,,76
60001,"Yukon/Yukon"," 56D","Whitehorse",Combined with No./Résultats combinés à ceux du n°54D,,,,,,64
60001,"Yukon/Yukon"," 56E","Whitehorse",Combined with No./Résultats combinés à ceux du n°54E,,,,,,76
