Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mary Forbes,Cory Grizz Longley,Peter Njenga,David Watson,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,22
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,32
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,39
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 510","Dawson Creek",Combined with No./Résultats combinés à ceux du n°107,,,,,,,62
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 511","Dawson Creek",Combined with No./Résultats combinés à ceux du n°107,,,,,,,24
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 512","Mobile poll/Bureau itinérant",1,9,9,1,45,0,65,44
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 513","Prince George",Combined with No./Résultats combinés à ceux du n°152,,,,,,,10
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 514","Mobile poll/Bureau itinérant",7,10,23,3,26,0,69,97
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 515","Mobile poll/Bureau itinérant",1,1,12,1,12,0,27,23
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,3
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,5
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,11
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,4
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 520","Mobile poll/Bureau itinérant",2,14,15,2,23,3,59,42
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,14
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,61
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,40
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 524","Mobile poll/Bureau itinérant",0,20,69,6,63,6,164,190
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 525","Mobile poll/Bureau itinérant",0,1,0,0,2,0,3,17
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 526","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 600","Toad River",Combined with No./Résultats combinés à ceux du n°602,,,,,,,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 601","Fort Nelson",Combined with No./Résultats combinés à ceux du n°602,,,,,,,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 602","Fort Nelson 2",12,29,126,7,808,0,982,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 603","Fontas 1",Combined with No./Résultats combinés à ceux du n°602,,,,,,,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 604","Prophet River 4",Combined with No./Résultats combinés à ceux du n°602,,,,,,,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 605","Fort Ware 1",Combined with No./Résultats combinés à ceux du n°602,,,,,,,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 606","Finlay River 6",Combined with No./Résultats combinés à ceux du n°602,,,,,,,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 607","Charlie Lake",2,3,15,2,242,3,267,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 608","Halfway River 168",No poll held/Pas de scrutin,,,,,,,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 609","Blueberry River 205",No poll held/Pas de scrutin,,,,,,,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 610","Doig River 206",Combined with No./Résultats combinés à ceux du n°611,,,,,,,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 611","Fort St. John",22,48,145,5,901,3,1124,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 612","Charlie Lake",6,14,63,10,803,3,899,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 613","Fort St. John",17,35,112,7,856,6,1033,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 614","Fort St. John",17,47,130,10,734,9,947,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 615","Fort St. John",13,32,101,3,777,1,927,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 616","Fort St. John",5,26,64,3,576,3,677,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 617","Taylor",8,16,29,2,527,4,586,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 618","Dawson Creek",5,34,90,9,735,0,873,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 619","Dawson Creek",14,56,144,3,685,2,904,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 620","Dawson Creek",18,52,130,4,552,8,764,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 621","Dawson Creek",13,64,140,9,636,1,863,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 622","Pouce Coupe",2,10,27,3,325,0,367,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 623","Tumbler Ridge",16,26,84,4,466,1,597,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 624","Chetwynd",5,6,23,0,83,2,119,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 625","East Moberly Lake 169",0,15,12,1,15,0,43,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 626","West Moberly Lake 168A",13,21,80,3,896,7,1020,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 627","Mackenzie",10,42,208,9,610,6,885,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 628","McLeod Lake 1",2,7,1,0,2,0,12,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 629","Nukko Lake",34,93,337,27,992,2,1485,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 630","Prince George",8,35,145,6,443,2,639,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 631","Fort George 2",1,0,5,1,5,0,12,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 632","Prince George",12,67,262,3,551,5,900,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 633","Prince George",16,74,352,16,660,2,1120,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 634","Prince George",27,121,532,9,965,7,1661,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 635","Prince George",32,73,255,8,284,5,657,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 636","Prince George",25,94,350,7,315,2,793,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 637","Prince George",19,55,175,6,180,1,436,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 638","Prince George",28,92,409,14,396,7,946,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 639","Pineview",26,68,246,6,674,4,1024,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 640","Pineview",6,29,151,6,410,0,602,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 641","McBride",20,41,77,7,227,0,372,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 642","Valemount ",23,40,105,9,245,1,423,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies",,Group 1/Groupe 1, 15,100,291,11,450,37,904,163
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies",,Group 2/Groupe 2, 48,129,463,22,2145,77,2884,
