Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Pat Kelly,Shahnaz Munir,Nanette Nerland,Jim Samuelson,Yvonne Snyder,Lachlan Van Egmond,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Crowfoot/Calgary Crowfoot"," 1","Calgary",99,56,0,1,0,0,0,156,595
48006,"Calgary Crowfoot/Calgary Crowfoot"," 2","Calgary",143,106,2,11,2,3,1,268,905
48006,"Calgary Crowfoot/Calgary Crowfoot"," 3","Calgary",104,80,4,2,0,0,3,193,636
48006,"Calgary Crowfoot/Calgary Crowfoot"," 4","Calgary",188,101,1,4,0,0,0,294,970
48006,"Calgary Crowfoot/Calgary Crowfoot"," 5","Calgary",115,65,0,4,0,2,1,187,607
48006,"Calgary Crowfoot/Calgary Crowfoot"," 6","Calgary",97,60,0,6,0,1,1,165,568
48006,"Calgary Crowfoot/Calgary Crowfoot"," 7","Calgary",112,57,0,4,1,0,0,174,608
48006,"Calgary Crowfoot/Calgary Crowfoot"," 8","Calgary",170,97,1,3,1,0,1,273,911
48006,"Calgary Crowfoot/Calgary Crowfoot"," 9","Calgary",77,39,0,2,1,0,1,120,412
48006,"Calgary Crowfoot/Calgary Crowfoot"," 10","Calgary",152,77,1,6,1,0,0,237,873
48006,"Calgary Crowfoot/Calgary Crowfoot"," 11","Calgary",139,55,1,9,2,0,0,206,733
48006,"Calgary Crowfoot/Calgary Crowfoot"," 12","Calgary",172,78,3,3,0,0,3,259,761
48006,"Calgary Crowfoot/Calgary Crowfoot"," 13","Calgary",103,39,3,4,1,0,0,150,549
48006,"Calgary Crowfoot/Calgary Crowfoot"," 14","Calgary",114,84,0,7,1,0,1,207,596
48006,"Calgary Crowfoot/Calgary Crowfoot"," 15","Calgary",103,57,1,3,0,0,0,164,520
48006,"Calgary Crowfoot/Calgary Crowfoot"," 16","Calgary",142,105,1,8,0,0,4,260,983
48006,"Calgary Crowfoot/Calgary Crowfoot"," 17","Calgary",170,92,3,7,0,1,7,280,976
48006,"Calgary Crowfoot/Calgary Crowfoot"," 18","Calgary",117,72,2,3,0,1,0,195,638
48006,"Calgary Crowfoot/Calgary Crowfoot"," 19","Calgary",90,56,0,0,1,0,0,147,440
48006,"Calgary Crowfoot/Calgary Crowfoot"," 20","Calgary",118,46,0,0,0,0,0,164,613
48006,"Calgary Crowfoot/Calgary Crowfoot"," 21","Calgary",120,71,2,7,2,0,0,202,655
48006,"Calgary Crowfoot/Calgary Crowfoot"," 22","Calgary",88,60,0,6,0,1,0,155,463
48006,"Calgary Crowfoot/Calgary Crowfoot"," 23","Calgary",113,66,1,1,0,0,0,181,724
48006,"Calgary Crowfoot/Calgary Crowfoot"," 24","Calgary",153,94,1,6,0,0,4,258,871
48006,"Calgary Crowfoot/Calgary Crowfoot"," 25","Calgary",116,44,0,6,1,0,0,167,641
48006,"Calgary Crowfoot/Calgary Crowfoot"," 26","Calgary",139,54,1,2,0,2,0,198,591
48006,"Calgary Crowfoot/Calgary Crowfoot"," 27","Calgary",137,94,2,15,0,1,0,249,794
48006,"Calgary Crowfoot/Calgary Crowfoot"," 28A","Calgary",173,86,0,5,0,0,0,264,858
48006,"Calgary Crowfoot/Calgary Crowfoot"," 28B","Calgary",Combined with No./Résultats combinés à ceux du n°30,,,,,,,,241
48006,"Calgary Crowfoot/Calgary Crowfoot"," 29","Calgary",119,57,0,2,1,0,0,179,595
48006,"Calgary Crowfoot/Calgary Crowfoot"," 30","Calgary",101,52,2,3,1,3,1,163,218
48006,"Calgary Crowfoot/Calgary Crowfoot"," 31","Calgary",163,100,1,5,0,0,1,270,732
48006,"Calgary Crowfoot/Calgary Crowfoot"," 32","Calgary",143,89,1,12,3,1,0,249,836
48006,"Calgary Crowfoot/Calgary Crowfoot"," 33","Calgary",138,107,0,2,0,1,0,248,726
48006,"Calgary Crowfoot/Calgary Crowfoot"," 34","Calgary",133,61,3,4,3,0,1,205,741
48006,"Calgary Crowfoot/Calgary Crowfoot"," 35","Calgary",103,75,0,4,0,0,5,187,673
48006,"Calgary Crowfoot/Calgary Crowfoot"," 36","Calgary",158,96,1,2,1,0,0,258,769
48006,"Calgary Crowfoot/Calgary Crowfoot"," 37","Calgary",107,112,1,4,2,1,0,227,670
48006,"Calgary Crowfoot/Calgary Crowfoot"," 38","Calgary",137,94,4,7,1,1,0,244,682
48006,"Calgary Crowfoot/Calgary Crowfoot"," 39","Calgary",65,20,0,0,0,0,0,85,301
48006,"Calgary Crowfoot/Calgary Crowfoot"," 40","Calgary",76,63,0,2,0,0,1,142,394
48006,"Calgary Crowfoot/Calgary Crowfoot"," 41","Calgary",226,126,1,4,2,3,3,365,827
48006,"Calgary Crowfoot/Calgary Crowfoot"," 42","Calgary",234,167,1,13,7,1,5,428,1080
48006,"Calgary Crowfoot/Calgary Crowfoot"," 43","Calgary",122,48,2,4,1,0,1,178,510
48006,"Calgary Crowfoot/Calgary Crowfoot"," 44","Calgary",118,62,0,4,1,0,0,185,525
48006,"Calgary Crowfoot/Calgary Crowfoot"," 45","Calgary",94,67,0,3,0,0,0,164,446
48006,"Calgary Crowfoot/Calgary Crowfoot"," 46","Calgary",61,62,0,1,2,0,0,126,436
48006,"Calgary Crowfoot/Calgary Crowfoot"," 47","Calgary",274,138,3,6,1,0,0,422,572
48006,"Calgary Crowfoot/Calgary Crowfoot"," 48","Calgary",116,70,0,6,0,0,0,192,641
48006,"Calgary Crowfoot/Calgary Crowfoot"," 49","Calgary",Combined with No./Résultats combinés à ceux du n°47,,,,,,,,579
48006,"Calgary Crowfoot/Calgary Crowfoot"," 50","Calgary",260,133,1,12,2,0,1,409,648
48006,"Calgary Crowfoot/Calgary Crowfoot"," 51","Calgary",102,57,2,5,0,0,0,166,467
48006,"Calgary Crowfoot/Calgary Crowfoot"," 52","Calgary",114,54,4,5,0,1,0,178,554
48006,"Calgary Crowfoot/Calgary Crowfoot"," 53","Calgary",172,66,1,1,3,1,1,245,809
48006,"Calgary Crowfoot/Calgary Crowfoot"," 54","Calgary",155,80,3,3,2,0,0,243,735
48006,"Calgary Crowfoot/Calgary Crowfoot"," 55","Calgary",81,51,1,2,1,1,0,137,495
48006,"Calgary Crowfoot/Calgary Crowfoot"," 56","Calgary",113,61,0,8,1,0,1,184,548
48006,"Calgary Crowfoot/Calgary Crowfoot"," 57","Calgary",120,69,2,4,0,1,0,196,587
48006,"Calgary Crowfoot/Calgary Crowfoot"," 58","Calgary",158,104,0,12,3,0,0,277,810
48006,"Calgary Crowfoot/Calgary Crowfoot"," 59","Calgary",129,81,1,4,2,0,0,217,700
48006,"Calgary Crowfoot/Calgary Crowfoot"," 60","Calgary",126,79,3,7,0,0,0,215,611
48006,"Calgary Crowfoot/Calgary Crowfoot"," 61","Calgary",114,60,2,5,2,0,0,183,651
48006,"Calgary Crowfoot/Calgary Crowfoot"," 62","Calgary",143,72,5,11,0,1,1,233,733
48006,"Calgary Crowfoot/Calgary Crowfoot"," 63","Calgary",104,73,4,5,2,0,0,188,476
48006,"Calgary Crowfoot/Calgary Crowfoot"," 64","Calgary",114,61,1,5,0,1,0,182,556
48006,"Calgary Crowfoot/Calgary Crowfoot"," 65","Calgary",163,84,1,4,2,0,0,254,808
48006,"Calgary Crowfoot/Calgary Crowfoot"," 66","Calgary",136,72,2,8,0,1,1,220,711
48006,"Calgary Crowfoot/Calgary Crowfoot"," 67","Calgary",100,42,2,3,0,0,2,149,466
48006,"Calgary Crowfoot/Calgary Crowfoot"," 68","Calgary",119,82,1,4,0,1,3,210,654
48006,"Calgary Crowfoot/Calgary Crowfoot"," 69","Calgary",142,70,1,7,0,0,0,220,705
48006,"Calgary Crowfoot/Calgary Crowfoot"," 70","Calgary",81,75,1,6,3,0,0,166,414
48006,"Calgary Crowfoot/Calgary Crowfoot"," 71","Calgary",136,69,0,5,0,0,0,210,606
48006,"Calgary Crowfoot/Calgary Crowfoot"," 72","Calgary",119,73,1,4,0,0,2,199,677
48006,"Calgary Crowfoot/Calgary Crowfoot"," 73","Calgary",127,82,2,5,2,0,1,219,664
48006,"Calgary Crowfoot/Calgary Crowfoot"," 74","Calgary",73,44,2,5,0,0,1,125,517
48006,"Calgary Crowfoot/Calgary Crowfoot"," 75","Calgary",132,83,0,5,2,0,1,223,842
48006,"Calgary Crowfoot/Calgary Crowfoot"," 76A","Calgary",361,185,3,10,4,0,0,563,1511
48006,"Calgary Crowfoot/Calgary Crowfoot"," 76B","Calgary",Combined with No./Résultats combinés à ceux du n°78,,,,,,,,128
48006,"Calgary Crowfoot/Calgary Crowfoot"," 77","Calgary",121,89,0,6,1,2,0,219,718
48006,"Calgary Crowfoot/Calgary Crowfoot"," 78","Calgary",112,56,0,8,1,0,0,177,550
48006,"Calgary Crowfoot/Calgary Crowfoot"," 79","Calgary",114,77,1,1,0,1,1,195,548
48006,"Calgary Crowfoot/Calgary Crowfoot"," 80","Calgary",70,50,2,3,0,0,2,127,502
48006,"Calgary Crowfoot/Calgary Crowfoot"," 81","Calgary",133,77,1,10,1,0,0,222,667
48006,"Calgary Crowfoot/Calgary Crowfoot"," 82","Calgary",120,55,1,6,0,0,1,183,632
48006,"Calgary Crowfoot/Calgary Crowfoot"," 83","Calgary",161,62,3,7,0,0,1,234,811
48006,"Calgary Crowfoot/Calgary Crowfoot"," 84","Calgary",Combined with No./Résultats combinés à ceux du n°50,,,,,,,,493
48006,"Calgary Crowfoot/Calgary Crowfoot"," 85","Calgary",126,56,3,5,0,1,1,192,651
48006,"Calgary Crowfoot/Calgary Crowfoot"," 86","Calgary",71,48,1,7,0,4,0,131,524
48006,"Calgary Crowfoot/Calgary Crowfoot"," 87","Calgary",185,96,0,5,3,0,0,289,822
48006,"Calgary Crowfoot/Calgary Crowfoot"," 88","Calgary",123,65,1,4,0,1,0,194,731
48006,"Calgary Crowfoot/Calgary Crowfoot"," 89","Calgary",91,60,1,2,2,1,0,157,628
48006,"Calgary Crowfoot/Calgary Crowfoot"," 90","Calgary",97,36,1,4,0,1,0,139,395
