Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Niki Ashton,Rebecca Chartrand,Lachlan De Nardi,Dylan Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 1","Lac Brochet 197A",66,44,4,0,1,115,372
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 2","Churchill 1",35,14,5,1,0,55,112
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 3","Churchill",46,37,18,1,1,103,273
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 4","Churchill",46,48,26,1,0,121,352
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 5","Brochet 197",16,51,10,1,0,78,195
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 6","South Indian Lake",37,51,6,0,29,123,405
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 7","Lynn Lake",32,45,52,2,3,134,340
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 7-1","Black Sturgeon",Void/Supprimé,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 8","Gillam",Combined with No./Résultats combinés à ceux du n°9,,,,,,420
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 9","Gillam",85,88,80,0,1,254,349
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 10","Split Lake 171",97,61,5,0,3,166,1012
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 11","Leaf Rapids",7,16,5,0,0,28,262
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 11-1","Granville Lake",Void/Supprimé,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 12","Bird",9,15,0,0,0,24,57
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 13A","Thompson",6,43,45,1,0,95,32
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 13B","Thompson",19,34,42,0,0,95,428
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 14A","Thompson",34,27,47,3,0,111,323
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 14B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,16
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 15","Shamattawa 1",27,25,10,0,2,64,242
