Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Chris d'Entremont,Ingrid Deon,Ronnie LeBlanc,Matthew Piggott,James Strange,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Acadie--Annapolis/Acadie--Annapolis"," 34","Wilmot",71,11,37,5,1,0,125,449
12001,"Acadie--Annapolis/Acadie--Annapolis"," 35","Brooklyn",56,1,64,2,1,0,124,346
12001,"Acadie--Annapolis/Acadie--Annapolis"," 36","Wilmot",66,9,72,4,2,1,154,447
12001,"Acadie--Annapolis/Acadie--Annapolis"," 37","Middleton",54,3,58,4,0,0,119,377
12001,"Acadie--Annapolis/Acadie--Annapolis"," 38","Middleton",27,2,58,1,3,1,92,386
12001,"Acadie--Annapolis/Acadie--Annapolis"," 39","Middleton",50,6,61,2,2,1,122,411
12001,"Acadie--Annapolis/Acadie--Annapolis"," 40","Middleton",46,7,55,5,2,0,115,389
12001,"Acadie--Annapolis/Acadie--Annapolis"," 41","Meadowvale",98,7,77,3,4,1,190,454
12001,"Acadie--Annapolis/Acadie--Annapolis"," 42","Torbrook",102,10,83,5,2,2,204,422
12001,"Acadie--Annapolis/Acadie--Annapolis"," 43","Nictaux",115,12,112,3,1,2,245,474
12001,"Acadie--Annapolis/Acadie--Annapolis"," 44","Nictaux West",100,7,82,6,2,1,198,412
12001,"Acadie--Annapolis/Acadie--Annapolis"," 45","Nictaux Falls",117,14,81,6,4,0,222,444
12001,"Acadie--Annapolis/Acadie--Annapolis"," 46","Albany",64,5,68,5,3,0,145,361
12001,"Acadie--Annapolis/Acadie--Annapolis"," 47","Springfield",113,7,84,6,5,1,216,373
12001,"Acadie--Annapolis/Acadie--Annapolis"," 48","Port Lorne",31,2,32,1,0,0,66,194
12001,"Acadie--Annapolis/Acadie--Annapolis"," 49","Hampton",50,3,58,3,2,0,116,286
12001,"Acadie--Annapolis/Acadie--Annapolis"," 50","Lawrencetown",57,6,66,4,0,0,133,454
12001,"Acadie--Annapolis/Acadie--Annapolis"," 51","South Williamston",55,8,38,7,1,0,109,332
12001,"Acadie--Annapolis/Acadie--Annapolis"," 52","West Lawrencetown",54,5,31,0,0,0,90,286
12001,"Acadie--Annapolis/Acadie--Annapolis"," 53","Central Clarence",50,8,45,1,1,0,105,391
12001,"Acadie--Annapolis/Acadie--Annapolis"," 54","Clarence West",34,3,42,2,1,0,82,338
12001,"Acadie--Annapolis/Acadie--Annapolis"," 55","Carleton Corner",40,5,41,3,1,0,90,287
12001,"Acadie--Annapolis/Acadie--Annapolis"," 56","Upper Granville",67,8,74,4,1,0,154,471
12001,"Acadie--Annapolis/Acadie--Annapolis"," 57","Bridgetown",43,3,54,0,2,0,102,402
12001,"Acadie--Annapolis/Acadie--Annapolis"," 58","Bridgetown",36,8,51,4,0,0,99,373
