Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Khalis Ahmed,Paul Godard,David GL McKenzie,Grant Strem,Bryndis Whitson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Calgary Signal Hill/Calgary Signal Hill"," 59","Calgary",3,1,108,6,66,0,184,448
48013,"Calgary Signal Hill/Calgary Signal Hill"," 60","Calgary",1,0,132,1,58,0,192,478
48013,"Calgary Signal Hill/Calgary Signal Hill"," 61A","Calgary",3,1,108,0,53,0,165,527
48013,"Calgary Signal Hill/Calgary Signal Hill"," 61B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,109
48013,"Calgary Signal Hill/Calgary Signal Hill"," 62","Calgary",2,0,144,3,95,1,245,546
48013,"Calgary Signal Hill/Calgary Signal Hill"," 63","Calgary",3,1,59,1,44,0,108,436
48013,"Calgary Signal Hill/Calgary Signal Hill"," 64","Calgary",1,0,59,0,49,3,112,347
48013,"Calgary Signal Hill/Calgary Signal Hill"," 65","Calgary",3,0,90,1,58,0,152,411
48013,"Calgary Signal Hill/Calgary Signal Hill"," 66","Calgary",8,0,107,3,66,0,184,487
48013,"Calgary Signal Hill/Calgary Signal Hill"," 67","Calgary",4,0,76,1,31,1,113,439
48013,"Calgary Signal Hill/Calgary Signal Hill"," 68","Calgary",2,1,89,2,43,12,149,491
48013,"Calgary Signal Hill/Calgary Signal Hill"," 69","Calgary",5,1,104,1,50,0,161,463
48013,"Calgary Signal Hill/Calgary Signal Hill"," 70","Calgary",2,0,86,1,47,0,136,447
48013,"Calgary Signal Hill/Calgary Signal Hill"," 71","Calgary",1,1,161,1,57,1,222,621
48013,"Calgary Signal Hill/Calgary Signal Hill"," 72","Calgary",5,0,100,0,60,1,166,481
48013,"Calgary Signal Hill/Calgary Signal Hill"," 73","Calgary",Combined with No./Résultats combinés à ceux du n°107,,,,,,,340
48013,"Calgary Signal Hill/Calgary Signal Hill"," 74","Calgary",Combined with No./Résultats combinés à ceux du n°75,,,,,,,391
48013,"Calgary Signal Hill/Calgary Signal Hill"," 75","Calgary",7,1,174,1,112,2,297,386
48013,"Calgary Signal Hill/Calgary Signal Hill"," 76","Calgary",7,0,95,7,68,0,177,456
48013,"Calgary Signal Hill/Calgary Signal Hill"," 77","Calgary",7,1,84,2,61,0,155,390
48013,"Calgary Signal Hill/Calgary Signal Hill"," 78","Calgary",2,3,93,5,63,0,166,447
48013,"Calgary Signal Hill/Calgary Signal Hill"," 79","Calgary",11,2,85,1,49,1,149,499
48013,"Calgary Signal Hill/Calgary Signal Hill"," 80","Calgary",6,2,84,3,58,1,154,496
48013,"Calgary Signal Hill/Calgary Signal Hill"," 81","Calgary",5,1,63,1,45,0,115,387
48013,"Calgary Signal Hill/Calgary Signal Hill"," 82","Calgary",4,1,66,0,57,0,128,380
48013,"Calgary Signal Hill/Calgary Signal Hill"," 83","Calgary",4,1,125,1,46,1,178,460
48013,"Calgary Signal Hill/Calgary Signal Hill"," 84","Calgary",0,0,78,0,49,0,127,403
48013,"Calgary Signal Hill/Calgary Signal Hill"," 85","Calgary",4,1,79,0,50,0,134,401
48013,"Calgary Signal Hill/Calgary Signal Hill"," 86","Calgary",1,1,104,2,42,0,150,424
48013,"Calgary Signal Hill/Calgary Signal Hill"," 87","Calgary",5,0,101,0,58,1,165,479
48013,"Calgary Signal Hill/Calgary Signal Hill"," 88","Calgary",4,1,85,2,45,0,137,393
48013,"Calgary Signal Hill/Calgary Signal Hill"," 89","Calgary",0,1,86,0,37,0,124,359
48013,"Calgary Signal Hill/Calgary Signal Hill"," 90","Calgary",4,1,77,0,45,2,129,393
48013,"Calgary Signal Hill/Calgary Signal Hill"," 91","Calgary",7,0,52,0,45,0,104,407
48013,"Calgary Signal Hill/Calgary Signal Hill"," 92","Calgary",5,0,96,2,21,0,124,402
48013,"Calgary Signal Hill/Calgary Signal Hill"," 93","Calgary",7,0,101,2,42,2,154,480
48013,"Calgary Signal Hill/Calgary Signal Hill"," 94","Calgary",1,1,73,2,21,1,99,354
48013,"Calgary Signal Hill/Calgary Signal Hill"," 95","Calgary",3,0,91,0,41,0,135,401
48013,"Calgary Signal Hill/Calgary Signal Hill"," 96","Calgary",4,1,79,2,42,0,128,507
48013,"Calgary Signal Hill/Calgary Signal Hill"," 97","Calgary",2,0,87,1,50,0,140,451
48013,"Calgary Signal Hill/Calgary Signal Hill"," 98","Calgary",5,1,79,2,56,1,144,436
48013,"Calgary Signal Hill/Calgary Signal Hill"," 99","Calgary",Combined with No./Résultats combinés à ceux du n°100,,,,,,,366
48013,"Calgary Signal Hill/Calgary Signal Hill"," 100","Calgary",6,0,161,2,93,0,262,376
48013,"Calgary Signal Hill/Calgary Signal Hill"," 101","Calgary",9,3,86,3,47,0,148,503
48013,"Calgary Signal Hill/Calgary Signal Hill"," 102","Calgary",11,1,144,4,95,1,256,379
48013,"Calgary Signal Hill/Calgary Signal Hill"," 103","Calgary",7,1,89,4,41,2,144,472
48013,"Calgary Signal Hill/Calgary Signal Hill"," 104","Calgary",Combined with No./Résultats combinés à ceux du n°102,,,,,,,376
48013,"Calgary Signal Hill/Calgary Signal Hill"," 105","Calgary",8,2,96,0,66,0,172,505
48013,"Calgary Signal Hill/Calgary Signal Hill"," 106","Calgary",2,0,80,0,42,0,124,406
48013,"Calgary Signal Hill/Calgary Signal Hill"," 107","Calgary",5,4,139,0,108,2,258,355
48013,"Calgary Signal Hill/Calgary Signal Hill"," 108","Calgary",11,2,63,3,80,1,160,520
48013,"Calgary Signal Hill/Calgary Signal Hill"," 109","Calgary",12,1,81,6,70,1,171,470
48013,"Calgary Signal Hill/Calgary Signal Hill"," 110","Calgary",7,0,106,2,65,0,180,589
48013,"Calgary Signal Hill/Calgary Signal Hill"," 111","Calgary",9,1,122,2,92,2,228,584
48013,"Calgary Signal Hill/Calgary Signal Hill"," 112","Calgary",7,0,67,2,70,0,146,547
48013,"Calgary Signal Hill/Calgary Signal Hill"," 113","Calgary",8,2,69,1,37,0,117,441
48013,"Calgary Signal Hill/Calgary Signal Hill"," 114","Calgary",7,4,95,1,65,1,173,452
48013,"Calgary Signal Hill/Calgary Signal Hill"," 115","Calgary",5,0,53,7,52,0,117,351
48013,"Calgary Signal Hill/Calgary Signal Hill"," 116","Calgary",4,0,138,0,41,0,183,600
48013,"Calgary Signal Hill/Calgary Signal Hill"," 117","Calgary",4,1,63,1,41,1,111,441
48013,"Calgary Signal Hill/Calgary Signal Hill"," 118","Calgary",9,0,221,1,76,1,308,883
