Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Khalis Ahmed,Paul Godard,David GL McKenzie,Grant Strem,Bryndis Whitson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Calgary Signal Hill/Calgary Signal Hill"," 624","Calgary",11,7,514,1,189,1,723,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 625","Calgary",2,0,538,6,220,0,766,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 626","Calgary",13,1,467,8,283,1,773,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 627","Calgary",6,0,572,5,309,2,894,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 628","Calgary",15,2,660,4,460,1,1142,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 629","Calgary",36,2,626,8,515,6,1193,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 630","Calgary",33,3,366,2,323,2,729,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 631","Calgary",23,2,377,6,272,2,682,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 632","Calgary",15,2,375,3,378,1,774,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 633","Calgary",15,1,405,3,391,0,815,
48013,"Calgary Signal Hill/Calgary Signal Hill",,Group 1/Groupe 1, 51,6,726,12,777,66,1638,661
48013,"Calgary Signal Hill/Calgary Signal Hill",,Group 2/Groupe 2, 76,14,3150,32,1588,125,4985,
