Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kulbir Chawla,You-Ju Choi,Alan Clarke,Brian Deheer,Laila Goodridge,Kaitlyn Staines,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 46","Wood Buffalo",0,3,1,1,149,14,0,168,488
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 47","Wood Buffalo",0,6,4,0,207,34,6,257,428
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 48","Wood Buffalo",0,8,7,1,165,17,0,198,529
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 49","Wood Buffalo",0,4,3,0,155,19,1,182,360
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 50","Wood Buffalo",0,4,0,1,135,11,1,152,423
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 51","Wood Buffalo",1,0,1,1,131,12,0,146,388
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 52","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°53,,,,,,,,312
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 53","Wood Buffalo",0,0,5,0,165,18,0,188,319
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 54","Wood Buffalo",0,3,6,1,155,19,0,184,404
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 55","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°69,,,,,,,,324
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 56A","Wood Buffalo",0,2,1,1,92,15,1,112,373
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 56B","Wood Buffalo",0,3,2,1,86,17,2,111,361
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 57","Wood Buffalo",0,1,4,0,113,48,1,167,452
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 58","Wood Buffalo",2,5,5,2,186,15,3,218,320
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 59","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°49,,,,,,,,244
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 60","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°54,,,,,,,,227
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 61","Wood Buffalo",0,1,5,0,136,6,1,149,254
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 62","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°61,,,,,,,,204
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 63","Wood Buffalo",1,3,2,1,93,19,0,119,352
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 64","Wood Buffalo",0,9,3,2,94,18,0,126,351
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 65","Wood Buffalo",0,3,1,0,137,16,0,157,529
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 66","Wood Buffalo",0,6,2,0,106,27,1,142,480
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 67","Wood Buffalo",0,2,1,0,128,9,0,140,398
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 68","Wood Buffalo",1,4,1,0,73,19,1,99,351
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 69","Wood Buffalo",0,2,9,0,217,23,0,251,337
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 70","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°58,,,,,,,,260
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 71","Wood Buffalo",0,2,1,0,110,10,0,123,428
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 72","Wood Buffalo",0,0,2,0,117,16,3,138,427
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 73","Wood Buffalo",0,1,2,0,112,19,0,134,423
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 74","Wood Buffalo",0,1,0,0,91,15,0,107,344
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 75","Wood Buffalo",0,5,5,0,163,31,1,205,580
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 76","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°79,,,,,,,,317
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 77","Wood Buffalo",0,1,1,0,90,20,0,112,341
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 78","Wood Buffalo",0,3,2,0,154,10,0,169,462
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 79","Wood Buffalo",2,5,4,2,218,14,2,247,343
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 80","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°84,,,,,,,,310
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 81","Wood Buffalo",0,4,2,0,78,7,0,91,342
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 82","Wood Buffalo",0,2,0,0,108,12,0,122,310
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 83","Wood Buffalo",0,3,4,0,142,8,1,158,423
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 84","Wood Buffalo",1,4,2,1,172,32,2,214,321
