Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Juanita Nathan,Jamie Nye,Zainab Rana,Lisa Robinson,Alicia Vianga,Andrea Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Pickering--Brooklin/Pickering--Brooklin"," 412","Pickering",89,8,3,4,58,0,2,164,298
35087,"Pickering--Brooklin/Pickering--Brooklin"," 413","Pickering",95,8,0,1,64,0,1,169,293
35087,"Pickering--Brooklin/Pickering--Brooklin"," 500","Mobile poll/Bureau itinérant",63,9,2,1,27,1,4,107,320
35087,"Pickering--Brooklin/Pickering--Brooklin"," 501","Mobile poll/Bureau itinérant",18,4,1,1,13,1,1,39,0
35087,"Pickering--Brooklin/Pickering--Brooklin"," 502","Mobile poll/Bureau itinérant",20,3,0,0,9,0,0,32,25
35087,"Pickering--Brooklin/Pickering--Brooklin"," 600","Whitby",967,35,1,13,938,9,5,1968,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 601","Whitby",1298,50,1,7,1037,7,4,2404,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 602","Whitby",1101,31,4,11,1152,14,3,2316,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 603","Pickering",706,22,3,7,656,12,5,1411,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 604","Pickering",605,18,4,5,434,4,5,1075,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 605","Pickering",610,22,8,6,329,5,2,982,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 606","Pickering",1015,31,11,6,466,14,4,1547,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 607","Pickering",865,39,10,7,414,11,10,1356,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 608","Pickering",860,31,13,3,482,13,3,1405,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 609","Pickering",773,37,3,16,574,6,7,1416,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 610","Pickering",680,34,2,6,312,6,2,1042,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 611","Pickering",863,26,0,10,543,6,2,1450,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 612","Pickering",847,49,7,8,607,4,2,1524,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 613","Pickering",955,23,3,6,536,12,7,1542,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 614","Pickering",551,31,3,8,414,3,14,1024,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 615","Pickering",710,19,1,10,433,4,5,1182,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 616","Pickering",1021,31,8,16,664,15,1,1756,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 617","Pickering",1023,18,5,9,541,11,6,1613,
35087,"Pickering--Brooklin/Pickering--Brooklin"," 618","Pickering",933,19,6,5,586,8,13,1570,
35087,"Pickering--Brooklin/Pickering--Brooklin",,Group 1/Groupe 1, 445,22,6,6,229,5,44,757,329
35087,"Pickering--Brooklin/Pickering--Brooklin",,Group 2/Groupe 2, 1400,55,17,13,919,17,57,2478,
