Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Juanita Nathan,Jamie Nye,Zainab Rana,Lisa Robinson,Alicia Vianga,Andrea Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Pickering--Brooklin/Pickering--Brooklin"," 17","Whitby",41,5,0,0,65,0,1,112,484
35087,"Pickering--Brooklin/Pickering--Brooklin"," 18","Whitby",60,4,1,2,65,0,0,132,522
35087,"Pickering--Brooklin/Pickering--Brooklin"," 19A","Whitby",30,1,0,0,57,0,0,88,295
35087,"Pickering--Brooklin/Pickering--Brooklin"," 19B","Whitby",39,4,0,0,58,0,1,102,321
35087,"Pickering--Brooklin/Pickering--Brooklin"," 20A","Whitby",45,1,1,0,60,0,1,108,289
35087,"Pickering--Brooklin/Pickering--Brooklin"," 20B","Whitby",28,1,0,2,47,0,0,78,286
35087,"Pickering--Brooklin/Pickering--Brooklin"," 21A","Whitby",32,0,0,0,74,0,0,106,270
35087,"Pickering--Brooklin/Pickering--Brooklin"," 21B","Whitby",58,4,0,1,64,3,1,131,297
35087,"Pickering--Brooklin/Pickering--Brooklin"," 22A","Whitby",43,4,0,0,64,0,0,111,288
35087,"Pickering--Brooklin/Pickering--Brooklin"," 22B","Whitby",57,0,0,1,57,1,2,118,290
35087,"Pickering--Brooklin/Pickering--Brooklin"," 23A","Whitby",64,1,1,0,55,0,0,121,293
35087,"Pickering--Brooklin/Pickering--Brooklin"," 23B","Whitby",39,3,0,1,43,0,0,86,277
35087,"Pickering--Brooklin/Pickering--Brooklin"," 24","Whitby",78,3,0,2,70,2,0,155,543
35087,"Pickering--Brooklin/Pickering--Brooklin"," 25","Whitby",89,3,1,1,90,0,0,184,474
35087,"Pickering--Brooklin/Pickering--Brooklin"," 26","Whitby",83,6,0,1,73,2,0,165,429
35087,"Pickering--Brooklin/Pickering--Brooklin"," 27","Whitby",83,6,0,2,97,2,3,193,497
