Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Stephen Campbell,David Goodwin,Andrew Lawton,Paul Pighin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 1A","London",1,68,53,13,0,135,79
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 1B","London",0,66,34,5,0,105,51
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 2A","London",2,160,132,15,1,310,326
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 2B","London",2,129,99,9,3,242,278
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 3A","London",6,141,78,10,0,235,473
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 3B","London",1,91,86,6,4,188,422
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 4A","London",1,91,82,18,1,193,413
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 4B","London",1,110,96,14,10,231,396
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 5","London",2,120,92,5,3,222,442
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 6","London",3,139,124,14,2,282,735
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 7","London",5,158,117,3,0,283,712
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 8A","London",3,154,102,21,0,280,718
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 8B","London",2,85,120,4,0,211,593
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 8C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,77
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 9","London",1,150,131,10,4,296,741
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 10","London",3,105,71,11,1,191,550
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 11","London",2,129,132,9,5,277,872
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 12","London",0,115,137,5,0,257,779
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 13","London",1,103,112,7,0,223,760
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 14","Belmont",4,89,103,15,2,213,622
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 15","Central Elgin",6,124,152,12,3,297,573
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 16","Belmont",8,162,154,18,5,347,732
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 17","Gladstone",16,92,196,15,0,319,634
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 18","Malahide",4,70,163,7,2,246,584
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 19","Malahide",9,113,329,16,7,474,764
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 20","London",3,121,145,7,1,277,744
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 21","London",2,107,110,13,0,232,548
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 22","London",2,105,107,12,1,227,514
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 23","London",4,129,157,13,3,306,655
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 24","London",3,78,150,9,0,240,619
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 25","London",4,80,138,9,2,233,495
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 26","London",3,94,180,16,0,293,594
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 27","Bayham",13,109,289,24,3,438,790
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 28","Bayham",12,73,203,15,3,306,629
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 29","Bayham",13,70,244,11,0,338,714
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 30A","Central Elgin",Combined with No./Résultats combinés à ceux du n°59,,,,,,167
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 30B","Central Elgin",Combined with No./Résultats combinés à ceux du n°34,,,,,,406
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 30C","Central Elgin",Combined with No./Résultats combinés à ceux du n°15,,,,,,163
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 31","St. Thomas",3,59,75,13,0,150,386
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 32","St. Thomas",1,81,91,6,3,182,508
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 33","St. Thomas",6,101,132,9,1,249,649
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 34","St. Thomas",16,129,194,23,0,362,488
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 35","St. Thomas",8,120,101,8,5,242,648
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 36","St. Thomas",9,38,66,12,1,126,459
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 37","St. Thomas",5,109,97,12,0,223,652
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 38","St. Thomas",10,92,116,28,3,249,787
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 39","Malahide",5,52,124,11,1,193,506
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 40","Malahide",5,23,143,11,2,184,560
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 41","Malahide",4,63,131,17,2,217,605
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 42","Aylmer",7,50,100,7,0,164,486
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 43","Aylmer",7,55,153,9,0,224,651
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 44","New Sarum",3,106,184,18,0,311,765
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 45","Aylmer",6,47,135,7,2,197,574
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 46","Aylmer",7,59,96,9,3,174,499
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 47","Aylmer",3,114,167,19,0,303,747
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 48","Aylmer",3,106,181,8,1,299,697
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 49","Aylmer",4,82,125,11,0,222,603
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 50","Southwold",5,158,211,16,4,394,785
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 51","Southwold",6,143,220,4,2,375,733
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 52","St. Thomas",2,46,94,15,0,157,449
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 53","St. Thomas",6,80,83,19,0,188,504
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 54","St. Thomas",10,60,118,17,0,205,550
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 55","St. Thomas",7,58,91,20,0,176,526
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 56","St. Thomas",7,73,84,17,3,184,597
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 57","St. Thomas",5,89,125,17,0,236,656
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 58","Central Elgin",5,130,125,10,0,270,543
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 59","Central Elgin",3,122,160,6,0,291,457
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 60","Central Elgin",3,107,124,12,0,246,514
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 61","Central Elgin",2,116,117,5,2,242,495
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 62","Bayham",10,82,276,10,3,381,756
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 63","Bayham",7,46,252,10,7,322,721
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 64","St. Thomas",9,86,91,22,0,208,618
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 65A","St. Thomas",6,57,61,19,2,145,416
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 65B","St. Thomas",10,58,79,9,1,157,424
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 66","St. Thomas",4,94,82,16,1,197,534
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 67","St. Thomas",0,42,44,9,0,95,487
