Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Carol Anstey,Don Bradshaw,Robbie Coles,Pamela Geiger,Sarah Parsons,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 615","Corner Brook",196,338,5,0,32,8,579,
10005,"Long Range Mountains/Long Range Mountains"," 616","Corner Brook",184,438,9,1,48,3,683,
10005,"Long Range Mountains/Long Range Mountains"," 617","Deer Lake",404,295,15,2,25,23,764,
10005,"Long Range Mountains/Long Range Mountains"," 618","Stephenville Crossing",92,134,3,1,10,2,242,
10005,"Long Range Mountains/Long Range Mountains"," 619","Stephenville",311,432,8,3,22,7,783,
10005,"Long Range Mountains/Long Range Mountains"," 620","Kippens",352,467,12,8,17,5,861,
10005,"Long Range Mountains/Long Range Mountains"," 621","Piccadilly",292,76,2,15,16,5,406,
10005,"Long Range Mountains/Long Range Mountains"," 622","St. Fintan's",39,24,0,0,0,0,63,
10005,"Long Range Mountains/Long Range Mountains"," 623","Channel-Port aux Basques",378,267,6,1,13,8,673,
10005,"Long Range Mountains/Long Range Mountains"," 624","Burnt Islands",58,29,1,2,3,1,94,
10005,"Long Range Mountains/Long Range Mountains"," 625","Burgeo",102,117,1,3,5,1,229,
10005,"Long Range Mountains/Long Range Mountains",,Group 1/Groupe 1, 258,268,9,3,16,11,565,64
10005,"Long Range Mountains/Long Range Mountains",,Group 2/Groupe 2, 1035,1528,16,4,96,36,2715,
