Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Carol Anstey,Don Bradshaw,Robbie Coles,Pamela Geiger,Sarah Parsons,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 112","Humber Arm South",90,41,3,1,12,1,148,300
10005,"Long Range Mountains/Long Range Mountains"," 113","Benoit's Cove",98,29,2,1,10,3,143,326
10005,"Long Range Mountains/Long Range Mountains"," 114","Corner Brook",79,105,3,0,11,0,198,526
10005,"Long Range Mountains/Long Range Mountains"," 115","Corner Brook",81,87,1,2,20,1,192,493
10005,"Long Range Mountains/Long Range Mountains"," 116","Corner Brook",90,80,2,1,22,1,196,574
10005,"Long Range Mountains/Long Range Mountains"," 117","Corner Brook",80,53,2,0,8,0,143,444
10005,"Long Range Mountains/Long Range Mountains"," 118","Corner Brook",60,56,2,1,8,3,130,348
10005,"Long Range Mountains/Long Range Mountains"," 119","York Harbour",104,108,2,3,8,1,226,324
10005,"Long Range Mountains/Long Range Mountains"," 120","Corner Brook",47,47,2,2,2,0,100,319
10005,"Long Range Mountains/Long Range Mountains"," 121","Corner Brook",55,48,1,3,8,1,116,351
10005,"Long Range Mountains/Long Range Mountains"," 122","Corner Brook",72,83,0,1,12,3,171,392
10005,"Long Range Mountains/Long Range Mountains"," 123","Corner Brook",66,123,1,2,8,1,201,451
10005,"Long Range Mountains/Long Range Mountains"," 124","Corner Brook",100,143,0,0,8,1,252,500
10005,"Long Range Mountains/Long Range Mountains"," 125","Corner Brook",97,96,2,3,13,0,211,474
10005,"Long Range Mountains/Long Range Mountains"," 126","Corner Brook",85,67,1,1,26,3,183,383
10005,"Long Range Mountains/Long Range Mountains"," 127","Corner Brook",65,61,0,1,15,2,144,342
10005,"Long Range Mountains/Long Range Mountains"," 128","Corner Brook",95,83,1,1,12,0,192,400
10005,"Long Range Mountains/Long Range Mountains"," 129","Corner Brook",94,83,1,0,10,2,190,438
10005,"Long Range Mountains/Long Range Mountains"," 130","Corner Brook",81,66,2,1,14,7,171,379
10005,"Long Range Mountains/Long Range Mountains"," 131","Corner Brook",85,53,2,0,11,1,152,351
10005,"Long Range Mountains/Long Range Mountains"," 132","Mount Moriah",87,40,0,0,4,3,134,225
10005,"Long Range Mountains/Long Range Mountains"," 133","Mount Moriah",138,80,0,0,15,4,237,406
10005,"Long Range Mountains/Long Range Mountains"," 134","Corner Brook",153,133,2,1,12,1,302,579
10005,"Long Range Mountains/Long Range Mountains"," 135","Massey Drive",94,112,3,2,15,0,226,404
10005,"Long Range Mountains/Long Range Mountains"," 136","Massey Drive",129,110,4,1,14,0,258,519
10005,"Long Range Mountains/Long Range Mountains"," 137","Gallants--Georges Lake",28,32,0,0,7,1,68,183
10005,"Long Range Mountains/Long Range Mountains"," 138","Annieopsquotch Mountains",43,17,0,2,4,3,69,103
10005,"Long Range Mountains/Long Range Mountains"," 139","Stephenville Crossing",116,87,0,1,6,2,212,366
10005,"Long Range Mountains/Long Range Mountains"," 140","Stephenville Crossing",76,41,1,11,2,2,133,350
10005,"Long Range Mountains/Long Range Mountains"," 141","Stephenville Crossing",93,54,4,4,11,0,166,376
10005,"Long Range Mountains/Long Range Mountains"," 142","Stephenville Crossing",84,56,2,8,6,1,157,360
10005,"Long Range Mountains/Long Range Mountains"," 143","Black Duck Siding",33,4,0,4,1,0,42,60
10005,"Long Range Mountains/Long Range Mountains"," 144","Fox Island River--Point au Mal",52,21,0,6,5,0,84,100
10005,"Long Range Mountains/Long Range Mountains"," 145","Noels Pond--Cold Brook",98,44,2,2,7,0,153,312
10005,"Long Range Mountains/Long Range Mountains"," 146","Lourdes",104,65,1,9,8,0,187,440
10005,"Long Range Mountains/Long Range Mountains"," 147","Lourdes",72,42,1,8,9,1,133,279
10005,"Long Range Mountains/Long Range Mountains"," 148","West Bay Centre",33,15,2,2,2,0,54,97
10005,"Long Range Mountains/Long Range Mountains"," 149","Barachois Brook",24,31,1,3,0,2,61,107
10005,"Long Range Mountains/Long Range Mountains"," 150","Stephenville",52,72,3,1,6,1,135,424
10005,"Long Range Mountains/Long Range Mountains"," 151","Stephenville",76,57,3,3,6,6,151,409
10005,"Long Range Mountains/Long Range Mountains"," 152","Stephenville",60,51,3,3,6,1,124,425
