Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Robert Frasch,Gul Khan,Tom Kmiec,Donald Legere,Tory Tomblin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Calgary Shepard/Calgary Shepard"," 1","Calgary",Combined with No./Résultats combinés à ceux du n°32,,,,,,,242
48012,"Calgary Shepard/Calgary Shepard"," 2","Calgary",0,43,127,0,3,0,173,542
48012,"Calgary Shepard/Calgary Shepard"," 3","Calgary",2,42,125,3,4,0,176,436
48012,"Calgary Shepard/Calgary Shepard"," 4","Calgary",0,64,150,2,7,1,224,543
48012,"Calgary Shepard/Calgary Shepard"," 5","Calgary",3,72,159,3,3,0,240,574
48012,"Calgary Shepard/Calgary Shepard"," 6","Calgary",1,49,117,4,11,0,182,453
48012,"Calgary Shepard/Calgary Shepard"," 7","Calgary",0,64,184,1,8,1,258,529
48012,"Calgary Shepard/Calgary Shepard"," 8","Calgary",2,53,144,0,4,2,205,437
48012,"Calgary Shepard/Calgary Shepard"," 9","Calgary",0,47,113,0,7,1,168,525
48012,"Calgary Shepard/Calgary Shepard"," 10","Calgary",0,60,142,0,6,1,209,444
48012,"Calgary Shepard/Calgary Shepard"," 11","Calgary",1,63,125,1,15,0,205,575
48012,"Calgary Shepard/Calgary Shepard"," 12","Calgary",2,59,126,0,2,0,189,641
48012,"Calgary Shepard/Calgary Shepard"," 13","Calgary",1,57,114,3,9,1,185,577
48012,"Calgary Shepard/Calgary Shepard"," 14","Calgary",0,33,72,3,2,1,111,453
48012,"Calgary Shepard/Calgary Shepard"," 15","Calgary",1,69,85,1,11,0,167,517
48012,"Calgary Shepard/Calgary Shepard"," 16","Calgary",2,62,109,1,2,2,178,532
48012,"Calgary Shepard/Calgary Shepard"," 17","Calgary",0,51,120,1,8,0,180,583
48012,"Calgary Shepard/Calgary Shepard"," 18","Calgary",2,43,123,2,8,4,182,582
48012,"Calgary Shepard/Calgary Shepard"," 19","Calgary",2,80,121,1,3,0,207,495
48012,"Calgary Shepard/Calgary Shepard"," 20","Calgary",2,81,157,0,2,0,242,548
48012,"Calgary Shepard/Calgary Shepard"," 21","Calgary",1,76,206,2,10,1,296,586
48012,"Calgary Shepard/Calgary Shepard"," 22","Calgary",2,79,172,3,7,1,264,554
48012,"Calgary Shepard/Calgary Shepard"," 23","Calgary",1,37,120,0,10,0,168,425
48012,"Calgary Shepard/Calgary Shepard"," 24","Calgary",2,42,69,2,6,0,121,385
48012,"Calgary Shepard/Calgary Shepard"," 25","Calgary",0,70,101,0,7,2,180,452
48012,"Calgary Shepard/Calgary Shepard"," 26","Calgary",2,45,122,2,9,1,181,436
48012,"Calgary Shepard/Calgary Shepard"," 27","Calgary",3,83,167,1,13,1,268,599
48012,"Calgary Shepard/Calgary Shepard"," 28","Calgary",1,87,213,1,8,3,313,616
48012,"Calgary Shepard/Calgary Shepard"," 29","Calgary",1,73,143,4,12,0,233,609
48012,"Calgary Shepard/Calgary Shepard"," 30","Calgary",1,69,104,2,6,1,183,397
48012,"Calgary Shepard/Calgary Shepard"," 31","Calgary",3,47,131,2,8,0,191,490
48012,"Calgary Shepard/Calgary Shepard"," 32","Calgary",2,41,143,0,4,0,190,303
48012,"Calgary Shepard/Calgary Shepard"," 33","Calgary",2,54,161,3,6,0,226,648
48012,"Calgary Shepard/Calgary Shepard"," 34","Calgary",0,84,197,2,3,1,287,723
48012,"Calgary Shepard/Calgary Shepard"," 35","Calgary",0,63,148,4,4,0,219,541
48012,"Calgary Shepard/Calgary Shepard"," 36","Calgary",0,64,163,1,3,0,231,516
48012,"Calgary Shepard/Calgary Shepard"," 37","Calgary",3,77,161,1,14,1,257,610
48012,"Calgary Shepard/Calgary Shepard"," 38","Calgary",4,82,168,1,3,1,259,570
48012,"Calgary Shepard/Calgary Shepard"," 39","Calgary",1,83,154,1,10,0,249,569
48012,"Calgary Shepard/Calgary Shepard"," 40","Calgary",1,57,124,1,13,0,196,424
48012,"Calgary Shepard/Calgary Shepard"," 41","Calgary",1,58,161,0,3,0,223,405
48012,"Calgary Shepard/Calgary Shepard"," 42","Calgary",1,77,186,1,10,0,275,592
48012,"Calgary Shepard/Calgary Shepard"," 43","Calgary",1,72,200,6,5,1,285,747
48012,"Calgary Shepard/Calgary Shepard"," 44","Calgary",1,57,142,1,6,1,208,478
48012,"Calgary Shepard/Calgary Shepard"," 45","Calgary",1,68,185,1,9,1,265,660
48012,"Calgary Shepard/Calgary Shepard"," 46","Calgary",3,59,146,1,7,1,217,571
48012,"Calgary Shepard/Calgary Shepard"," 47","Calgary",0,60,150,5,3,1,219,647
48012,"Calgary Shepard/Calgary Shepard"," 48","Calgary",1,55,135,4,4,1,200,559
48012,"Calgary Shepard/Calgary Shepard"," 49","Calgary",0,46,108,2,7,0,163,529
48012,"Calgary Shepard/Calgary Shepard"," 50","Calgary",3,44,141,0,4,1,193,445
48012,"Calgary Shepard/Calgary Shepard"," 51","Calgary",1,84,125,0,9,2,221,534
48012,"Calgary Shepard/Calgary Shepard"," 52","Calgary",3,64,158,0,4,1,230,599
48012,"Calgary Shepard/Calgary Shepard"," 53","Calgary",1,30,128,1,7,0,167,419
48012,"Calgary Shepard/Calgary Shepard"," 54","Calgary",2,47,169,2,6,0,226,563
48012,"Calgary Shepard/Calgary Shepard"," 55","Calgary",4,48,117,7,11,0,187,380
48012,"Calgary Shepard/Calgary Shepard"," 56","Calgary",1,42,116,1,10,0,170,423
48012,"Calgary Shepard/Calgary Shepard"," 57","Calgary",1,70,166,3,14,0,254,594
48012,"Calgary Shepard/Calgary Shepard"," 58","Calgary",1,69,144,2,13,0,229,547
48012,"Calgary Shepard/Calgary Shepard"," 59","Calgary",2,64,142,0,7,1,216,490
48012,"Calgary Shepard/Calgary Shepard"," 60","Calgary",1,48,67,0,7,2,125,370
48012,"Calgary Shepard/Calgary Shepard"," 61","Calgary",1,65,155,0,11,0,232,507
48012,"Calgary Shepard/Calgary Shepard"," 62","Calgary",2,43,93,3,6,1,148,412
48012,"Calgary Shepard/Calgary Shepard"," 63","Calgary",3,71,153,1,9,0,237,616
48012,"Calgary Shepard/Calgary Shepard"," 64","Calgary",1,53,122,1,6,1,184,446
48012,"Calgary Shepard/Calgary Shepard"," 65","Calgary",0,52,140,2,7,0,201,509
48012,"Calgary Shepard/Calgary Shepard"," 66","Calgary",1,58,159,3,12,0,233,413
48012,"Calgary Shepard/Calgary Shepard"," 67","Calgary",1,65,120,1,9,0,196,420
48012,"Calgary Shepard/Calgary Shepard"," 68","Calgary",0,62,136,3,11,0,212,452
48012,"Calgary Shepard/Calgary Shepard"," 69","Calgary",1,98,207,1,3,1,311,621
48012,"Calgary Shepard/Calgary Shepard"," 70","Calgary",1,56,143,3,8,1,212,506
48012,"Calgary Shepard/Calgary Shepard"," 71","Calgary",1,46,154,1,5,1,208,460
