Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nikita Mahood,Dan Muys,Anita Payne,Chuck Phillips,Peter Werhun,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 1","Hamilton",1,89,1,65,3,0,159,412
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 2","Hamilton",1,93,1,52,8,1,156,375
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 3","Hamilton",0,139,0,87,8,0,234,489
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 4","Hamilton",3,87,3,68,6,0,167,492
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 5","Hamilton",0,97,7,68,3,2,177,434
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 6","Hamilton",1,117,2,58,6,0,184,412
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 7","Hamilton",2,133,3,94,7,0,239,457
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 8","Hamilton",3,150,3,54,6,0,216,386
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 9","Hamilton",1,156,3,53,3,1,217,484
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 10","Hamilton",3,131,0,47,3,0,184,387
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 11","Hamilton",1,103,1,61,0,1,167,398
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 12","Hamilton",3,80,1,76,3,0,163,453
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 13","Hamilton",2,100,1,57,4,0,164,424
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 14","Hamilton",2,75,2,51,2,0,132,306
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 15","Hamilton",1,85,3,96,4,0,189,507
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 16","Hamilton",2,94,2,55,2,0,155,449
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 17","Hamilton",4,99,2,50,11,34,200,452
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 18","Hamilton",4,74,0,42,2,1,123,316
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 19","Hamilton",1,117,2,84,3,1,208,524
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 20","Hamilton",0,124,2,88,0,0,214,570
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 21","Hamilton",0,92,2,115,6,1,216,516
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 22","Hamilton",0,146,5,146,4,0,301,611
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 23","Hamilton",1,109,1,117,7,2,237,562
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 24","Hamilton",0,99,4,84,1,1,189,443
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 25","Hamilton",1,82,2,60,2,0,147,401
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 26","Hamilton",2,108,1,73,1,3,188,500
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 27A","Hamilton",1,116,2,81,5,2,207,448
