Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Claude Dussault,Joël Lightbound,Jean-Paul Lussiaà-Berdou,Vatthana Maholy,Valérie Savard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Louis-Hébert/Louis-Hébert"," 1","Québec",33,81,6,1,46,1,168,341
24043,"Louis-Hébert/Louis-Hébert"," 2","Québec",77,46,6,2,34,3,168,459
24043,"Louis-Hébert/Louis-Hébert"," 3","Québec",54,52,3,0,38,1,148,399
24043,"Louis-Hébert/Louis-Hébert"," 4","Québec",43,50,2,1,30,5,131,362
24043,"Louis-Hébert/Louis-Hébert"," 5","Québec",55,67,2,3,39,1,167,372
24043,"Louis-Hébert/Louis-Hébert"," 6","Québec",69,51,9,2,23,3,157,342
24043,"Louis-Hébert/Louis-Hébert"," 7","Québec",33,79,13,3,50,4,182,464
24043,"Louis-Hébert/Louis-Hébert"," 8","Québec",32,79,7,0,43,0,161,423
24043,"Louis-Hébert/Louis-Hébert"," 9","Québec",23,80,7,2,45,1,158,447
24043,"Louis-Hébert/Louis-Hébert"," 10","Québec",19,84,13,0,40,2,158,453
24043,"Louis-Hébert/Louis-Hébert"," 11","Québec",35,98,4,0,37,1,175,414
24043,"Louis-Hébert/Louis-Hébert"," 12","Québec",15,79,8,1,40,1,144,343
24043,"Louis-Hébert/Louis-Hébert"," 13","Québec",27,66,2,1,24,2,122,332
24043,"Louis-Hébert/Louis-Hébert"," 14","Québec",22,96,4,0,32,2,156,375
24043,"Louis-Hébert/Louis-Hébert"," 15","Québec",15,96,2,1,20,0,134,356
24043,"Louis-Hébert/Louis-Hébert"," 16","Québec",28,106,2,0,44,1,181,387
24043,"Louis-Hébert/Louis-Hébert"," 17","Québec",29,69,14,1,41,2,156,418
24043,"Louis-Hébert/Louis-Hébert"," 18","Québec",44,77,10,2,46,3,182,520
24043,"Louis-Hébert/Louis-Hébert"," 19","Québec",21,121,6,0,49,1,198,534
24043,"Louis-Hébert/Louis-Hébert"," 20","Québec",23,60,13,0,40,2,138,410
24043,"Louis-Hébert/Louis-Hébert"," 21","Québec",24,60,10,0,31,2,127,336
24043,"Louis-Hébert/Louis-Hébert"," 22","Québec",24,77,6,1,27,5,140,384
24043,"Louis-Hébert/Louis-Hébert"," 23","Québec",30,88,1,0,30,1,150,379
24043,"Louis-Hébert/Louis-Hébert"," 24","Québec",32,80,4,2,32,1,151,371
24043,"Louis-Hébert/Louis-Hébert"," 25","Québec",19,53,3,1,33,1,110,380
24043,"Louis-Hébert/Louis-Hébert"," 26","Québec",29,100,4,1,47,2,183,381
24043,"Louis-Hébert/Louis-Hébert"," 27","Québec",25,63,5,26,0,4,123,322
24043,"Louis-Hébert/Louis-Hébert"," 28","Québec",20,69,5,0,37,0,131,354
24043,"Louis-Hébert/Louis-Hébert"," 29","Québec",25,83,3,1,30,2,144,389
24043,"Louis-Hébert/Louis-Hébert"," 30","Québec",11,55,6,1,21,1,95,326
