Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Donna Allen,Eddie Cornell,Alex Gagne,Dominic LeBlanc,Josh Shaddick,Nathalie Vautour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 1","Saint-Louis",1,2,3,65,6,59,2,138,398
13002,"Beauséjour/Beauséjour"," 2","Saint-Louis",0,1,4,39,6,49,0,99,381
13002,"Beauséjour/Beauséjour"," 3","Saint-Louis",1,3,1,41,7,42,1,96,337
13002,"Beauséjour/Beauséjour"," 4","Saint-Louis",1,2,2,41,3,39,0,88,318
13002,"Beauséjour/Beauséjour"," 5","Saint-Louis",1,2,1,32,5,51,0,92,323
13002,"Beauséjour/Beauséjour"," 6","Saint-Ignace",1,0,7,60,2,59,0,129,314
13002,"Beauséjour/Beauséjour"," 7","Saint-Ignace",1,2,4,95,7,67,0,176,285
13002,"Beauséjour/Beauséjour"," 8","Petite-Aldouane",0,0,5,58,5,58,0,126,338
13002,"Beauséjour/Beauséjour"," 9","Grande-Aldouane",1,0,4,79,4,57,1,146,392
13002,"Beauséjour/Beauséjour"," 10","Grande-Aldouane",2,1,6,59,5,57,0,130,374
13002,"Beauséjour/Beauséjour"," 11","Richibucto",1,0,0,39,5,39,0,84,332
13002,"Beauséjour/Beauséjour"," 12","Richibucto",0,1,2,59,4,23,0,89,375
13002,"Beauséjour/Beauséjour"," 13","Richibucto",1,2,3,47,6,27,1,87,368
13002,"Beauséjour/Beauséjour"," 14","Saint-Charles",2,2,4,81,2,64,0,155,322
13002,"Beauséjour/Beauséjour"," 15","Saint-Charles",3,4,4,55,8,62,0,136,298
13002,"Beauséjour/Beauséjour"," 16","Rexton",1,0,3,64,7,54,0,129,473
13002,"Beauséjour/Beauséjour"," 17","Rexton",0,0,2,53,4,52,1,112,428
13002,"Beauséjour/Beauséjour"," 18","Upper Rexton",1,0,4,90,2,74,3,174,531
13002,"Beauséjour/Beauséjour"," 19","Richibucto-Village",4,4,8,112,10,101,1,240,430
13002,"Beauséjour/Beauséjour"," 19-1","Indian Island 28",Combined with No./Résultats combinés à ceux du n°19,,,,,,,,68
13002,"Beauséjour/Beauséjour"," 20","Richibucto-Village",1,0,2,80,2,48,0,133,257
13002,"Beauséjour/Beauséjour"," 21","Richibucto-Village",0,2,5,59,4,53,1,124,310
13002,"Beauséjour/Beauséjour"," 22","Caissie-Village",0,7,5,82,4,55,0,153,376
