Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nicolas Godin,Maria Korpijaakko,Mirabelle Leins,Bienvenu-Olivier Ntumba,Patrick Rochon,Noémie Rouillard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 1","Sainte-Julie",44,4,7,47,5,61,3,171,350
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 2","Sainte-Julie",25,3,6,97,3,113,3,250,479
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 3","Sainte-Julie",22,2,7,98,2,124,5,260,494
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 4","Sainte-Julie",19,6,8,88,0,94,0,215,440
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 5","Sainte-Julie",26,1,5,62,0,98,6,198,432
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 6","Sainte-Julie",23,2,8,66,2,91,1,193,407
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 7","Sainte-Julie",29,2,2,58,0,80,2,173,419
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 8","Sainte-Julie",38,4,9,73,2,73,1,200,496
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 9","Sainte-Julie",26,4,5,40,1,76,2,154,351
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 10","Sainte-Julie",31,1,4,60,2,100,3,201,469
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 11","Sainte-Julie",27,1,6,62,0,78,3,177,410
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 12","Sainte-Julie",28,2,10,62,0,83,3,188,425
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 13","Sainte-Julie",22,5,7,52,0,68,4,158,376
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 14","Sainte-Julie",28,1,1,36,1,39,0,106,333
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 15","Sainte-Julie",27,3,1,46,5,76,4,162,435
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 16","Sainte-Julie",31,2,3,158,1,73,3,271,617
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 17","Sainte-Julie",35,2,6,61,3,86,2,195,463
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 18","Sainte-Julie",30,4,4,53,1,68,3,163,374
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 19","Sainte-Julie",22,3,10,97,2,99,3,236,438
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 20","Sainte-Julie",28,1,8,65,0,73,1,176,378
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 21","Sainte-Julie",36,0,3,66,1,69,4,179,381
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 22","Sainte-Julie",28,2,2,42,0,69,1,144,347
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 23","Sainte-Julie",35,3,4,56,0,68,3,169,394
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 24","Sainte-Julie",22,0,1,71,2,74,4,174,405
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 25","Sainte-Julie",11,3,3,73,0,70,3,163,333
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 26","Sainte-Julie",33,4,6,74,0,75,0,192,348
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 27","Sainte-Julie",27,2,0,69,0,90,3,191,377
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 28","Sainte-Julie",31,4,9,72,1,94,2,213,437
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 29","Sainte-Julie",20,3,4,64,6,90,0,187,371
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 30","Sainte-Julie",34,4,7,80,1,78,3,207,400
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 31","Sainte-Julie",25,1,2,58,1,114,4,205,402
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 32","Sainte-Julie",45,3,4,99,0,111,2,264,495
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 33","Sainte-Julie",39,2,5,175,0,91,1,313,539
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 34","Sainte-Julie",33,0,5,106,3,101,5,253,464
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 35","Sainte-Julie",34,3,3,104,0,90,4,238,437
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 36","Sainte-Julie",31,0,9,83,2,74,5,204,394
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 37","Sainte-Julie",30,4,4,106,2,110,2,258,532
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 38","Sainte-Julie",44,0,2,128,1,109,2,286,582
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 39","Sainte-Julie",32,4,4,94,1,69,2,206,497
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 40","Sainte-Julie",22,2,4,68,1,54,3,154,353
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 41","Sainte-Julie",26,2,5,78,2,89,2,204,397
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 42","Sainte-Julie",28,5,3,80,2,75,4,197,459
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 43","Sainte-Julie",40,3,6,90,0,108,2,249,456
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 44","Sainte-Julie",25,2,3,74,0,79,2,185,373
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 45","Sainte-Julie",20,3,4,88,0,75,1,191,392
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 46","Sainte-Julie",26,0,1,82,0,45,1,155,427
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 47","Sainte-Julie",28,2,5,50,3,52,2,142,339
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 48","Sainte-Julie",17,2,1,45,1,56,2,124,371
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 49","Sainte-Julie",21,2,7,60,1,43,1,135,382
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 50","Sainte-Julie",30,1,7,85,2,93,2,220,558
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 51","Sainte-Julie",30,4,3,72,5,65,1,180,389
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 52","Sainte-Julie",13,6,5,63,0,57,2,146,345
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 53","Sainte-Julie",19,1,2,83,0,78,0,183,414
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 54","Sainte-Julie",11,7,2,105,0,66,0,191,426
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 55","Sainte-Julie",14,5,2,93,1,86,3,204,413
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 56","Saint-Basile-le-Grand",28,5,7,78,2,82,1,203,424
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 57","Saint-Basile-le-Grand",47,0,2,67,1,90,4,211,512
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 58","Saint-Basile-le-Grand",25,1,5,77,5,91,0,204,348
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 59","Saint-Basile-le-Grand",34,5,6,141,2,71,1,260,514
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 60","Saint-Basile-le-Grand",33,5,7,91,2,104,3,245,474
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 61","Saint-Basile-le-Grand",34,5,2,123,2,92,4,262,482
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 62","Saint-Basile-le-Grand",42,7,7,82,0,96,1,235,470
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 63","Saint-Basile-le-Grand",37,2,5,45,0,50,1,140,293
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 64","Saint-Bruno-de-Montarville",20,5,9,86,4,39,2,165,334
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 65","Saint-Bruno-de-Montarville",19,2,3,115,0,66,1,206,349
