Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Peter Julian,Indy Panchi,Jake Sawatzky,Tara Shushtarian,Lourence Almonte Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 1","Burnaby",45,62,71,2,0,1,181,512
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 2","Burnaby",67,90,67,2,1,3,230,672
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 3","Burnaby",44,61,77,2,0,1,185,491
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 4","Burnaby",28,78,46,1,1,1,155,454
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 5","Burnaby",62,69,62,3,0,0,196,504
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 6","Burnaby",54,63,67,4,0,1,189,613
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 7","Burnaby",27,46,47,1,0,1,122,353
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 8","Burnaby",36,65,69,0,2,0,172,434
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 9","Burnaby",58,78,67,6,2,2,213,469
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 10","Coquitlam",38,91,66,1,2,4,202,699
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 11","Coquitlam",22,35,39,2,1,0,99,427
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 12","Coquitlam",17,43,42,1,2,1,106,362
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 13","Coquitlam",28,62,57,3,2,0,152,538
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 14","Coquitlam",27,104,66,2,2,0,201,726
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 15","Burnaby",68,69,48,1,0,0,186,557
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 16","Burnaby",39,48,35,1,0,1,124,324
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 17","Burnaby",66,90,54,0,0,0,210,428
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 18","Burnaby",38,63,47,1,0,1,150,420
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 19","Burnaby",34,74,55,1,1,1,166,394
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 20","Burnaby",53,66,62,1,1,0,183,476
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 21","Burnaby",55,74,45,3,3,2,182,502
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 22","Burnaby",34,91,65,2,0,0,192,454
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 23","Burnaby",43,87,75,1,0,0,206,491
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 24","New Westminster",31,46,42,1,1,0,121,390
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 25","New Westminster",49,58,36,3,1,0,147,427
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 26","New Westminster",31,30,23,0,0,0,84,413
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 27","Coquitlam",10,54,48,0,0,0,112,344
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 28","Coquitlam",37,97,56,1,1,0,192,514
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 29","Coquitlam",17,55,23,1,1,0,97,347
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 30","Coquitlam",20,56,34,0,0,0,110,390
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 31","Coquitlam",27,51,44,0,1,0,123,487
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 32","Burnaby",21,57,38,1,0,0,117,480
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 33","Burnaby",28,36,26,1,2,0,93,416
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 34","Burnaby",60,51,52,2,0,0,165,408
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 35","Burnaby",23,42,13,3,0,1,82,465
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 36","Burnaby",34,60,56,0,3,0,153,467
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 37","Burnaby",61,65,64,0,2,0,192,527
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 38","Burnaby",36,38,20,2,0,0,96,387
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 39","Burnaby",41,59,39,3,0,0,142,431
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 40","Burnaby",38,43,16,0,1,0,98,368
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 41","Coquitlam",26,87,59,0,5,0,177,512
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 42","Coquitlam",11,50,34,0,0,0,95,289
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 43","Coquitlam",32,72,74,1,0,3,182,500
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 44","Coquitlam",18,64,49,2,1,0,134,327
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 45","Coquitlam",33,57,48,0,1,0,139,405
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 46","Coquitlam",11,69,45,1,1,1,128,485
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 47","Coquitlam",38,93,73,1,1,3,209,687
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 48","Coquitlam",33,74,92,2,0,1,202,673
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 49","New Westminster",37,55,49,3,4,0,148,366
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 50","New Westminster",81,92,72,1,0,1,247,481
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 51","New Westminster",53,51,42,5,1,0,152,450
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 52","New Westminster",56,42,41,2,0,0,141,553
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 53","New Westminster",37,63,54,2,1,1,158,419
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 54","New Westminster",40,27,50,3,0,0,120,368
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 55","Coquitlam",17,36,38,4,2,0,97,350
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 56","Coquitlam",15,52,32,4,1,0,104,391
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 57","Coquitlam",26,48,54,3,6,0,137,516
59020,"New Westminster--Burnaby--Maillardville/New Westminster--Burnaby--Maillardville"," 58","Coquitlam",30,58,54,7,3,1,153,608
