Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Randall Emmons,Garnett Genuis,Tanya Holm,Mark Horseman,Chris Jones,Jay Sobel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 108","Strathcona County",2,87,74,0,13,3,0,179,423
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 109","Strathcona County",3,148,40,2,6,0,0,199,382
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 110","Strathcona County",2,115,52,0,11,2,1,183,360
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 111","Strathcona County",1,154,54,0,15,1,0,225,434
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 112","Strathcona County",2,78,44,1,8,1,0,134,320
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 113","Strathcona County",1,177,70,1,19,1,0,269,440
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 114","Strathcona County",4,119,64,0,11,2,2,202,386
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 115","Strathcona County",1,132,36,0,12,3,1,185,401
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 116","Strathcona County",0,141,78,2,17,0,1,239,477
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 117","Strathcona County",2,111,68,0,10,1,0,192,448
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 118","Strathcona County",0,114,55,0,14,4,0,187,438
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 119","Strathcona County",1,118,78,0,14,4,0,215,437
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 120","Strathcona County",2,75,41,1,5,0,0,124,306
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 121","Strathcona County",2,90,44,0,8,1,1,146,379
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 122","Strathcona County",0,78,30,0,8,0,0,116,359
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 123A","Strathcona County",0,50,37,0,11,1,0,99,370
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 123B","Strathcona County",0,80,34,1,7,0,0,122,374
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 124","Strathcona County",2,77,42,0,20,0,1,142,320
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 125","Strathcona County",1,96,58,0,9,0,0,164,339
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 126","Strathcona County",2,123,78,0,8,1,0,212,469
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 127","Strathcona County",2,63,47,0,5,1,0,118,287
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 128","Strathcona County",1,142,70,0,16,1,0,230,490
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 129","Strathcona County",2,131,91,0,11,2,0,237,509
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 130","Strathcona County",1,131,90,3,6,2,0,233,437
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 131","Strathcona County",1,108,53,1,12,1,0,176,451
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 132","Strathcona County",1,93,62,0,4,2,0,162,419
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 133","Ardrossan",1,106,30,0,10,1,3,151,462
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 134","Ardrossan",0,58,9,0,4,0,0,71,348
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 135","Ardrossan",0,62,25,0,7,1,0,95,330
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 136","Strathcona County",1,160,65,2,14,4,0,246,599
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 137","Strathcona County",1,112,57,1,9,1,2,183,380
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 138","Strathcona County",0,118,61,1,20,0,0,200,385
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 139","Strathcona County",2,148,75,0,14,0,0,239,469
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 140","Strathcona County",3,112,56,0,12,0,3,186,402
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 141","Strathcona County",0,122,76,0,13,0,0,211,434
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 142","Strathcona County",2,94,42,0,15,0,1,154,299
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 143","Strathcona County",1,109,62,1,12,0,0,185,381
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 144","Strathcona County",0,85,59,0,9,1,0,154,310
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 145","Strathcona County",1,88,45,3,9,1,1,148,364
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 146","Strathcona County",0,126,65,0,9,1,0,201,463
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 147","Strathcona County",4,91,63,0,10,0,0,168,430
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 148","Strathcona County",3,142,53,1,12,0,1,212,424
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 149","Wyeclif",3,246,62,1,8,1,0,321,555
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 150","Strathcona County",4,153,56,0,19,1,1,234,478
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 151","Strathcona County",3,133,59,2,13,4,0,214,438
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 152","Strathcona County",0,153,64,0,10,0,2,229,442
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 153","Strathcona County",3,135,66,0,15,1,1,221,408
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 154","Strathcona County",1,137,58,0,12,5,0,213,485
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 155","Strathcona County",0,136,65,0,3,1,0,205,451
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 156","Strathcona County",0,99,49,0,6,1,1,156,370
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 157","Strathcona County",3,130,75,0,10,1,0,219,491
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 158","Strathcona County",0,90,46,0,5,1,0,142,318
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 159","Strathcona County",1,172,70,0,10,1,0,254,535
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 160","Strathcona County",1,121,58,2,15,1,0,198,448
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 161","Strathcona County",1,114,39,0,17,0,0,171,434
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 162","Strathcona County",0,159,64,0,10,0,0,233,511
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 163","Strathcona County",2,100,51,1,8,1,1,164,476
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 164","Strathcona County",0,105,45,1,12,1,1,165,424
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 165A","Strathcona County",Combined with No./Résultats combinés à ceux du n°166A,,,,,,,,307
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 165B","Strathcona County",Combined with No./Résultats combinés à ceux du n°166B,,,,,,,,233
48035,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan"," 165C","Strathcona County",Combined with No./Résultats combinés à ceux du n°166C,,,,,,,,229
