Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rob Batherson,Lena Metlege Diab,Adam LeRue,Ron G. Parker,Rae Tench,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Halifax West/Halifax-Ouest"," 23","Halifax",44,47,1,0,1,0,93,376
12007,"Halifax West/Halifax-Ouest"," 24","Halifax",56,77,1,0,5,0,139,417
12007,"Halifax West/Halifax-Ouest"," 25","Halifax",47,87,3,0,5,0,142,441
12007,"Halifax West/Halifax-Ouest"," 26","Halifax",45,90,0,1,7,0,143,564
12007,"Halifax West/Halifax-Ouest"," 27","Hammond Plains",64,51,0,1,3,0,119,316
12007,"Halifax West/Halifax-Ouest"," 28","Halifax",54,117,1,1,2,1,176,528
12007,"Halifax West/Halifax-Ouest"," 29","Hammond Plains",33,78,2,2,2,0,117,321
12007,"Halifax West/Halifax-Ouest"," 30","Halifax",41,75,0,0,3,0,119,353
12007,"Halifax West/Halifax-Ouest"," 31","Hammond Plains",55,64,1,3,5,0,128,368
12007,"Halifax West/Halifax-Ouest"," 32","Halifax",17,30,2,1,6,0,56,343
12007,"Halifax West/Halifax-Ouest"," 33","Halifax",22,79,0,2,4,0,107,369
12007,"Halifax West/Halifax-Ouest"," 34","Halifax",19,53,0,0,5,0,77,221
12007,"Halifax West/Halifax-Ouest"," 35","Halifax",57,117,0,2,5,0,181,478
12007,"Halifax West/Halifax-Ouest"," 36","Halifax",22,43,0,1,2,0,68,320
12007,"Halifax West/Halifax-Ouest"," 37","Halifax",13,48,0,0,5,1,67,242
12007,"Halifax West/Halifax-Ouest"," 38","Halifax",44,57,2,0,17,0,120,346
12007,"Halifax West/Halifax-Ouest"," 39","Halifax",42,69,1,3,14,0,129,413
12007,"Halifax West/Halifax-Ouest"," 40","Halifax",43,91,0,2,13,0,149,333
12007,"Halifax West/Halifax-Ouest"," 41","Halifax",36,60,0,3,4,0,103,385
12007,"Halifax West/Halifax-Ouest"," 42","Halifax",39,90,0,2,10,0,141,425
12007,"Halifax West/Halifax-Ouest"," 43","Halifax",37,78,2,0,13,0,130,363
12007,"Halifax West/Halifax-Ouest"," 44","Halifax",27,89,5,2,23,4,150,494
12007,"Halifax West/Halifax-Ouest"," 45","Halifax",26,85,3,0,7,0,121,401
12007,"Halifax West/Halifax-Ouest"," 46","Halifax",33,54,1,0,18,3,109,337
12007,"Halifax West/Halifax-Ouest"," 47","Halifax",22,38,2,3,11,0,76,288
12007,"Halifax West/Halifax-Ouest"," 48","Halifax",30,72,2,2,13,0,119,369
12007,"Halifax West/Halifax-Ouest"," 49","Halifax",17,47,0,2,6,2,74,333
