Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nesrine Benhadj,Martine Boucher,Natilien Joseph,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 1","Longueuil",10,28,42,54,0,134,340
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 2","Longueuil",5,22,58,45,0,130,312
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 3","Longueuil",8,42,54,88,2,194,448
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 4","Longueuil",10,28,104,97,1,240,547
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 5","Longueuil",6,26,80,72,2,186,453
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 6","Longueuil",6,18,71,72,1,168,411
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 7","Longueuil",2,11,34,38,0,85,443
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 8","Longueuil",11,20,72,76,4,183,519
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 9","Longueuil",17,23,56,69,6,171,437
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 10","Longueuil",4,46,40,63,6,159,498
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 11","Longueuil",5,23,44,47,3,122,391
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 12","Longueuil",8,23,82,76,1,190,535
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 13","Longueuil",5,23,59,39,1,127,395
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 14A","Longueuil",3,11,80,48,0,142,365
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 14B","Longueuil",2,10,85,46,0,143,362
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 15","Longueuil",1,24,75,36,0,136,358
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 16A","Longueuil",2,15,40,48,5,110,356
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 16B","Longueuil",3,21,40,36,3,103,349
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 17","Longueuil",10,38,131,65,0,244,506
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 18","Longueuil",4,17,43,28,2,94,334
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 19","Longueuil",8,36,78,55,1,178,387
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 20","Longueuil",4,25,49,60,2,140,374
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 21","Longueuil",12,20,51,66,0,149,364
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 22","Longueuil",17,33,62,59,5,176,456
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 23","Longueuil",4,30,50,60,4,148,428
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 24","Longueuil",14,38,65,58,1,176,479
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 25","Longueuil",13,12,73,79,5,182,415
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 26","Longueuil",16,29,53,74,8,180,423
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 27","Longueuil",16,23,70,91,3,203,402
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 28","Longueuil",9,40,68,86,4,207,441
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 29","Longueuil",12,25,70,78,5,190,452
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 30","Longueuil",19,30,63,107,3,222,479
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 31","Longueuil",6,30,62,95,1,194,396
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 32","Longueuil",11,19,68,52,2,152,344
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 33","Longueuil",13,17,66,56,1,153,379
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 34","Longueuil",12,20,46,79,5,162,407
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 35","Longueuil",9,14,94,67,2,186,390
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 36","Longueuil",17,25,68,79,2,191,453
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 37","Longueuil",13,18,108,86,2,227,516
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 38","Longueuil",8,36,64,72,4,184,487
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 39","Longueuil",9,23,106,80,2,220,436
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 40","Longueuil",5,21,69,36,3,134,287
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 41","Longueuil",8,21,84,40,1,154,336
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 42","Longueuil",6,16,47,53,3,125,418
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 43","Longueuil",11,36,73,60,7,187,418
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 44","Longueuil",7,35,59,69,4,174,465
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 45","Longueuil",2,22,116,93,3,236,554
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 46","Longueuil",2,18,58,61,2,141,357
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 47","Longueuil",8,25,42,50,8,133,377
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 48","Longueuil",6,17,57,68,1,149,403
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 49","Longueuil",18,20,67,121,2,228,470
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 50","Longueuil",11,33,103,89,0,236,493
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 51","Longueuil",7,14,66,61,2,150,360
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 52","Longueuil",15,22,62,60,3,162,315
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 53","Longueuil",8,24,60,76,7,175,383
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 54","Longueuil",17,40,59,128,3,247,480
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 55","Longueuil",8,24,36,37,1,106,345
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 56","Longueuil",10,29,46,40,5,130,354
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 57","Longueuil",8,20,31,40,4,103,361
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 58","Longueuil",8,22,46,50,2,128,356
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 59","Longueuil",7,29,47,40,1,124,387
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 60","Longueuil",4,12,88,84,6,194,266
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 61A","Longueuil",6,20,69,72,4,171,263
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 61B","Longueuil",Combined with No./Résultats combinés à ceux du n°505,,,,,,82
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 62","Longueuil",9,21,87,73,5,195,441
