Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Alex Boykowich,Blake Desjarlais,Kerry Diotte,Michael Hunter,Mary Joyce,Patrick Lennox,Thomas Matty,Brent Tyson,Crystal Vargas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48017,"Edmonton Griesbach/Edmonton Griesbach"," 523","Mobile poll/Bureau itinérant",0,30,53,2,0,26,1,0,0,1,113,44
48017,"Edmonton Griesbach/Edmonton Griesbach"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,,,,38
48017,"Edmonton Griesbach/Edmonton Griesbach"," 525","Mobile poll/Bureau itinérant",2,19,47,4,2,34,2,0,1,1,112,60
48017,"Edmonton Griesbach/Edmonton Griesbach"," 526A","Edmonton",Combined with No./Résultats combinés à ceux du n°145A,,,,,,,,,,,146
48017,"Edmonton Griesbach/Edmonton Griesbach"," 526B","Edmonton",Combined with No./Résultats combinés à ceux du n°145B,,,,,,,,,,,118
48017,"Edmonton Griesbach/Edmonton Griesbach"," 527","Mobile poll/Bureau itinérant",1,27,24,1,3,18,2,0,2,2,80,84
48017,"Edmonton Griesbach/Edmonton Griesbach"," 528","Mobile poll/Bureau itinérant",1,49,33,0,0,36,0,2,1,4,126,145
48017,"Edmonton Griesbach/Edmonton Griesbach"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°531,,,,,,,,,,,31
48017,"Edmonton Griesbach/Edmonton Griesbach"," 530","Edmonton",Combined with No./Résultats combinés à ceux du n°78,,,,,,,,,,,20
48017,"Edmonton Griesbach/Edmonton Griesbach"," 531","Mobile poll/Bureau itinérant",0,6,44,3,0,22,2,0,0,3,80,48
48017,"Edmonton Griesbach/Edmonton Griesbach"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°531,,,,,,,,,,,71
48017,"Edmonton Griesbach/Edmonton Griesbach"," 533","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°528,,,,,,,,,,,65
48017,"Edmonton Griesbach/Edmonton Griesbach"," 600","Edmonton",3,234,536,4,1,250,7,5,4,3,1047,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 601","Edmonton",5,250,609,2,0,250,3,4,2,3,1128,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 602","Edmonton",1,165,320,6,1,90,1,1,1,2,588,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 603","Edmonton",3,331,563,3,1,227,6,2,3,4,1143,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 604","Edmonton",3,795,774,9,1,331,6,7,2,7,1935,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 605","Edmonton",1,289,442,1,2,113,1,0,1,2,852,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 606","Edmonton",5,323,558,3,2,142,2,0,1,5,1041,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 607","Edmonton",1,236,468,3,0,127,4,0,2,3,844,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 608","Edmonton",2,274,527,3,1,96,3,1,3,4,914,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 609","Edmonton",1,316,319,4,1,128,2,0,3,4,778,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 610","Edmonton",5,564,375,7,1,145,9,5,0,6,1117,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 611","Edmonton",3,387,254,6,0,113,9,1,2,3,778,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 612","Edmonton",0,309,177,7,1,142,1,0,0,2,639,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 613","Edmonton",2,420,292,5,0,184,3,0,1,2,909,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 614","Edmonton",1,706,413,4,3,168,8,1,0,7,1311,
48017,"Edmonton Griesbach/Edmonton Griesbach"," 615","Edmonton",0,449,586,9,1,160,7,0,4,11,1227,
48017,"Edmonton Griesbach/Edmonton Griesbach",,Group 1/Groupe 1, 3,378,434,11,4,285,8,2,8,72,1205,309
48017,"Edmonton Griesbach/Edmonton Griesbach",,Group 2/Groupe 2, 3,1156,1090,7,4,471,9,3,3,80,2826,
