Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dennis Bayomi,Doug Eyolfson,Marty Morantz,Avery Selby-Lyons,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg West/Winnipeg-Ouest"," 1","Grosse Isle",0,29,92,4,0,125,179
46014,"Winnipeg West/Winnipeg-Ouest"," 2","Rosser",0,14,44,3,0,61,171
46014,"Winnipeg West/Winnipeg-Ouest"," 3","Rosser",0,36,100,4,0,140,233
46014,"Winnipeg West/Winnipeg-Ouest"," 4","Lilyfield",3,47,107,15,0,172,265
46014,"Winnipeg West/Winnipeg-Ouest"," 5","Winnipeg",2,74,70,8,1,155,527
46014,"Winnipeg West/Winnipeg-Ouest"," 6","Winnipeg",3,101,66,8,1,179,584
46014,"Winnipeg West/Winnipeg-Ouest"," 7","Winnipeg",0,83,82,13,1,179,458
46014,"Winnipeg West/Winnipeg-Ouest"," 8","Winnipeg",0,85,70,11,0,166,495
46014,"Winnipeg West/Winnipeg-Ouest"," 9","Winnipeg",3,78,99,13,0,193,500
46014,"Winnipeg West/Winnipeg-Ouest"," 10","Winnipeg",3,74,81,12,1,171,439
46014,"Winnipeg West/Winnipeg-Ouest"," 11","Winnipeg",2,72,71,5,0,150,522
46014,"Winnipeg West/Winnipeg-Ouest"," 12","Winnipeg",0,82,91,10,0,183,497
46014,"Winnipeg West/Winnipeg-Ouest"," 13","Winnipeg",1,84,79,6,1,171,416
46014,"Winnipeg West/Winnipeg-Ouest"," 14","Winnipeg",1,75,82,10,0,168,433
46014,"Winnipeg West/Winnipeg-Ouest"," 15","Winnipeg",2,62,75,10,0,149,455
46014,"Winnipeg West/Winnipeg-Ouest"," 16","Winnipeg",1,75,47,8,0,131,386
46014,"Winnipeg West/Winnipeg-Ouest"," 17","Winnipeg",1,99,77,15,0,192,475
46014,"Winnipeg West/Winnipeg-Ouest"," 18","Winnipeg",6,102,122,8,0,238,599
46014,"Winnipeg West/Winnipeg-Ouest"," 19","Winnipeg",0,78,73,7,2,160,507
46014,"Winnipeg West/Winnipeg-Ouest"," 20","Winnipeg",2,70,65,2,1,140,387
46014,"Winnipeg West/Winnipeg-Ouest"," 21","Winnipeg",1,59,63,19,2,144,473
46014,"Winnipeg West/Winnipeg-Ouest"," 22","Winnipeg",2,91,66,5,0,164,448
46014,"Winnipeg West/Winnipeg-Ouest"," 23","Winnipeg",0,79,74,12,0,165,499
46014,"Winnipeg West/Winnipeg-Ouest"," 24","Winnipeg",3,89,101,10,1,204,542
46014,"Winnipeg West/Winnipeg-Ouest"," 25","Winnipeg",4,90,87,11,4,196,481
46014,"Winnipeg West/Winnipeg-Ouest"," 26","Winnipeg",6,69,71,10,0,156,532
46014,"Winnipeg West/Winnipeg-Ouest"," 27","Winnipeg",1,106,102,15,2,226,535
46014,"Winnipeg West/Winnipeg-Ouest"," 28","Winnipeg",2,89,97,8,0,196,517
46014,"Winnipeg West/Winnipeg-Ouest"," 29","Winnipeg",5,88,112,16,4,225,535
46014,"Winnipeg West/Winnipeg-Ouest"," 30","Winnipeg",1,81,107,18,1,208,548
46014,"Winnipeg West/Winnipeg-Ouest"," 31","Winnipeg",2,86,85,13,0,186,425
46014,"Winnipeg West/Winnipeg-Ouest"," 32","Winnipeg",1,68,57,10,1,137,407
46014,"Winnipeg West/Winnipeg-Ouest"," 33","Winnipeg",1,49,47,7,0,104,333
46014,"Winnipeg West/Winnipeg-Ouest"," 34","Winnipeg",1,80,58,4,1,144,356
46014,"Winnipeg West/Winnipeg-Ouest"," 35","Winnipeg",2,62,47,13,0,124,507
46014,"Winnipeg West/Winnipeg-Ouest"," 36","Winnipeg",2,104,99,18,0,223,544
46014,"Winnipeg West/Winnipeg-Ouest"," 37","Winnipeg",5,100,76,7,0,188,506
46014,"Winnipeg West/Winnipeg-Ouest"," 38","Winnipeg",2,104,71,7,0,184,472
46014,"Winnipeg West/Winnipeg-Ouest"," 39","Winnipeg",4,120,104,12,0,240,555
46014,"Winnipeg West/Winnipeg-Ouest"," 40","Winnipeg",1,109,69,9,1,189,474
