Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Pam Allen-Leblanc,Dominic Cardy,Brandon Ellis,Nicki Lyons-MacFarlane,Brian Macdonald,Heather Michaud,David Myles,June Patterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 1","McLeod Hill",4,1,1,7,57,1,99,0,0,170,426
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 2","Killarney Road",1,0,0,3,54,2,37,0,2,99,415
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 3","Fredericton",2,1,0,0,23,0,29,0,0,55,263
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 4","Fredericton",3,0,0,5,66,0,81,0,1,156,564
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 5","Fredericton",3,1,0,0,48,0,59,0,0,111,465
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 6","Fredericton",8,0,0,3,59,0,71,0,2,143,558
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 7","Fredericton",5,3,0,4,72,1,98,0,0,183,545
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 8","Fredericton",1,2,0,3,37,2,91,0,1,137,482
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 9","Fredericton",3,0,0,3,40,1,75,0,0,122,475
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 10","Penniac",6,1,0,9,52,1,85,1,0,155,427
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 11","Penniac",2,1,0,2,26,0,50,1,0,82,290
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 12","Devon 30",13,2,0,9,37,0,139,0,0,200,452
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 13A","Devon 30",1,1,0,1,46,1,63,0,0,113,391
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 13B","Mobile poll/Bureau itinérant",2,1,1,3,27,1,29,0,0,64,59
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 13C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°13B,,,,,,,,,,66
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 14","Fredericton",14,1,0,3,50,1,94,2,1,166,606
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 15","Devon 30",8,0,0,5,21,0,90,1,0,125,367
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 16","Fredericton",13,2,0,4,42,0,66,1,0,128,412
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 17","Fredericton",12,1,0,4,59,1,101,1,1,180,582
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 18","Fredericton",12,2,0,10,88,1,98,1,1,213,509
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 19","Fredericton",4,0,0,1,55,2,58,0,0,120,390
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 20","Fredericton",7,1,0,3,58,0,113,1,0,183,528
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 21","Fredericton",5,3,1,1,32,0,48,1,0,91,388
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 22","Fredericton",10,0,0,0,53,3,50,1,0,117,431
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 23","Fredericton",6,0,0,0,47,3,107,0,0,163,541
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 24","Fredericton",5,0,0,4,39,0,71,0,0,119,527
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 25A","Fredericton",13,0,1,8,55,1,88,0,0,166,544
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 25B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,11
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 26","Fredericton",3,3,0,3,43,0,91,3,2,148,546
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 27","Fredericton",3,0,0,1,29,0,70,0,0,103,368
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 28","Fredericton",9,2,0,4,57,2,52,0,1,127,529
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 29","Fredericton",12,0,0,7,43,0,64,0,1,127,451
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 30","Saint Marys",4,0,0,4,88,6,81,0,2,185,433
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 31","Lower St. Marys",5,0,0,3,78,0,59,0,1,146,389
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 32","Fredericton",5,1,0,6,62,4,127,1,3,209,620
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 33","Fredericton",5,1,0,4,45,2,78,0,0,135,411
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 34","Fredericton",7,3,1,2,39,0,64,0,0,116,481
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 35","Fredericton",3,0,0,3,50,1,110,0,0,167,515
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 36","Fredericton",10,0,0,0,61,1,89,2,0,163,451
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 37","Fredericton",3,3,0,3,49,1,74,0,0,133,442
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 38","Fredericton",2,0,0,3,34,0,75,1,2,117,396
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 39","Fredericton",4,1,0,2,45,1,74,0,0,127,444
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 40","Fredericton",3,1,0,1,39,0,63,0,0,107,354
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 41","Fredericton",5,1,0,1,24,0,77,1,0,109,404
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 42","Fredericton",2,1,0,4,45,1,84,0,0,137,393
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 43","Fredericton",12,3,0,7,57,1,100,1,1,182,558
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 44","Fredericton",3,2,0,5,51,0,79,0,1,141,378
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 45","Fredericton",5,0,0,3,59,1,103,1,0,172,551
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 46","Fredericton",7,0,0,5,43,0,77,1,0,133,535
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 47","Fredericton",5,1,0,2,29,1,44,0,1,83,367
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 48","Keswick",10,0,0,5,76,0,86,0,0,177,368
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 49","Douglas",4,0,1,5,89,0,92,0,1,192,371
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 50","Douglas",3,1,0,2,85,1,116,0,2,210,414
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 51","Fredericton",3,3,0,1,51,2,73,0,0,133,443
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 52","Fredericton",6,0,0,2,40,0,57,0,0,105,382
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 53","Fredericton",4,1,0,1,84,2,84,1,0,177,457
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 54","Fredericton",4,1,0,0,62,0,95,0,0,162,429
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 55","Fredericton",5,0,0,2,27,0,84,0,0,118,551
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 56","Fredericton",9,3,0,6,21,0,115,1,0,155,549
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 57","Fredericton",9,0,0,2,19,2,74,0,0,106,373
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 58","Fredericton",11,2,1,8,28,1,143,2,0,196,552
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 59","Saint Marys",7,0,0,4,66,0,75,0,1,153,530
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 60","Fredericton",4,2,0,4,68,2,80,1,0,161,362
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 61","Fredericton",3,1,2,4,54,1,41,0,0,106,286
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 62","Fredericton",15,3,0,5,78,0,125,0,0,226,666
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 63","Fredericton",3,0,0,1,73,1,63,0,2,143,416
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 64","Fredericton",12,2,0,8,30,0,138,0,0,190,559
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 65","Fredericton",6,0,0,3,23,0,92,0,0,124,433
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 66","Fredericton",4,0,0,2,26,1,101,3,0,137,504
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 67","Fredericton",4,1,1,1,20,0,123,0,0,150,393
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 68","Fredericton",4,1,0,2,26,2,80,0,0,115,363
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 69A","Fredericton",1,1,0,1,35,0,92,0,1,131,375
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 69B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,,22
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 70","Fredericton",7,4,0,4,60,0,128,0,1,204,675
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 71","Fredericton",5,0,2,5,50,0,113,0,0,175,556
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 72","Fredericton",7,1,0,10,71,2,128,0,0,219,577
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 73","Fredericton",13,1,0,3,28,2,111,3,0,161,473
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 74","Fredericton",2,0,0,1,26,0,78,0,0,107,440
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 75","Fredericton",9,4,2,1,25,2,95,1,1,140,483
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 76","Fredericton",4,0,0,1,31,0,89,3,0,128,456
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 77","Fredericton",3,1,0,3,37,1,93,1,1,140,439
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 78","Fredericton",1,2,0,3,39,1,91,0,0,137,439
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 79","Fredericton",5,0,0,0,25,1,86,0,1,118,414
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 80","Fredericton",6,0,0,5,18,0,44,0,0,73,284
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 81","Fredericton",10,0,0,3,24,0,85,0,2,124,400
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 82","Fredericton",7,0,0,0,22,2,71,1,0,103,400
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 83","Fredericton",2,0,0,1,27,0,77,1,1,109,407
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 84","Fredericton",8,1,0,3,25,0,83,0,0,120,357
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 85","Fredericton",6,1,0,5,26,0,77,0,0,115,391
