Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Liz Clayton,Terry Hayward,Andrew Douglas Maxwell,Dan Mazier,Jim Oliver,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Riding Mountain/Mont-Riding"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,11
46007,"Riding Mountain/Mont-Riding"," 507","Mobile poll/Bureau itinérant",1,7,8,20,1,3,40,13
46007,"Riding Mountain/Mont-Riding"," 508","Mobile poll/Bureau itinérant",2,1,3,9,1,0,16,6
46007,"Riding Mountain/Mont-Riding"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,6
46007,"Riding Mountain/Mont-Riding"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,14
46007,"Riding Mountain/Mont-Riding"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,10
46007,"Riding Mountain/Mont-Riding"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,5
46007,"Riding Mountain/Mont-Riding"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,9
46007,"Riding Mountain/Mont-Riding"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,8
46007,"Riding Mountain/Mont-Riding"," 515","Mobile poll/Bureau itinérant",2,7,1,8,2,1,21,19
46007,"Riding Mountain/Mont-Riding"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,5
46007,"Riding Mountain/Mont-Riding"," 517","Mobile poll/Bureau itinérant",2,7,9,18,1,3,40,65
46007,"Riding Mountain/Mont-Riding"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,20
46007,"Riding Mountain/Mont-Riding"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,19
46007,"Riding Mountain/Mont-Riding"," 520","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 521","Mobile poll/Bureau itinérant",1,9,10,21,1,1,43,25
46007,"Riding Mountain/Mont-Riding"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,11
