Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Liz Clayton,Terry Hayward,Andrew Douglas Maxwell,Dan Mazier,Jim Oliver,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Riding Mountain/Mont-Riding"," 46","Grandview",3,17,6,78,2,2,108,270
46007,"Riding Mountain/Mont-Riding"," 47","Grandview",1,27,13,69,0,2,112,273
46007,"Riding Mountain/Mont-Riding"," 48","Grandview",3,24,12,96,3,0,138,335
46007,"Riding Mountain/Mont-Riding"," 49","Grandview",1,22,14,90,0,0,127,279
46007,"Riding Mountain/Mont-Riding"," 50","Gilbert Plains",0,15,2,99,2,0,118,228
46007,"Riding Mountain/Mont-Riding"," 51","Gilbert Plains",1,25,8,92,3,0,129,225
46007,"Riding Mountain/Mont-Riding"," 52","Gilbert Plains",1,45,19,101,0,0,166,311
46007,"Riding Mountain/Mont-Riding"," 53","Ashville",0,9,12,125,3,1,150,259
46007,"Riding Mountain/Mont-Riding"," 54","Ste. Rose",2,16,8,86,7,0,119,249
46007,"Riding Mountain/Mont-Riding"," 55","Ste. Rose du Lac",3,34,6,89,6,0,138,359
46007,"Riding Mountain/Mont-Riding"," 56","Ste. Rose du Lac",2,41,9,92,1,2,147,387
46007,"Riding Mountain/Mont-Riding"," 57","Dauphin",1,15,8,147,1,1,173,402
46007,"Riding Mountain/Mont-Riding"," 58","Dauphin",1,25,20,75,0,0,121,362
46007,"Riding Mountain/Mont-Riding"," 59","Dauphin",2,43,4,76,1,0,126,389
46007,"Riding Mountain/Mont-Riding"," 60","Dauphin",3,36,10,74,1,0,124,420
46007,"Riding Mountain/Mont-Riding"," 61","Dauphin",1,30,6,69,5,0,111,379
46007,"Riding Mountain/Mont-Riding"," 62","Dauphin",1,36,10,71,0,1,119,381
46007,"Riding Mountain/Mont-Riding"," 63","Dauphin",1,26,15,71,0,0,113,347
46007,"Riding Mountain/Mont-Riding"," 64","Dauphin",2,43,17,46,1,1,110,338
46007,"Riding Mountain/Mont-Riding"," 65","Dauphin",2,29,11,44,0,0,86,324
46007,"Riding Mountain/Mont-Riding"," 66","Dauphin",2,41,14,52,1,0,110,371
46007,"Riding Mountain/Mont-Riding"," 67","Dauphin",2,28,11,66,0,0,107,347
46007,"Riding Mountain/Mont-Riding"," 68","Dauphin",0,32,11,61,2,0,106,331
46007,"Riding Mountain/Mont-Riding"," 69","Dauphin",0,25,8,36,1,2,72,320
46007,"Riding Mountain/Mont-Riding"," 70","Dauphin",2,28,11,46,0,0,87,356
46007,"Riding Mountain/Mont-Riding"," 71","Dauphin",0,38,13,52,0,0,103,337
46007,"Riding Mountain/Mont-Riding"," 72","Dauphin",1,27,14,58,0,0,100,339
46007,"Riding Mountain/Mont-Riding"," 73","Dauphin",2,21,13,59,1,0,96,358
46007,"Riding Mountain/Mont-Riding"," 74","Dauphin",2,30,4,91,0,0,127,339
46007,"Riding Mountain/Mont-Riding"," 75","Spruce Bluff",1,21,7,123,0,1,153,359
46007,"Riding Mountain/Mont-Riding"," 76","Dauphin",0,24,7,123,2,1,157,394
46007,"Riding Mountain/Mont-Riding"," 77","Shellmouth--Boulton",6,28,13,136,4,0,187,276
46007,"Riding Mountain/Mont-Riding"," 78","Shellmouth",2,11,10,110,0,2,135,282
46007,"Riding Mountain/Mont-Riding"," 79","Eddystone",0,28,5,63,3,0,99,272
46007,"Riding Mountain/Mont-Riding"," 80","Ochre Beach",0,53,11,143,2,1,210,399
46007,"Riding Mountain/Mont-Riding"," 81","Makinak",1,22,11,156,3,0,193,314
46007,"Riding Mountain/Mont-Riding"," 82","Ebb and Flow 52",3,103,10,5,0,1,122,476
46007,"Riding Mountain/Mont-Riding"," 83","Ebb and Flow 52",2,123,6,4,0,1,136,440
46007,"Riding Mountain/Mont-Riding"," 84","Russell-Binscarth",1,28,4,88,1,0,122,359
46007,"Riding Mountain/Mont-Riding"," 85","Russell-Binscarth",2,25,7,126,1,0,161,412
46007,"Riding Mountain/Mont-Riding"," 86","Russell",1,6,3,115,0,0,125,305
46007,"Riding Mountain/Mont-Riding"," 87","Russell-Binscarth",1,39,4,93,0,1,138,325
46007,"Riding Mountain/Mont-Riding"," 88","Laurier",1,41,28,126,4,3,203,349
46007,"Riding Mountain/Mont-Riding"," 89","Angusville",0,18,4,129,3,0,154,278
46007,"Riding Mountain/Mont-Riding"," 90","Rossburn",1,13,9,120,1,0,144,369
46007,"Riding Mountain/Mont-Riding"," 91","Rossburn",1,28,8,127,0,0,164,423
46007,"Riding Mountain/Mont-Riding"," 92","Sandy Lake",5,81,19,171,4,3,283,427
46007,"Riding Mountain/Mont-Riding"," 93A","Waywayseecappo First Nation",Combined with No./Résultats combinés à ceux du n°94A,,,,,,,46
46007,"Riding Mountain/Mont-Riding"," 93B","Waywayseecappo First Nation",Combined with No./Résultats combinés à ceux du n°94B,,,,,,,34
46007,"Riding Mountain/Mont-Riding"," 94A","Waywayseecappo First Nation",4,51,30,11,0,1,97,309
46007,"Riding Mountain/Mont-Riding"," 94B","Waywayseecappo First Nation",3,68,20,7,2,1,101,355
46007,"Riding Mountain/Mont-Riding"," 95","Onanole--Wasagaming",8,123,10,125,4,0,270,403
46007,"Riding Mountain/Mont-Riding"," 96","Onanole",11,78,16,160,3,3,271,416
46007,"Riding Mountain/Mont-Riding"," 97","Alonsa",2,55,15,134,1,0,207,356
46007,"Riding Mountain/Mont-Riding"," 98","Binscarth",0,21,6,157,3,0,187,308
46007,"Riding Mountain/Mont-Riding"," 99","Russell-Binscarth",1,7,1,105,1,0,115,169
46007,"Riding Mountain/Mont-Riding"," 99-1","Gambler 63",0,2,3,18,0,0,23,43
46007,"Riding Mountain/Mont-Riding"," 100","McCreary",5,20,10,105,4,0,144,375
46007,"Riding Mountain/Mont-Riding"," 101","McCreary",2,25,3,118,6,0,154,299
46007,"Riding Mountain/Mont-Riding"," 102","Oakburn",1,35,1,136,1,1,175,274
46007,"Riding Mountain/Mont-Riding"," 103","Foxwarren",0,16,5,120,5,1,147,256
46007,"Riding Mountain/Mont-Riding"," 104","Kelwood",2,11,6,92,6,1,118,234
46007,"Riding Mountain/Mont-Riding"," 105","St-Lazare",0,33,8,203,4,3,251,364
46007,"Riding Mountain/Mont-Riding"," 106","Elphinstone",1,36,7,3,0,0,47,136
46007,"Riding Mountain/Mont-Riding"," 106-1","Keeseekoowenin 61",1,9,5,22,0,0,37,206
46007,"Riding Mountain/Mont-Riding"," 107","Amaranth",0,16,6,84,2,0,108,290
46007,"Riding Mountain/Mont-Riding"," 108","Riding Mountain",1,15,2,102,6,2,128,237
46007,"Riding Mountain/Mont-Riding"," 109","Glenella",6,16,6,122,5,1,156,253
46007,"Riding Mountain/Mont-Riding"," 110","Erickson",9,57,18,99,1,1,185,396
46007,"Riding Mountain/Mont-Riding"," 111","Clanwilliam-Erickson",5,80,15,112,2,0,214,364
46007,"Riding Mountain/Mont-Riding"," 112","Solsgirth",5,17,7,108,4,0,141,310
46007,"Riding Mountain/Mont-Riding"," 113","Birtle",4,30,7,135,2,0,178,365
46007,"Riding Mountain/Mont-Riding"," 114","Shoal Lake",5,17,8,122,1,0,153,356
46007,"Riding Mountain/Mont-Riding"," 115","Shoal Lake",4,36,19,101,0,0,160,369
46007,"Riding Mountain/Mont-Riding"," 116","Rolling River 67",2,52,25,13,0,1,93,234
46007,"Riding Mountain/Mont-Riding"," 117","Strathclair",4,42,7,202,3,1,259,402
46007,"Riding Mountain/Mont-Riding"," 118","Sandy Bay 5",2,99,52,6,1,1,161,904
46007,"Riding Mountain/Mont-Riding"," 119","Sandy Bay 5",Combined with No./Résultats combinés à ceux du n°118,,,,,,,383
46007,"Riding Mountain/Mont-Riding"," 120","Sandy Bay 5",Combined with No./Résultats combinés à ceux du n°118,,,,,,,330
46007,"Riding Mountain/Mont-Riding"," 121","Birdtail Creek 57",1,41,6,5,1,0,54,119
46007,"Riding Mountain/Mont-Riding"," 122","Birnie",2,4,2,95,2,0,105,289
46007,"Riding Mountain/Mont-Riding"," 123","Eden",3,27,10,122,1,0,163,339
46007,"Riding Mountain/Mont-Riding"," 124","Newdale",8,29,6,136,2,0,181,355
46007,"Riding Mountain/Mont-Riding"," 125","Plumas",1,24,7,195,3,0,230,345
46007,"Riding Mountain/Mont-Riding"," 126","McAuley",0,12,2,141,3,0,158,223
46007,"Riding Mountain/Mont-Riding"," 127","Langruth",1,28,7,92,3,0,131,219
46007,"Riding Mountain/Mont-Riding"," 128","Miniota",2,26,10,163,2,0,203,389
46007,"Riding Mountain/Mont-Riding"," 129","Miniota",0,19,6,139,4,1,169,280
46007,"Riding Mountain/Mont-Riding"," 130","Hamiota",3,23,5,116,2,0,149,275
46007,"Riding Mountain/Mont-Riding"," 131","Hamiota",3,23,13,110,2,0,151,327
46007,"Riding Mountain/Mont-Riding"," 132","Hamiota",0,20,12,90,1,1,124,288
