Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andrew Di Lullo,Kevin Goswell,Nouman Mian,Ryan Turnbull,Steve Yamada,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35116,"Whitby/Whitby"," 1","Whitby",1,4,2,102,120,1,230,558
35116,"Whitby/Whitby"," 2","Whitby",2,4,1,93,66,3,169,415
35116,"Whitby/Whitby"," 3","Whitby",3,5,2,133,135,1,279,594
35116,"Whitby/Whitby"," 4","Whitby",0,13,2,109,107,0,231,591
35116,"Whitby/Whitby"," 5","Whitby",0,5,0,51,48,0,104,347
35116,"Whitby/Whitby"," 6","Whitby",0,5,2,108,53,2,170,380
35116,"Whitby/Whitby"," 7","Whitby",1,8,6,104,86,1,206,341
35116,"Whitby/Whitby"," 8A","Whitby",3,3,2,104,60,5,177,170
35116,"Whitby/Whitby"," 8B","Whitby",Combined with No./Résultats combinés à ceux du n°7,,,,,,,203
35116,"Whitby/Whitby"," 9","Whitby",0,2,0,70,79,1,152,395
35116,"Whitby/Whitby"," 10","Whitby",1,4,0,72,78,1,156,414
35116,"Whitby/Whitby"," 11","Whitby",1,5,3,94,72,0,175,397
35116,"Whitby/Whitby"," 12","Whitby",3,12,0,127,84,0,226,456
35116,"Whitby/Whitby"," 13","Whitby",0,14,0,90,95,2,201,449
35116,"Whitby/Whitby"," 14","Whitby",0,1,0,57,73,0,131,370
35116,"Whitby/Whitby"," 15A","Whitby",0,3,0,97,96,10,206,546
35116,"Whitby/Whitby"," 15B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,101
35116,"Whitby/Whitby"," 16","Whitby",3,1,1,102,84,2,193,448
35116,"Whitby/Whitby"," 17","Whitby",1,5,0,146,114,3,269,540
35116,"Whitby/Whitby"," 18","Whitby",5,6,0,137,113,1,262,571
35116,"Whitby/Whitby"," 19","Whitby",1,3,1,150,120,0,275,600
35116,"Whitby/Whitby"," 20","Whitby",1,7,0,101,83,0,192,408
35116,"Whitby/Whitby"," 21","Whitby",1,3,0,92,84,0,180,449
35116,"Whitby/Whitby"," 22","Whitby",2,5,0,100,110,2,219,481
35116,"Whitby/Whitby"," 23","Whitby",2,2,0,87,96,0,187,502
35116,"Whitby/Whitby"," 24","Whitby",1,5,1,60,45,0,112,336
35116,"Whitby/Whitby"," 25","Whitby",2,4,0,66,81,0,153,396
35116,"Whitby/Whitby"," 26","Whitby",2,7,0,49,62,1,121,422
35116,"Whitby/Whitby"," 27","Whitby",0,2,1,82,72,1,158,319
35116,"Whitby/Whitby"," 28","Whitby",0,6,3,85,96,0,190,384
35116,"Whitby/Whitby"," 29","Whitby",3,4,1,72,73,0,153,460
35116,"Whitby/Whitby"," 30","Whitby",0,3,1,50,49,0,103,247
