Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Adam Frank,Anthony Housefather,Diane Johnston,Yegor Komarov,Neil Oberman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Mount Royal/Mont-Royal"," 1","Mont-Royal",12,51,0,5,33,0,101,345
24048,"Mount Royal/Mont-Royal"," 2","Mont-Royal",8,60,0,0,50,0,118,359
24048,"Mount Royal/Mont-Royal"," 3","Mont-Royal",14,73,2,7,30,6,132,358
24048,"Mount Royal/Mont-Royal"," 4","Mont-Royal",13,94,1,24,33,0,165,423
24048,"Mount Royal/Mont-Royal"," 5","Mont-Royal",8,57,2,2,48,1,118,334
24048,"Mount Royal/Mont-Royal"," 6","Mont-Royal",8,68,1,2,48,3,130,335
24048,"Mount Royal/Mont-Royal"," 7","Mont-Royal",9,84,0,17,51,1,162,349
24048,"Mount Royal/Mont-Royal"," 8","Mont-Royal",16,77,1,15,34,5,148,411
24048,"Mount Royal/Mont-Royal"," 9","Mont-Royal",14,119,1,37,43,3,217,419
24048,"Mount Royal/Mont-Royal"," 10","Mont-Royal",5,103,1,23,26,0,158,344
24048,"Mount Royal/Mont-Royal"," 11","Mont-Royal",15,52,1,6,26,2,102,422
24048,"Mount Royal/Mont-Royal"," 12","Mont-Royal",9,115,0,16,62,2,204,500
24048,"Mount Royal/Mont-Royal"," 13","Mont-Royal",11,73,1,10,32,0,127,353
24048,"Mount Royal/Mont-Royal"," 14","Mont-Royal",10,50,1,9,38,3,111,340
24048,"Mount Royal/Mont-Royal"," 15","Mont-Royal",13,69,2,16,31,5,136,358
24048,"Mount Royal/Mont-Royal"," 16","Mont-Royal",4,87,2,23,42,0,158,413
24048,"Mount Royal/Mont-Royal"," 17","Mont-Royal",17,101,0,17,22,1,158,405
24048,"Mount Royal/Mont-Royal"," 18","Mont-Royal",4,59,0,10,58,0,131,406
24048,"Mount Royal/Mont-Royal"," 19","Mont-Royal",21,115,0,33,28,4,201,437
24048,"Mount Royal/Mont-Royal"," 20","Montréal",12,107,3,22,43,4,191,489
24048,"Mount Royal/Mont-Royal"," 21","Montréal",7,91,0,23,29,2,152,459
24048,"Mount Royal/Mont-Royal"," 22","Montréal",11,69,0,6,35,2,123,378
24048,"Mount Royal/Mont-Royal"," 23","Mont-Royal",12,80,1,10,48,2,153,473
24048,"Mount Royal/Mont-Royal"," 24","Mont-Royal",16,75,1,18,55,6,171,453
24048,"Mount Royal/Mont-Royal"," 25","Mont-Royal",10,53,0,0,32,1,96,322
24048,"Mount Royal/Mont-Royal"," 26","Mont-Royal",8,69,0,3,52,1,133,349
24048,"Mount Royal/Mont-Royal"," 27","Mont-Royal",14,96,1,26,40,0,177,459
24048,"Mount Royal/Mont-Royal"," 28","Mont-Royal",14,86,1,20,43,3,167,393
24048,"Mount Royal/Mont-Royal"," 29","Mont-Royal",10,74,0,9,44,1,138,377
24048,"Mount Royal/Mont-Royal"," 30","Mont-Royal",8,111,1,14,29,3,166,380
24048,"Mount Royal/Mont-Royal"," 31","Mont-Royal",12,83,1,12,25,2,135,353
24048,"Mount Royal/Mont-Royal"," 32","Mont-Royal",4,82,0,0,38,2,126,362
