Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jason A. E. Henry,Chris Lewis,Chris Sutton,Lori Wightman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Essex/Essex"," 1","Lakeshore",2,135,68,9,0,214,363
35028,"Essex/Essex"," 2","Lakeshore",2,115,69,11,2,199,357
35028,"Essex/Essex"," 3","Lakeshore",1,100,62,9,3,175,443
35028,"Essex/Essex"," 4","Lakeshore",2,120,58,14,1,195,429
35028,"Essex/Essex"," 5","Lakeshore",8,178,70,21,0,277,465
35028,"Essex/Essex"," 6","Lakeshore",4,116,46,4,1,171,440
35028,"Essex/Essex"," 7","Lakeshore",4,112,43,15,2,176,427
35028,"Essex/Essex"," 8","Lakeshore",1,118,51,4,0,174,477
35028,"Essex/Essex"," 9","Lakeshore",3,92,75,12,0,182,396
35028,"Essex/Essex"," 10","Lakeshore",1,149,56,14,1,221,539
35028,"Essex/Essex"," 11","Lakeshore",2,136,63,5,1,207,469
35028,"Essex/Essex"," 12","Lakeshore",4,130,54,5,4,197,511
35028,"Essex/Essex"," 13","Lakeshore",2,66,50,5,1,124,333
35028,"Essex/Essex"," 14","Lakeshore",2,94,47,10,0,153,451
35028,"Essex/Essex"," 15","Lakeshore",0,93,29,5,5,132,369
35028,"Essex/Essex"," 16","Lakeshore",4,86,44,10,0,144,382
35028,"Essex/Essex"," 17","Lakeshore",3,74,39,8,0,124,415
35028,"Essex/Essex"," 18","Lakeshore",0,73,41,4,1,119,327
35028,"Essex/Essex"," 19","Lakeshore",3,71,38,6,0,118,423
35028,"Essex/Essex"," 20","Lakeshore",1,60,47,4,0,112,335
35028,"Essex/Essex"," 21","Lakeshore",1,114,49,7,0,171,496
35028,"Essex/Essex"," 22","Lakeshore",4,124,69,6,2,205,452
35028,"Essex/Essex"," 23","Lakeshore",6,125,27,9,3,170,431
35028,"Essex/Essex"," 24","Lakeshore",1,145,68,10,1,225,446
35028,"Essex/Essex"," 25","Lakeshore",1,140,69,7,1,218,456
35028,"Essex/Essex"," 26","Lakeshore",4,128,54,12,1,199,446
35028,"Essex/Essex"," 27","Lakeshore",2,111,38,15,3,169,398
35028,"Essex/Essex"," 28","Lakeshore",0,103,51,15,0,169,456
35028,"Essex/Essex"," 29","Lakeshore",3,97,45,8,1,154,392
35028,"Essex/Essex"," 30","Lakeshore",2,102,70,4,1,179,495
35028,"Essex/Essex"," 31","Lakeshore",2,120,62,8,3,195,494
35028,"Essex/Essex"," 32","Lakeshore",3,85,37,4,0,129,326
35028,"Essex/Essex"," 33","Lakeshore",2,118,47,6,0,173,427
35028,"Essex/Essex"," 34","Lakeshore",0,96,51,4,0,151,462
35028,"Essex/Essex"," 35","Lakeshore",3,88,74,6,0,171,427
35028,"Essex/Essex"," 36","Lakeshore",0,89,48,1,3,141,423
35028,"Essex/Essex"," 37","Lakeshore",2,87,70,7,2,168,479
35028,"Essex/Essex"," 38","Lakeshore",3,93,40,7,2,145,470
35028,"Essex/Essex"," 39","Lakeshore",5,136,63,8,0,212,527
35028,"Essex/Essex"," 40","Lakeshore",1,85,48,11,6,151,429
35028,"Essex/Essex"," 41","Lakeshore",2,76,47,9,1,135,494
35028,"Essex/Essex"," 42","Lakeshore",2,154,86,15,0,257,619
35028,"Essex/Essex"," 43","Lakeshore",5,168,94,11,3,281,663
35028,"Essex/Essex"," 44","Lakeshore",0,38,23,1,0,62,152
35028,"Essex/Essex"," 45","Lakeshore",1,65,32,1,1,100,365
35028,"Essex/Essex"," 46","Lakeshore",2,111,57,4,1,175,431
35028,"Essex/Essex"," 47","Lakeshore",1,151,59,10,0,221,442
35028,"Essex/Essex"," 48","Lakeshore",2,112,44,9,0,167,421
35028,"Essex/Essex"," 49","Lakeshore",4,97,42,8,1,152,462
35028,"Essex/Essex"," 50","Lakeshore",9,88,41,5,1,144,336
35028,"Essex/Essex"," 51","Lakeshore",1,132,30,11,0,174,446
35028,"Essex/Essex"," 52","LaSalle",0,65,44,5,1,115,285
35028,"Essex/Essex"," 53","LaSalle",6,93,100,9,0,208,582
35028,"Essex/Essex"," 54","LaSalle",3,76,54,4,3,140,486
35028,"Essex/Essex"," 55","LaSalle",5,133,94,5,0,237,578
35028,"Essex/Essex"," 56","LaSalle",2,81,61,8,0,152,492
35028,"Essex/Essex"," 57","Lakeshore",1,132,60,10,0,203,438
35028,"Essex/Essex"," 58","Lakeshore",0,83,46,7,0,136,341
35028,"Essex/Essex"," 59","Lakeshore",0,83,25,7,3,118,431
35028,"Essex/Essex"," 60","Lakeshore",1,110,56,2,0,169,360
35028,"Essex/Essex"," 61","Lakeshore",2,100,23,10,0,135,381
35028,"Essex/Essex"," 62","Lakeshore",4,111,32,9,0,156,460
35028,"Essex/Essex"," 63","Lakeshore",1,106,38,5,0,150,320
35028,"Essex/Essex"," 64","LaSalle",1,56,61,3,2,123,378
35028,"Essex/Essex"," 65","LaSalle",2,46,37,0,0,85,290
35028,"Essex/Essex"," 66","LaSalle",2,67,60,4,2,135,482
35028,"Essex/Essex"," 67","LaSalle",0,64,33,8,2,107,339
35028,"Essex/Essex"," 68","LaSalle",5,81,49,6,1,142,364
35028,"Essex/Essex"," 69","LaSalle",1,56,74,5,0,136,415
35028,"Essex/Essex"," 70","LaSalle",2,91,79,13,1,186,433
35028,"Essex/Essex"," 71","LaSalle",2,118,98,14,2,234,536
35028,"Essex/Essex"," 72","LaSalle",4,116,84,5,0,209,521
35028,"Essex/Essex"," 73","LaSalle",3,118,99,9,0,229,516
35028,"Essex/Essex"," 74","LaSalle",3,81,64,9,2,159,389
35028,"Essex/Essex"," 75","Lakeshore",1,113,45,19,0,178,448
35028,"Essex/Essex"," 76","Lakeshore",1,252,69,17,3,342,604
35028,"Essex/Essex"," 77","Lakeshore",2,105,47,10,2,166,429
35028,"Essex/Essex"," 78","LaSalle",0,54,62,9,0,125,355
35028,"Essex/Essex"," 79","LaSalle",0,151,97,19,0,267,638
35028,"Essex/Essex"," 80","LaSalle",1,127,74,9,1,212,560
35028,"Essex/Essex"," 81","LaSalle",4,106,96,10,1,217,573
35028,"Essex/Essex"," 82","LaSalle",0,146,83,2,1,232,561
35028,"Essex/Essex"," 83","LaSalle",2,105,67,14,0,188,502
35028,"Essex/Essex"," 84","LaSalle",1,105,61,17,0,184,436
35028,"Essex/Essex"," 85","LaSalle",1,121,92,8,1,223,595
35028,"Essex/Essex"," 86","LaSalle",1,98,73,12,0,184,557
35028,"Essex/Essex"," 87","LaSalle",1,94,54,5,1,155,436
35028,"Essex/Essex"," 88","LaSalle",2,118,58,11,0,189,461
35028,"Essex/Essex"," 89","LaSalle",4,133,99,21,0,257,553
35028,"Essex/Essex"," 90","LaSalle",4,109,99,8,0,220,517
35028,"Essex/Essex"," 91","LaSalle",2,89,65,2,1,159,382
35028,"Essex/Essex"," 92","LaSalle",1,76,82,12,0,171,410
35028,"Essex/Essex"," 93","LaSalle",0,84,82,6,0,172,469
35028,"Essex/Essex"," 94","LaSalle",3,135,71,16,2,227,500
35028,"Essex/Essex"," 95","LaSalle",1,142,128,9,1,281,595
35028,"Essex/Essex"," 96","LaSalle",2,126,94,5,3,230,472
35028,"Essex/Essex"," 97","LaSalle",0,100,108,16,4,228,547
35028,"Essex/Essex"," 98","LaSalle",1,148,98,10,1,258,537
35028,"Essex/Essex"," 99","LaSalle",0,75,70,10,1,156,605
