Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mathieu Boisvert,Ruth Fontaine,Barbara Joannette,Dave Pouliot,Jacques Ramsay,Alain Therrien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24032,"La Prairie--Atateken/La Prairie--Atateken"," 29","La Prairie",8,2,1,35,47,45,5,143,365
24032,"La Prairie--Atateken/La Prairie--Atateken"," 30","La Prairie",0,2,0,27,107,43,3,182,443
24032,"La Prairie--Atateken/La Prairie--Atateken"," 31","Candiac",4,2,5,42,71,45,2,171,495
24032,"La Prairie--Atateken/La Prairie--Atateken"," 32","La Prairie",3,1,1,20,60,40,0,125,347
24032,"La Prairie--Atateken/La Prairie--Atateken"," 33","La Prairie",6,0,3,39,90,62,4,204,456
24032,"La Prairie--Atateken/La Prairie--Atateken"," 34","La Prairie",5,1,1,26,65,56,6,160,378
24032,"La Prairie--Atateken/La Prairie--Atateken"," 35","La Prairie",7,0,1,27,95,58,4,192,438
24032,"La Prairie--Atateken/La Prairie--Atateken"," 36","La Prairie",1,0,1,35,75,86,0,198,367
24032,"La Prairie--Atateken/La Prairie--Atateken"," 37","La Prairie",3,1,1,44,81,36,2,168,371
24032,"La Prairie--Atateken/La Prairie--Atateken"," 38","La Prairie",3,1,4,25,100,52,3,188,396
24032,"La Prairie--Atateken/La Prairie--Atateken"," 39","La Prairie",3,2,0,26,38,46,0,115,258
24032,"La Prairie--Atateken/La Prairie--Atateken"," 40","La Prairie",7,2,2,39,157,81,5,293,603
24032,"La Prairie--Atateken/La Prairie--Atateken"," 41","La Prairie",3,0,4,20,80,52,0,159,383
24032,"La Prairie--Atateken/La Prairie--Atateken"," 42","La Prairie",6,3,1,35,142,64,3,254,596
24032,"La Prairie--Atateken/La Prairie--Atateken"," 43","La Prairie",6,1,1,49,108,50,1,216,581
24032,"La Prairie--Atateken/La Prairie--Atateken"," 44","La Prairie",7,5,2,32,116,46,0,208,465
24032,"La Prairie--Atateken/La Prairie--Atateken"," 45","La Prairie",3,1,1,28,160,66,0,259,561
24032,"La Prairie--Atateken/La Prairie--Atateken"," 46","La Prairie",4,0,3,48,100,52,0,207,509
24032,"La Prairie--Atateken/La Prairie--Atateken"," 47","Saint-Philippe",4,1,2,66,92,83,2,250,632
24032,"La Prairie--Atateken/La Prairie--Atateken"," 48","Saint-Philippe",3,2,4,50,64,70,5,198,363
24032,"La Prairie--Atateken/La Prairie--Atateken"," 49","Saint-Philippe",2,0,3,44,82,56,4,191,556
24032,"La Prairie--Atateken/La Prairie--Atateken"," 50","Sainte-Catherine",2,2,3,47,85,94,1,234,608
24032,"La Prairie--Atateken/La Prairie--Atateken"," 51","Sainte-Catherine",6,1,7,42,71,100,0,227,513
24032,"La Prairie--Atateken/La Prairie--Atateken"," 52","Sainte-Catherine",4,1,3,27,50,115,0,200,461
24032,"La Prairie--Atateken/La Prairie--Atateken"," 53","Sainte-Catherine",2,0,1,49,76,56,0,184,439
24032,"La Prairie--Atateken/La Prairie--Atateken"," 54","Sainte-Catherine",8,0,2,56,88,106,3,263,552
24032,"La Prairie--Atateken/La Prairie--Atateken"," 55","Sainte-Catherine",4,2,2,31,83,85,3,210,472
24032,"La Prairie--Atateken/La Prairie--Atateken"," 56","Sainte-Catherine",5,2,7,45,61,99,3,222,507
24032,"La Prairie--Atateken/La Prairie--Atateken"," 57","Sainte-Catherine",2,4,1,38,59,64,0,168,422
24032,"La Prairie--Atateken/La Prairie--Atateken"," 58","Sainte-Catherine",4,3,1,43,56,82,5,194,457
24032,"La Prairie--Atateken/La Prairie--Atateken"," 59","Sainte-Catherine",2,0,3,29,71,72,2,179,401
