Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amarjeet Gill,Khawaja Amir Hassan,Zaigham Javed,Sameera Khan,Kamal Khera,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Brampton West/Brampton-Ouest"," 1","Brampton",157,0,3,2,108,2,272,598
35014,"Brampton West/Brampton-Ouest"," 2","Brampton",140,0,11,1,138,6,296,587
35014,"Brampton West/Brampton-Ouest"," 3","Brampton",136,1,3,3,170,2,315,591
35014,"Brampton West/Brampton-Ouest"," 4","Brampton",153,1,3,3,120,5,285,616
35014,"Brampton West/Brampton-Ouest"," 5","Brampton",147,1,6,2,153,1,310,601
35014,"Brampton West/Brampton-Ouest"," 6","Brampton",131,0,4,0,110,3,248,584
35014,"Brampton West/Brampton-Ouest"," 7","Brampton",146,1,11,4,133,2,297,604
35014,"Brampton West/Brampton-Ouest"," 8","Brampton",122,3,8,3,145,4,285,603
35014,"Brampton West/Brampton-Ouest"," 9","Brampton",110,1,3,0,125,2,241,590
35014,"Brampton West/Brampton-Ouest"," 10","Brampton",107,0,3,4,128,7,249,578
35014,"Brampton West/Brampton-Ouest"," 11","Brampton",108,0,1,0,105,0,214,589
35014,"Brampton West/Brampton-Ouest"," 12A","Brampton",61,0,1,2,65,2,131,322
35014,"Brampton West/Brampton-Ouest"," 12B","Brampton",72,1,6,1,49,1,130,317
35014,"Brampton West/Brampton-Ouest"," 13","Brampton",111,1,3,1,118,0,234,569
35014,"Brampton West/Brampton-Ouest"," 14","Brampton",143,0,6,3,105,1,258,627
35014,"Brampton West/Brampton-Ouest"," 15","Brampton",107,1,6,1,113,1,229,581
35014,"Brampton West/Brampton-Ouest"," 16","Brampton",93,1,6,0,90,2,192,586
35014,"Brampton West/Brampton-Ouest"," 17","Brampton",91,0,3,3,103,0,200,548
35014,"Brampton West/Brampton-Ouest"," 18","Brampton",97,1,3,1,83,0,185,526
35014,"Brampton West/Brampton-Ouest"," 19","Brampton",119,1,8,2,110,0,240,539
35014,"Brampton West/Brampton-Ouest"," 20","Brampton",97,1,5,2,89,0,194,543
35014,"Brampton West/Brampton-Ouest"," 21","Brampton",139,1,1,1,93,2,237,581
35014,"Brampton West/Brampton-Ouest"," 22","Brampton",117,1,7,2,100,6,233,506
35014,"Brampton West/Brampton-Ouest"," 23","Brampton",124,0,5,3,103,3,238,549
35014,"Brampton West/Brampton-Ouest"," 24","Brampton",90,1,3,0,50,1,145,397
35014,"Brampton West/Brampton-Ouest"," 25","Brampton",123,1,4,0,58,1,187,484
35014,"Brampton West/Brampton-Ouest"," 26","Brampton",83,1,7,3,108,1,203,568
35014,"Brampton West/Brampton-Ouest"," 27","Brampton",150,0,2,2,111,1,266,516
35014,"Brampton West/Brampton-Ouest"," 28","Brampton",100,0,2,1,70,0,173,399
35014,"Brampton West/Brampton-Ouest"," 29A","Brampton",55,0,2,0,38,0,95,298
35014,"Brampton West/Brampton-Ouest"," 29B","Brampton",67,0,3,0,50,0,120,341
35014,"Brampton West/Brampton-Ouest"," 30","Brampton",106,0,3,2,95,1,207,575
35014,"Brampton West/Brampton-Ouest"," 31A","Brampton",77,0,3,0,60,3,143,396
35014,"Brampton West/Brampton-Ouest"," 31B","Brampton",87,1,3,0,53,5,149,439
35014,"Brampton West/Brampton-Ouest"," 32","Brampton",119,1,3,1,96,1,221,601
35014,"Brampton West/Brampton-Ouest"," 33","Brampton",127,0,3,4,121,3,258,557
35014,"Brampton West/Brampton-Ouest"," 34","Brampton",115,1,4,3,92,0,215,565
35014,"Brampton West/Brampton-Ouest"," 35","Brampton",97,0,6,2,78,1,184,559
35014,"Brampton West/Brampton-Ouest"," 36","Brampton",68,0,1,2,100,2,173,617
35014,"Brampton West/Brampton-Ouest"," 37","Brampton",73,0,2,2,76,2,155,607
35014,"Brampton West/Brampton-Ouest"," 38","Brampton",80,0,6,0,77,1,164,597
35014,"Brampton West/Brampton-Ouest"," 39","Brampton",114,0,2,1,83,0,200,554
35014,"Brampton West/Brampton-Ouest"," 40","Brampton",82,1,2,1,86,0,172,595
35014,"Brampton West/Brampton-Ouest"," 41","Brampton",104,0,1,1,85,1,192,539
35014,"Brampton West/Brampton-Ouest"," 42","Brampton",102,1,1,2,80,1,187,553
35014,"Brampton West/Brampton-Ouest"," 43","Brampton",83,0,4,2,82,0,171,534
35014,"Brampton West/Brampton-Ouest"," 44","Brampton",98,0,8,1,79,3,189,553
35014,"Brampton West/Brampton-Ouest"," 45","Brampton",103,0,0,2,89,0,194,615
35014,"Brampton West/Brampton-Ouest"," 46","Brampton",82,0,5,1,92,0,180,643
