Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jocelyn Dionne,Marshall Dunn,Serge Landry,Ginette Petitpas Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13007,"Moncton--Dieppe/Moncton--Dieppe"," 1","Moncton",63,3,2,49,2,119,396
13007,"Moncton--Dieppe/Moncton--Dieppe"," 2","Moncton",40,0,3,52,1,96,493
13007,"Moncton--Dieppe/Moncton--Dieppe"," 3","Moncton",29,1,5,28,0,63,468
13007,"Moncton--Dieppe/Moncton--Dieppe"," 4","Moncton",53,4,2,60,1,120,511
13007,"Moncton--Dieppe/Moncton--Dieppe"," 5","Moncton",38,3,4,43,1,89,414
13007,"Moncton--Dieppe/Moncton--Dieppe"," 6","Dieppe",63,3,7,85,0,158,538
13007,"Moncton--Dieppe/Moncton--Dieppe"," 7","Moncton",54,1,2,84,0,141,691
13007,"Moncton--Dieppe/Moncton--Dieppe"," 8","Moncton",56,4,6,88,0,154,549
13007,"Moncton--Dieppe/Moncton--Dieppe"," 9","Moncton",78,5,6,82,0,171,559
13007,"Moncton--Dieppe/Moncton--Dieppe"," 10","Moncton",63,5,5,92,1,166,611
13007,"Moncton--Dieppe/Moncton--Dieppe"," 11","Moncton",53,2,8,89,2,154,479
13007,"Moncton--Dieppe/Moncton--Dieppe"," 12","Moncton",40,0,11,80,1,132,508
13007,"Moncton--Dieppe/Moncton--Dieppe"," 13","Moncton",62,4,8,79,0,153,452
13007,"Moncton--Dieppe/Moncton--Dieppe"," 14","Moncton",76,3,6,112,0,197,470
13007,"Moncton--Dieppe/Moncton--Dieppe"," 15","Moncton",55,3,5,77,0,140,565
13007,"Moncton--Dieppe/Moncton--Dieppe"," 16","Moncton",49,2,3,64,1,119,444
13007,"Moncton--Dieppe/Moncton--Dieppe"," 17","Moncton",44,3,7,48,0,102,460
13007,"Moncton--Dieppe/Moncton--Dieppe"," 18","Moncton",33,4,3,55,0,95,386
13007,"Moncton--Dieppe/Moncton--Dieppe"," 19","Moncton",36,6,7,79,1,129,448
13007,"Moncton--Dieppe/Moncton--Dieppe"," 20","Moncton",30,2,0,71,1,104,495
13007,"Moncton--Dieppe/Moncton--Dieppe"," 21","Moncton",42,5,8,52,2,109,343
13007,"Moncton--Dieppe/Moncton--Dieppe"," 22","Moncton",65,3,6,75,3,152,481
13007,"Moncton--Dieppe/Moncton--Dieppe"," 23","Moncton",45,5,10,49,0,109,485
13007,"Moncton--Dieppe/Moncton--Dieppe"," 24","Dieppe",42,1,10,54,3,110,431
13007,"Moncton--Dieppe/Moncton--Dieppe"," 25","Dieppe",29,4,4,117,1,155,498
13007,"Moncton--Dieppe/Moncton--Dieppe"," 26","Dieppe",13,2,2,65,0,82,340
13007,"Moncton--Dieppe/Moncton--Dieppe"," 27","Dieppe",25,1,9,71,1,107,408
13007,"Moncton--Dieppe/Moncton--Dieppe"," 28","Dieppe",33,6,2,51,3,95,441
13007,"Moncton--Dieppe/Moncton--Dieppe"," 29","Dieppe",27,2,6,65,0,100,541
13007,"Moncton--Dieppe/Moncton--Dieppe"," 30","Moncton",61,2,5,81,0,149,506
13007,"Moncton--Dieppe/Moncton--Dieppe"," 31","Moncton",41,3,2,83,0,129,448
13007,"Moncton--Dieppe/Moncton--Dieppe"," 32","Moncton",39,1,4,50,2,96,398
13007,"Moncton--Dieppe/Moncton--Dieppe"," 33","Moncton",47,3,2,88,2,142,498
13007,"Moncton--Dieppe/Moncton--Dieppe"," 34","Moncton",32,4,7,63,0,106,433
13007,"Moncton--Dieppe/Moncton--Dieppe"," 35","Moncton",69,7,8,70,1,155,600
13007,"Moncton--Dieppe/Moncton--Dieppe"," 36","Moncton",41,2,8,52,1,104,460
13007,"Moncton--Dieppe/Moncton--Dieppe"," 37","Moncton",27,3,13,48,1,92,389
13007,"Moncton--Dieppe/Moncton--Dieppe"," 38","Moncton",73,5,3,63,0,144,336
13007,"Moncton--Dieppe/Moncton--Dieppe"," 39","Moncton",46,1,0,50,1,98,242
13007,"Moncton--Dieppe/Moncton--Dieppe"," 40","Moncton",101,2,8,115,1,227,457
13007,"Moncton--Dieppe/Moncton--Dieppe"," 41","Moncton",48,7,2,75,1,133,378
13007,"Moncton--Dieppe/Moncton--Dieppe"," 42","Moncton",53,1,4,55,0,113,495
13007,"Moncton--Dieppe/Moncton--Dieppe"," 43","Moncton",62,6,3,88,0,159,508
13007,"Moncton--Dieppe/Moncton--Dieppe"," 44","Moncton",56,3,4,56,0,119,448
