Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gregory De Luca,Hector Huerta,William Huynh-Jan,Alexandra Mendès,Zeinab Mistou Akkaoui,Soledad Orihuela-Bouchard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 1","Saint-Lambert",5,2,18,46,5,32,3,111,455
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 2","Saint-Lambert",1,1,7,63,3,35,1,111,344
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 3","Saint-Lambert",5,1,31,110,8,30,0,185,556
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 4","Saint-Lambert",4,1,30,92,9,50,0,186,504
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 5","Saint-Lambert",2,2,15,90,11,26,1,147,390
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 6","Saint-Lambert",4,0,17,80,9,43,1,154,369
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 7","Saint-Lambert",4,0,32,122,7,21,0,186,528
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 8","Saint-Lambert",3,0,20,116,9,50,2,200,554
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 9","Saint-Lambert",7,1,24,81,6,46,1,166,478
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 10","Saint-Lambert",5,0,14,112,10,55,1,197,428
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 11","Saint-Lambert",4,1,14,111,9,31,3,173,387
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 12","Saint-Lambert",0,0,20,109,4,28,0,161,377
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 13","Saint-Lambert",5,0,8,115,9,37,2,176,332
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 14","Saint-Lambert",6,0,14,104,4,34,0,162,368
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 15","Saint-Lambert",6,0,10,101,4,40,1,162,437
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 16","Saint-Lambert",4,0,11,95,7,43,3,163,403
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 17","Saint-Lambert",1,0,12,93,8,24,3,141,382
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 18","Saint-Lambert",3,2,14,79,7,41,1,147,435
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 19","Saint-Lambert",0,2,13,81,6,39,5,146,488
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 20","Saint-Lambert",0,0,4,78,3,28,1,114,378
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 21A","Saint-Lambert",3,0,2,54,2,12,0,73,236
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 21B","Saint-Lambert",Combined with No./Résultats combinés à ceux du n°400,,,,,,,,127
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 22","Saint-Lambert",2,0,19,112,2,27,0,162,377
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 23","Saint-Lambert",2,0,17,114,6,15,2,156,368
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 24","Saint-Lambert",2,0,22,103,7,23,1,158,408
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 25","Saint-Lambert",4,0,27,102,7,28,0,168,383
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 26","Saint-Lambert",3,0,17,121,4,40,0,185,443
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 27","Saint-Lambert",6,0,19,126,2,31,1,185,466
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 28","Saint-Lambert",6,1,18,136,6,34,1,202,509
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 29","Saint-Lambert",3,2,33,70,10,13,2,133,394
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 30","Saint-Lambert",1,2,22,99,5,34,0,163,440
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 31","Saint-Lambert",2,3,32,82,7,21,0,147,397
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 32","Saint-Lambert",2,1,16,90,1,20,1,131,493
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 33","Brossard",9,0,35,74,14,25,3,160,480
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 34","Brossard",1,2,36,59,8,27,3,136,345
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 35","Brossard",1,0,28,69,8,27,2,135,347
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 36","Brossard",2,3,37,109,14,28,5,198,468
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 37","Saint-Lambert",2,0,17,100,7,39,0,165,484
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 38","Saint-Lambert",7,0,23,88,5,30,0,153,427
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 39","Saint-Lambert",7,0,15,66,4,16,2,110,299
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 40","Saint-Lambert",2,0,10,70,3,21,1,107,424
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 41","Saint-Lambert",7,0,13,78,4,31,2,135,389
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 42","Saint-Lambert",4,2,22,74,5,28,4,139,435
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 43","Saint-Lambert",1,0,29,88,5,23,2,148,480
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 44","Saint-Lambert",2,5,22,103,1,23,1,157,380
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 45","Saint-Lambert",4,2,13,125,26,9,2,181,453
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 46","Brossard",1,2,35,72,6,26,6,148,372
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 47","Brossard",7,2,69,83,14,38,3,216,484
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 48","Brossard",0,5,37,54,2,16,2,116,328
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 49","Brossard",5,0,16,52,5,19,3,100,343
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 50","Brossard",3,3,24,55,12,16,4,117,344
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 51","Brossard",0,3,17,64,5,7,1,97,313
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 52","Brossard",2,2,40,91,9,14,2,160,439
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 53","Brossard",1,1,42,92,18,12,0,166,380
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 54","Brossard",6,0,38,71,8,29,2,154,337
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 55","Brossard",1,5,43,95,6,26,1,177,490
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 56","Brossard",2,3,39,102,11,28,1,186,410
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 57","Brossard",1,1,46,81,15,10,0,154,436
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 58","Brossard",6,1,52,66,5,28,3,161,439
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 59","Brossard",1,0,27,89,4,22,4,147,465
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 60","Brossard",0,5,16,50,1,11,4,87,386
