Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Paul Lambert,Nash Milani,Zoe Royer,Roland Verrier,Bonita Zarrillo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 1","Anmore",117,4,69,1,19,1,211,498
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 2","Anmore",126,3,76,0,17,0,222,442
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 3","Anmore",96,2,108,0,31,1,238,481
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 4","Anmore",100,2,71,0,21,0,194,419
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 5","Belcarra",111,1,62,1,26,1,202,385
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 6A","Port Moody",47,2,40,0,14,1,104,230
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 6B","Port Moody",Combined with No./Résultats combinés à ceux du n°22,,,,,,,74
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 7A","Coquitlam",Combined with No./Résultats combinés à ceux du n°13,,,,,,,178
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 7B","Coquitlam",Combined with No./Résultats combinés à ceux du n°43,,,,,,,2
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 8","Coquitlam",67,6,54,1,15,3,146,440
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 9","Coquitlam",87,2,63,0,5,3,160,593
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 10","Coquitlam",62,0,47,1,13,0,123,354
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 11","Coquitlam",59,2,55,0,8,3,127,375
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 12","Coquitlam",73,2,43,0,8,0,126,408
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 13","Coquitlam",57,4,72,1,13,0,147,332
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 14","Coquitlam",63,0,69,0,14,1,147,535
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 15","Coquitlam",57,1,73,2,18,3,154,473
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 16A","Port Moody",88,0,58,0,7,0,153,387
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 16B","Port Moody",50,0,42,1,8,0,101,259
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 17","Port Moody",96,1,98,0,10,1,206,548
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 18","Port Moody",76,0,105,0,27,0,208,460
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 19","Port Moody",101,1,101,0,17,1,221,538
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 20","Port Moody",92,1,100,0,16,0,209,450
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 21","Port Moody",105,1,65,2,13,0,186,523
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 22","Port Moody",74,1,86,0,19,1,181,420
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 23","Port Moody",64,3,69,0,17,0,153,396
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 24","Port Moody",62,0,65,0,16,1,144,412
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 25","Port Moody",68,3,43,0,27,0,141,362
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 26","Port Moody",51,2,55,1,17,0,126,397
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 27","Port Moody",34,3,78,0,14,0,129,498
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 28","Port Moody",54,1,59,0,10,1,125,403
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 29","Port Moody",77,0,78,1,14,0,170,444
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 30A","Port Moody",52,1,76,0,16,1,146,441
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 30B","Port Moody",Combined with No./Résultats combinés à ceux du n°27,,,,,,,16
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 31","Port Moody",72,4,56,0,13,2,147,414
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 32","Port Moody",43,1,43,0,19,1,107,343
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 33","Port Moody",75,2,67,0,14,0,158,424
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 34A","Port Moody",59,1,39,0,13,1,113,227
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 34B","Port Moody",55,3,58,0,31,1,148,296
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 35","Port Moody",83,0,78,0,43,0,204,503
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 36","Port Moody",81,2,56,0,36,0,175,444
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 37","Port Moody",94,1,108,0,31,0,234,487
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 38","Port Moody",53,1,64,0,16,0,134,322
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 39","Port Moody",49,1,98,1,40,2,191,455
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 40","Port Moody",88,4,86,1,41,0,220,533
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 41","Port Moody",64,2,79,0,21,0,166,363
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 42","Port Moody",62,10,60,0,41,1,174,395
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 43","Coquitlam",82,0,85,0,10,0,177,488
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 44","Coquitlam",73,0,62,0,6,0,141,410
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 45","Coquitlam",72,1,51,0,6,0,130,374
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 46","Coquitlam",66,1,55,0,12,1,135,390
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 47","Coquitlam",88,2,73,0,22,1,186,486
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 48","Port Moody",55,1,72,0,23,0,151,597
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 49","Port Moody",122,2,75,0,35,2,236,545
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 50","Port Moody",44,2,60,2,40,0,148,449
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 51","Port Moody",82,4,65,0,39,2,192,593
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 52A","Port Moody",87,1,49,0,26,1,164,527
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 52B","Port Moody",Combined with No./Résultats combinés à ceux du n°50,,,,,,,56
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 53","Port Moody",76,1,76,0,8,2,163,505
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 54A","Port Moody",66,1,92,0,39,1,199,520
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 54B","Port Moody",Combined with No./Résultats combinés à ceux du n°63,,,,,,,20
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 55","Port Moody",56,0,64,1,15,0,136,407
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 56","Port Moody",43,1,55,0,19,1,119,413
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 57","Coquitlam",69,3,67,0,23,1,163,434
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 58","Coquitlam",68,2,69,1,25,3,168,261
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 59A","Coquitlam",94,2,97,0,30,0,223,570
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 59B","Coquitlam",Combined with No./Résultats combinés à ceux du n°58,,,,,,,172
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 60","Coquitlam",47,3,36,1,15,0,102,372
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 61","Coquitlam",86,1,67,2,26,0,182,349
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 62","Coquitlam",101,1,62,0,26,0,190,541
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 63","Coquitlam",33,0,31,0,4,0,68,379
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 64","Coquitlam",45,0,53,0,15,1,114,387
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 65","Coquitlam",36,2,48,0,5,1,92,359
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 66","Coquitlam",59,2,44,0,11,1,117,374
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 67A","Coquitlam",45,5,59,0,12,0,121,420
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 67B","Coquitlam",Combined with No./Résultats combinés à ceux du n°66,,,,,,,83
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 68","Port Moody",50,2,68,0,12,0,132,399
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 69","Port Moody",45,1,59,0,28,0,133,369
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 70","Port Moody",60,2,50,0,31,0,143,454
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 71","Port Moody",40,1,68,1,28,0,138,475
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 72","Port Moody",42,1,51,0,16,1,111,343
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 73","Coquitlam",55,0,58,0,9,2,124,351
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 74","Coquitlam",57,0,35,0,7,0,99,362
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 75","Coquitlam",47,0,36,0,5,1,89,332
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 76","Coquitlam",41,1,49,0,16,0,107,469
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 77","Coquitlam",50,1,47,1,11,1,111,406
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 78","Port Moody",43,0,66,0,19,0,128,505
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 79","Port Moody",36,0,38,1,14,1,90,507
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 80","Port Moody",35,0,38,0,12,0,85,397
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 81","Port Moody",49,4,71,1,26,2,153,390
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 82","Port Moody",30,1,53,0,30,1,115,333
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 83A","Coquitlam",91,4,70,0,36,1,202,400
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 83B","Coquitlam",Combined with No./Résultats combinés à ceux du n°84A,,,,,,,107
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 84A","Coquitlam",98,1,77,3,37,3,219,457
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 84B","Coquitlam",Combined with No./Résultats combinés à ceux du n°83A,,,,,,,127
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 85","Coquitlam",72,0,57,0,22,0,151,573
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 86","Coquitlam",77,2,55,0,8,3,145,417
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 87","Coquitlam",53,0,30,0,13,0,96,353
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 88","Coquitlam",57,2,31,0,25,0,115,339
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 89","Port Moody",61,0,77,0,29,1,168,548
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 90","Port Moody",67,2,62,0,29,3,163,334
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 91","Port Moody",45,1,40,0,6,0,92,408
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 92","Port Moody",53,0,44,0,10,1,108,375
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 93A","Port Moody",59,1,51,0,16,1,128,512
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 93B","Port Moody",72,3,79,1,33,0,188,311
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 94","Coquitlam",95,3,61,0,24,0,183,643
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 95","Coquitlam",77,1,57,0,24,0,159,526
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 96","Coquitlam",82,2,49,0,15,1,149,535
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 97A","Coquitlam",71,3,64,1,37,0,176,622
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 97B","Coquitlam",Combined with No./Résultats combinés à ceux du n°115B,,,,,,,152
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 98","Coquitlam",59,1,50,1,17,1,129,426
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 99","Coquitlam",91,4,90,0,25,1,211,594
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 100","Coquitlam",50,3,55,1,17,1,127,346
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 101","Coquitlam",89,2,60,0,24,1,176,423
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 102","Coquitlam",58,1,47,2,21,1,130,468
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 103","Port Moody",43,0,96,1,28,0,168,389
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 104","Port Moody",40,0,101,0,21,0,162,373
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 105A","Port Moody",53,1,68,1,16,0,139,310
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 105B","Port Moody",80,2,74,0,26,0,182,511
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 106","Port Moody",62,2,66,0,40,0,170,516
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 107","Port Moody",91,1,89,0,39,3,223,632
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 108","Port Moody",57,0,72,0,26,2,157,539
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 109A","Coquitlam",Combined with No./Résultats combinés à ceux du n°143,,,,,,,94
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 109B","Coquitlam",Combined with No./Résultats combinés à ceux du n°93B,,,,,,,263
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 110","Coquitlam",66,0,74,1,24,0,165,504
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 111","Coquitlam",52,1,74,0,25,0,152,566
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 112","Coquitlam",72,2,60,0,15,1,150,358
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 113","Coquitlam",84,1,31,0,15,3,134,359
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 114A","Coquitlam",53,3,67,1,17,1,142,429
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 114B","Coquitlam",Combined with No./Résultats combinés à ceux du n°61,,,,,,,195
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 115A","Coquitlam",62,2,74,0,17,0,155,464
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 115B","Coquitlam",79,2,59,0,35,0,175,435
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 116","Coquitlam",76,2,60,1,17,1,157,453
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 117","Coquitlam",70,2,70,0,28,0,170,480
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 118","Coquitlam",87,0,72,0,31,0,190,558
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 119","Coquitlam",73,0,48,0,13,0,134,397
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 120","Coquitlam",47,0,42,0,20,1,110,343
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 121","Coquitlam",62,0,42,0,7,4,115,348
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 122","Coquitlam",68,1,50,1,20,0,140,444
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 123","Coquitlam",44,0,26,0,24,0,94,362
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 124","Coquitlam",43,0,37,0,20,0,100,390
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 125A","Coquitlam",65,2,51,0,10,2,130,464
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 125B","Coquitlam",Combined with No./Résultats combinés à ceux du n°139,,,,,,,19
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 126","Coquitlam",45,1,31,0,21,1,99,486
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 127","Coquitlam",46,0,33,0,5,0,84,407
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 128","Coquitlam",64,1,45,0,8,0,118,378
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 129","Coquitlam",76,2,51,0,47,3,179,525
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 130","Coquitlam",36,3,42,0,18,0,99,322
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 131","Coquitlam",75,1,42,1,13,1,133,443
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 132","Coquitlam",45,2,72,0,17,0,136,456
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 133","Coquitlam",62,1,55,0,19,0,137,408
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 134","Coquitlam",65,0,45,0,18,0,128,401
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 135","Coquitlam",64,2,55,1,17,1,140,501
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 136","Coquitlam",99,2,68,0,24,2,195,497
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 137","Coquitlam",102,1,41,1,30,1,176,459
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 138","Coquitlam",84,4,52,0,24,1,165,447
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 139","Coquitlam",79,1,83,2,41,0,206,491
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 140","Coquitlam",80,7,59,1,52,0,199,543
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 141","Coquitlam",76,2,70,1,46,1,196,522
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 142","Coquitlam",85,1,90,0,39,1,216,551
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 143","Coquitlam",58,0,54,1,22,1,136,362
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 144","Coquitlam",68,2,73,1,24,0,168,480
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 145","Coquitlam",53,1,72,0,29,2,157,490
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 146","Coquitlam",59,0,54,0,20,0,133,433
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 147","Coquitlam",80,1,37,0,17,0,135,489
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 148","Coquitlam",91,1,77,1,35,1,206,495
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 149","Coquitlam",74,2,46,1,19,0,142,514
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 150","Coquitlam",50,2,64,0,45,2,163,437
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 151","Coquitlam",52,1,52,0,22,3,130,397
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 152","Coquitlam",69,2,61,0,23,2,157,430
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 153","Coquitlam",55,2,40,2,26,0,125,387
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 154","Coquitlam",83,0,47,0,18,1,149,467
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 155","Coquitlam",56,2,61,0,22,1,142,466
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 156","Coquitlam",72,0,79,0,32,0,183,430
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 157","Coquitlam",59,1,81,0,25,1,167,505
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 158","Coquitlam",60,1,56,1,19,1,138,439
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 159","Coquitlam",65,2,55,0,36,1,159,448
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 160","Coquitlam",64,2,53,2,29,2,152,509
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 161","Coquitlam",55,4,33,1,22,3,118,457
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 162","Coquitlam",59,4,47,0,24,2,136,507
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 163","Coquitlam",60,1,49,0,16,0,126,478
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 164","Coquitlam",77,0,47,1,19,0,144,501
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 165","Coquitlam",54,1,36,0,19,1,111,433
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 166","Coquitlam",52,0,74,0,17,0,143,420
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 167","Coquitlam",75,0,53,2,18,0,148,491
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 168","Coquitlam",68,2,70,0,23,0,163,454
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 169","Coquitlam",54,2,54,0,19,2,131,413
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 170","Coquitlam",90,2,87,0,27,0,206,540
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 171","Coquitlam",93,0,83,0,19,2,197,471
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 172","Coquitlam",101,2,62,0,25,1,191,491
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 173","Coquitlam",82,1,55,0,21,0,159,436
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 174","Coquitlam",75,0,77,0,19,0,171,421
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 175","Coquitlam",73,1,66,2,36,0,178,417
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 176","Coquitlam",66,2,68,0,33,0,169,434
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 177","Coquitlam",65,1,61,0,8,0,135,489
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 178","Coquitlam",71,0,48,0,6,0,125,352
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 179","Coquitlam",60,1,36,0,19,1,117,450
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 180","Coquitlam",48,2,51,0,19,2,122,492
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 181","Coquitlam",48,3,54,0,35,0,140,489
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 182","Coquitlam",67,1,54,0,30,4,156,442
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 183","Coquitlam",50,4,32,0,21,0,107,363
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 184","Coquitlam",55,0,44,0,38,0,137,520
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 185","Coquitlam",95,3,81,0,35,1,215,536
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 186","Coquitlam",95,1,71,0,46,2,215,524
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 187","Coquitlam",38,0,45,2,18,1,104,369
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 188","Coquitlam",95,0,115,0,42,2,254,560
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 189","Coquitlam",53,0,45,0,21,2,121,359
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 190","Coquitlam",67,1,57,0,22,0,147,463
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 191","Coquitlam",54,1,60,1,17,0,133,552
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 191-1","Coquitlam 1",Combined with No./Résultats combinés à ceux du n°183,,,,,,,39
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 400","Coquitlam",57,3,62,0,10,2,134,261
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 401","Coquitlam",Combined with No./Résultats combinés à ceux du n°400,,,,,,,204
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 500","Port Moody",Combined with No./Résultats combinés à ceux du n°56,,,,,,,43
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,29
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 502","Mobile poll/Bureau itinérant",34,3,67,0,24,6,134,137
