Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mel Arnold,John Michael Henry,Phaedra Idzan,Owen Madden,Ken Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 1","Donald",98,3,7,6,55,14,183,549
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 2","Golden",59,1,5,1,37,1,104,345
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 3","Golden",56,2,7,0,63,0,128,374
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 4","Golden",75,1,15,5,57,0,153,451
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 5","Golden",49,0,15,5,71,0,140,449
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 6","Golden",57,1,8,8,73,1,148,416
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 7","Golden",54,1,10,7,91,0,163,482
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 8","Golden",80,3,18,5,41,0,147,373
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 9","Nicholson",96,4,15,5,48,0,168,521
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 10","Anglemont--Magna Bay",83,2,8,2,59,0,154,449
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 11","Anglemont",116,1,9,4,58,2,190,480
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 12A","Malakwa",78,1,1,9,31,0,120,340
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 12B","Malakwa",29,0,6,3,24,0,62,101
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 13","Malakwa",113,5,9,5,46,0,178,401
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 14","Lee Creek",Combined with No./Résultats combinés à ceux du n°17,,,,,,,33
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 15","Lee Creek",91,1,5,2,61,0,160,539
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 16","Scotch Creek--Scotch Creek 4",Combined with No./Résultats combinés à ceux du n°18,,,,,,,16
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 17","Scotch Creek--Scotch Creek 4",98,1,8,20,28,0,155,316
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 18","Scotch Creek",91,1,5,2,61,0,160,431
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 19","Celista",101,2,7,5,39,0,154,448
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 20A","Revelstoke",67,4,6,6,54,2,139,486
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 20B","Revelstoke",31,1,0,2,9,0,43,81
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 21","Revelstoke",69,1,10,4,85,0,169,464
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 22","Revelstoke",78,1,9,12,91,0,191,452
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 23","Revelstoke",73,0,21,4,63,1,162,438
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 24","Revelstoke",44,0,19,13,89,0,165,498
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 25","Revelstoke",74,3,21,6,102,0,206,489
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 26","Revelstoke",44,0,6,3,68,0,121,385
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 27","Revelstoke",36,2,5,2,81,2,128,369
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 28","Revelstoke",53,1,15,6,82,1,158,433
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 29","Revelstoke",47,1,19,10,88,0,165,478
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 30","Quaaout 1",44,0,9,3,29,0,85,204
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 31","Quaaout 1",3,0,0,0,1,0,4,19
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 32","Quaaout 1",Void/Supprimé,,,,,,,
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 33","Kamloops",45,1,12,4,55,1,118,404
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 34","Kamloops",50,1,4,2,44,0,101,320
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 35","Kamloops",70,0,5,1,53,0,129,446
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 36","Kamloops",54,2,20,1,56,1,134,447
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 37","Kamloops",66,2,11,3,57,1,140,432
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 38","Kamloops",88,2,5,7,71,0,173,560
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 39","Kamloops",58,2,8,2,72,1,143,384
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 40","Kamloops",59,0,11,1,73,1,145,414
