Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Maxime Bernier,Maryelle-Henriette Doumbia,Jason Groleau,Annabelle Lafond-Poirier,Gaétan Mathieu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Beauce/Beauce"," 1","Saint-Isidore",6,46,148,14,27,6,247,375
24006,"Beauce/Beauce"," 2","Saint-Isidore",11,45,155,3,31,2,247,375
24006,"Beauce/Beauce"," 3","Saint-Isidore",6,39,125,3,33,3,209,326
24006,"Beauce/Beauce"," 4","Saint-Isidore",3,38,128,0,29,3,201,347
24006,"Beauce/Beauce"," 5","Saint-Isidore",7,43,144,12,26,8,240,367
24006,"Beauce/Beauce"," 6","Saint-Isidore",11,43,122,1,39,5,221,357
24006,"Beauce/Beauce"," 7","Saint-Isidore",11,36,117,7,33,6,210,435
24006,"Beauce/Beauce"," 8","Sainte-Hénédine",9,33,151,4,37,1,235,361
24006,"Beauce/Beauce"," 9","Sainte-Hénédine",13,37,153,0,28,3,234,379
24006,"Beauce/Beauce"," 10","Sainte-Hénédine",9,35,112,5,38,2,201,316
24006,"Beauce/Beauce"," 11","Sainte-Marguerite",13,55,161,9,35,0,273,392
24006,"Beauce/Beauce"," 12","Sainte-Marguerite",5,22,136,5,21,6,195,314
24006,"Beauce/Beauce"," 13","Sainte-Marguerite",10,23,140,4,26,3,206,327
24006,"Beauce/Beauce"," 14","Frampton",13,40,136,2,33,3,227,337
24006,"Beauce/Beauce"," 15","Frampton",14,49,153,7,35,3,261,391
24006,"Beauce/Beauce"," 16","Frampton",18,47,155,4,27,2,253,398
24006,"Beauce/Beauce"," 17","Scott",12,37,141,6,33,1,230,396
24006,"Beauce/Beauce"," 18","Scott",13,31,154,9,33,1,241,405
24006,"Beauce/Beauce"," 19","Scott",9,25,165,9,43,2,253,437
24006,"Beauce/Beauce"," 20","Scott",10,28,140,6,24,4,212,414
24006,"Beauce/Beauce"," 21","Scott",8,53,161,6,25,4,257,464
24006,"Beauce/Beauce"," 22","Sainte-Marie",16,47,140,5,41,5,254,684
24006,"Beauce/Beauce"," 23","Sainte-Marie",5,43,140,1,24,3,216,477
24006,"Beauce/Beauce"," 24","Sainte-Marie",9,36,110,3,39,4,201,483
24006,"Beauce/Beauce"," 25","Sainte-Marie",10,41,94,6,32,5,188,484
24006,"Beauce/Beauce"," 26","Sainte-Marie",6,36,101,3,24,1,171,475
24006,"Beauce/Beauce"," 27","Sainte-Marie",7,61,104,7,28,5,212,479
24006,"Beauce/Beauce"," 28","Sainte-Marie",10,55,119,2,38,3,227,517
24006,"Beauce/Beauce"," 29","Sainte-Marie",20,49,170,2,34,8,283,538
24006,"Beauce/Beauce"," 30","Sainte-Marie",10,56,145,5,29,3,248,550
24006,"Beauce/Beauce"," 31","Sainte-Marie",6,52,119,7,35,3,222,515
24006,"Beauce/Beauce"," 32","Sainte-Marie",7,41,165,3,29,4,249,500
24006,"Beauce/Beauce"," 33","Saint-Bernard",10,51,123,2,32,3,221,382
24006,"Beauce/Beauce"," 34","Saint-Bernard",8,19,153,5,20,2,207,343
24006,"Beauce/Beauce"," 35","Saint-Bernard",10,34,160,5,25,4,238,415
24006,"Beauce/Beauce"," 36","Saint-Bernard",11,31,171,4,23,1,241,338
24006,"Beauce/Beauce"," 37","Saint-Bernard",7,26,178,6,24,6,247,375
24006,"Beauce/Beauce"," 38","Saints-Anges",13,36,150,2,19,0,220,330
24006,"Beauce/Beauce"," 39","Saints-Anges",16,30,162,1,32,2,243,352
24006,"Beauce/Beauce"," 40","Saints-Anges",7,20,143,3,18,2,193,282
24006,"Beauce/Beauce"," 41","Saint-Odilon-de-Cranbourne",15,30,152,3,26,4,230,360
24006,"Beauce/Beauce"," 42","Saint-Odilon-de-Cranbourne",14,30,180,3,31,4,262,359
24006,"Beauce/Beauce"," 43","Saint-Odilon-de-Cranbourne",20,39,162,3,25,7,256,385
24006,"Beauce/Beauce"," 44","Sainte-Marie",9,61,170,6,30,4,280,562
24006,"Beauce/Beauce"," 45","Sainte-Marie",10,53,114,6,25,2,210,489
24006,"Beauce/Beauce"," 46","Sainte-Marie",2,57,111,8,24,2,204,451
24006,"Beauce/Beauce"," 47","Sainte-Marie",9,55,125,7,32,3,231,503
24006,"Beauce/Beauce"," 48","Sainte-Marie",9,63,106,4,40,3,225,528
24006,"Beauce/Beauce"," 49","Sainte-Marie",10,45,88,7,39,3,192,441
24006,"Beauce/Beauce"," 50","Sainte-Marie",20,59,109,5,35,2,230,516
24006,"Beauce/Beauce"," 51","Sainte-Marie",7,35,108,8,39,2,199,454
24006,"Beauce/Beauce"," 52","Sainte-Marie",14,40,136,3,43,3,239,495
24006,"Beauce/Beauce"," 53","Vallée-Jonction",11,48,173,5,39,4,280,438
24006,"Beauce/Beauce"," 54A","Vallée-Jonction",20,26,159,1,26,3,235,379
24006,"Beauce/Beauce"," 54B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,38
