Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,David Beckham,Elizabeth May,Cathie Ounsted,Colin Plant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 1","Fernwood",24,95,51,0,1,171,480
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 2","Saltspring Island",15,82,33,1,1,132,385
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 3","Saltspring Island",21,101,45,8,0,175,458
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 4","Fernwood",28,100,45,9,1,183,437
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 5","Saltspring Island",31,111,57,4,1,204,475
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 6","North Galiano",22,77,14,1,0,114,425
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 6-1","Galiano Island 9",Void/Supprimé,,,,,,
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 7","Sturdies Bay",37,99,21,0,1,158,352
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 8","Sturdies Bay",Combined with No./Résultats combinés à ceux du n°7,,,,,,277
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 9","Vesuvius",35,99,30,4,2,170,454
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 10","Saltspring Island",35,85,29,4,0,153,376
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 11","Saltspring Island",22,100,47,1,2,172,453
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 12","Ganges",15,74,29,4,0,122,353
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 13","Ganges",22,62,29,4,0,117,384
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 14","Saltspring Island",13,63,22,2,0,100,342
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 15","Long Harbour",19,50,20,3,0,92,327
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 16","Ganges",10,52,28,2,1,93,263
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 17A","Ganges",16,42,18,5,4,85,289
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 17B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,33
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 18","Ganges",27,88,42,5,0,162,503
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 19","Ganges",7,30,17,2,0,56,284
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 20","Ganges",32,86,35,3,1,157,511
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 21","Saltspring Island",22,95,31,2,0,150,476
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 22","Saltspring Island",19,59,33,4,2,117,393
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 23","Ganges",21,68,33,0,0,122,409
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 24","Mayne Island",23,51,16,2,0,92,377
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 25","Mayne Island",43,51,39,11,0,144,428
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 26","Mayne",23,60,10,0,0,93,313
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 27","Saltspring Island",12,49,18,3,0,82,319
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 28","Fulford Harbour",21,111,66,7,2,207,501
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 29","Fulford Harbour",17,147,33,4,0,201,463
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 30","Beaver Point",18,120,29,4,0,171,349
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 31","Fulford Harbour",29,179,65,2,1,276,602
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 32","Saturna",31,77,27,8,0,143,374
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 33","Pender Island",20,61,15,2,0,98,359
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 34","Pender Island",14,57,19,1,0,91,322
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 35","Pender Island",30,66,24,3,0,123,456
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 36","Pender Island",26,71,31,3,0,131,412
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 37","Pender Island",55,72,28,9,1,165,476
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 38","South Pender Island",19,22,7,1,0,49,251
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 39","North Saanich",54,73,65,5,0,197,514
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 40","North Saanich",59,80,93,3,1,236,533
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 41","North Saanich",36,44,56,1,0,137,406
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 42","North Saanich",68,68,50,6,1,193,471
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 43","North Saanich",50,103,69,7,0,229,505
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 44","North Saanich",50,104,44,5,0,203,434
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 45","North Saanich",49,66,52,2,1,170,483
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 46","North Saanich",54,55,65,3,1,178,523
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 47","North Saanich",56,56,56,5,0,173,546
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 48","North Saanich",41,58,91,5,0,195,565
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 49","North Saanich",41,61,54,23,0,179,285
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 49-1","Union Bay 4",Combined with No./Résultats combinés à ceux du n°49,,,,,,110
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 50","North Saanich",33,60,41,6,0,140,422
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 51","North Saanich",54,89,56,7,0,206,455
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 52","North Saanich",48,78,50,4,0,180,474
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 53","Sidney",38,72,44,3,1,158,586
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 54","Sidney",28,65,36,3,0,132,444
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 55","Sidney",64,52,24,4,1,145,467
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 56","Sidney",49,57,26,2,1,135,481
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 57","Sidney",58,69,35,10,3,175,582
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 58","Sidney",42,40,23,2,3,110,592
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 59","Sidney",60,53,37,11,2,163,548
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 60","Sidney",54,94,56,10,2,216,583
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 61","Sidney",29,64,32,3,1,129,441
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 62","Sidney",35,64,42,10,0,151,428
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 63","Southern Gulf Islands",32,40,34,1,0,107,397
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 64","Sidney",46,82,53,4,0,185,526
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 65","North Saanich",27,73,68,5,0,173,488
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 66","Sidney",37,63,45,12,0,157,423
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 67","Sidney",38,63,31,8,0,140,441
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 68","North Saanich",59,64,56,9,0,188,575
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 69A","Sidney",22,40,36,5,0,103,367
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 69B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,43
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 69C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,115
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 70","Sidney",40,34,30,8,0,112,398
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 71A","Sidney",29,36,16,3,0,84,489
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 71B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,29
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 72","Sidney",41,46,30,3,0,120,527
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 73","Sidney",52,61,40,6,0,159,433
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 74","Sidney",28,35,30,3,0,96,415
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 75","Sidney",29,39,29,3,1,101,425
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 76","Sidney",21,21,38,7,1,88,407
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 77","Sidney",26,43,40,6,0,115,484
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 78","Central Saanich",32,26,59,3,0,120,377
59029,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 79A","South Saanich 1",12,24,30,6,0,72,330
