Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Najeeb Butt,George Chahal,Benjamin Cridland,Dalwinder Gill,Syed Hasnain,Arlington Antonio Santiago,Evelyn Tanaka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48009,"Calgary McKnight/Calgary McKnight"," 1","Calgary",0,46,0,42,0,1,0,30,119,343
48009,"Calgary McKnight/Calgary McKnight"," 2","Calgary",3,112,0,79,1,4,0,7,206,532
48009,"Calgary McKnight/Calgary McKnight"," 3","Calgary",0,110,1,73,0,7,0,3,194,490
48009,"Calgary McKnight/Calgary McKnight"," 4","Calgary",0,84,0,86,0,3,1,10,184,498
48009,"Calgary McKnight/Calgary McKnight"," 5","Calgary",1,73,0,95,1,2,0,5,177,540
48009,"Calgary McKnight/Calgary McKnight"," 6","Calgary",1,86,0,97,1,1,1,3,190,695
48009,"Calgary McKnight/Calgary McKnight"," 7","Calgary",0,147,0,108,1,3,2,3,264,921
48009,"Calgary McKnight/Calgary McKnight"," 8","Calgary",2,82,1,61,0,2,2,5,155,499
48009,"Calgary McKnight/Calgary McKnight"," 9","Calgary",0,96,1,71,2,6,0,2,178,517
48009,"Calgary McKnight/Calgary McKnight"," 10","Calgary",3,105,0,87,0,1,2,0,198,743
48009,"Calgary McKnight/Calgary McKnight"," 11","Calgary",1,69,1,61,1,4,0,5,142,382
48009,"Calgary McKnight/Calgary McKnight"," 12","Calgary",3,79,1,56,0,1,1,5,146,459
48009,"Calgary McKnight/Calgary McKnight"," 13","Calgary",0,83,0,67,2,2,1,2,157,396
48009,"Calgary McKnight/Calgary McKnight"," 14","Calgary",1,86,0,83,1,1,2,7,181,464
48009,"Calgary McKnight/Calgary McKnight"," 15","Calgary",1,51,0,94,1,5,0,9,161,388
48009,"Calgary McKnight/Calgary McKnight"," 16","Calgary",0,44,0,53,1,0,0,3,101,332
48009,"Calgary McKnight/Calgary McKnight"," 17","Calgary",1,72,0,50,0,2,1,2,128,546
48009,"Calgary McKnight/Calgary McKnight"," 18","Calgary",1,63,0,61,0,3,0,0,128,528
48009,"Calgary McKnight/Calgary McKnight"," 19","Calgary",1,85,1,64,0,5,1,3,160,463
48009,"Calgary McKnight/Calgary McKnight"," 20","Calgary",0,55,0,33,1,1,0,0,90,367
48009,"Calgary McKnight/Calgary McKnight"," 21","Calgary",3,68,0,47,0,1,0,1,120,385
48009,"Calgary McKnight/Calgary McKnight"," 22","Calgary",0,69,1,48,0,3,1,0,122,399
48009,"Calgary McKnight/Calgary McKnight"," 23","Calgary",3,73,1,85,1,1,1,1,166,430
48009,"Calgary McKnight/Calgary McKnight"," 24","Calgary",1,116,0,99,1,2,0,7,226,584
48009,"Calgary McKnight/Calgary McKnight"," 25","Calgary",1,68,0,86,0,2,0,1,158,482
48009,"Calgary McKnight/Calgary McKnight"," 26","Calgary",0,71,2,62,0,5,2,0,142,434
48009,"Calgary McKnight/Calgary McKnight"," 27","Calgary",0,56,1,72,1,8,1,3,142,395
48009,"Calgary McKnight/Calgary McKnight"," 28","Calgary",0,68,0,75,1,5,2,2,153,561
48009,"Calgary McKnight/Calgary McKnight"," 29","Calgary",0,58,0,91,0,6,3,2,160,430
48009,"Calgary McKnight/Calgary McKnight"," 30","Calgary",0,71,0,88,0,2,0,2,163,397
48009,"Calgary McKnight/Calgary McKnight"," 31","Calgary",1,59,0,96,0,4,0,5,165,409
48009,"Calgary McKnight/Calgary McKnight"," 32","Calgary",1,36,0,64,0,3,1,0,105,376
48009,"Calgary McKnight/Calgary McKnight"," 33","Calgary",1,59,0,47,0,4,1,0,112,343
48009,"Calgary McKnight/Calgary McKnight"," 34","Calgary",0,60,0,58,0,4,1,0,123,371
48009,"Calgary McKnight/Calgary McKnight"," 35","Calgary",0,41,0,49,0,6,0,1,97,351
48009,"Calgary McKnight/Calgary McKnight"," 36","Calgary",2,59,1,66,0,3,0,0,131,402
48009,"Calgary McKnight/Calgary McKnight"," 37","Calgary",1,79,1,104,1,10,1,0,197,614
48009,"Calgary McKnight/Calgary McKnight"," 38","Calgary",2,32,0,49,0,1,0,1,85,357
48009,"Calgary McKnight/Calgary McKnight"," 39","Calgary",1,61,1,53,0,1,1,0,118,430
48009,"Calgary McKnight/Calgary McKnight"," 40","Calgary",0,51,0,60,0,1,0,2,114,488
48009,"Calgary McKnight/Calgary McKnight"," 41","Calgary",1,73,0,49,0,1,3,2,129,458
48009,"Calgary McKnight/Calgary McKnight"," 42","Calgary",0,97,0,70,0,8,2,0,177,412
48009,"Calgary McKnight/Calgary McKnight"," 43","Calgary",2,87,0,86,1,1,1,3,181,433
48009,"Calgary McKnight/Calgary McKnight"," 44","Calgary",1,73,3,84,0,8,0,4,173,382
48009,"Calgary McKnight/Calgary McKnight"," 45","Calgary",0,46,0,80,0,5,0,2,133,427
48009,"Calgary McKnight/Calgary McKnight"," 46","Calgary",0,50,0,79,0,7,0,4,140,415
48009,"Calgary McKnight/Calgary McKnight"," 47","Calgary",1,74,1,62,1,3,0,1,143,498
48009,"Calgary McKnight/Calgary McKnight"," 48","Calgary",5,65,0,68,1,6,1,3,149,402
